step_dist	source_id	n_cycles	cycle_pf	win_rate	total_pnl_ticks	sharpe	max_drawdown_ticks	bars_processed
1.0	bar_data_250vol_rot	20901	0.4828	0.6239	-356573.0	-0.077	356726.0	52028
1.0	bar_data_250tick_rot	19507	0.4908	0.6335	-328934.0	-0.0903	331637.0	47837
1.0	bar_data_10sec_rot	26175	0.4208	0.532	-380111.0	-0.1037	380311.0	70200
1.5	bar_data_250vol_rot	18599	0.5337	0.6829	-292614.0	-0.0589	301682.0	52028
1.5	bar_data_250tick_rot	17535	0.5104	0.6928	-289035.0	-0.0837	292305.0	47837
1.5	bar_data_10sec_rot	21641	0.4647	0.6355	-301575.0	-0.0945	301739.0	70200
2.0	bar_data_250vol_rot	16495	0.5638	0.7216	-244863.0	-0.0538	260646.0	52028
2.0	bar_data_250tick_rot	15731	0.546	0.7307	-244314.0	-0.0722	249787.0	47837
2.0	bar_data_10sec_rot	17939	0.5032	0.7029	-246516.0	-0.0869	246722.0	70200
2.5	bar_data_250vol_rot	14623	0.6014	0.7365	-205145.0	-0.0466	225051.0	52028
2.5	bar_data_250tick_rot	14011	0.6049	0.7403	-188991.0	-0.0586	198036.0	47837
2.5	bar_data_10sec_rot	15165	0.5441	0.7227	-202047.0	-0.0664	203119.0	70200
3.0	bar_data_250vol_rot	12887	0.6367	0.7515	-167656.0	-0.0435	187773.0	52028
3.0	bar_data_250tick_rot	12443	0.6095	0.752	-172624.0	-0.0569	180453.0	47837
3.0	bar_data_10sec_rot	13023	0.5736	0.7481	-171217.0	-0.0604	172045.0	70200
3.5	bar_data_250vol_rot	11347	0.6239	0.7686	-161624.0	-0.0466	183348.0	52028
3.5	bar_data_250tick_rot	10989	0.624	0.7678	-154205.0	-0.0556	161514.0	47837
3.5	bar_data_10sec_rot	11229	0.6093	0.7686	-140068.0	-0.0544	140341.0	70200
4.0	bar_data_250vol_rot	10057	0.6348	0.7862	-148898.0	-0.0382	173568.0	52028
4.0	bar_data_250tick_rot	9817	0.6606	0.786	-125478.0	-0.0503	132829.0	47837
4.0	bar_data_10sec_rot	9717	0.6282	0.7864	-124056.0	-0.0441	127475.0	70200
4.5	bar_data_250vol_rot	9009	0.6432	0.7986	-136186.0	-0.0373	160828.0	52028
4.5	bar_data_250tick_rot	8809	0.6544	0.8021	-120216.0	-0.0529	124369.0	47837
4.5	bar_data_10sec_rot	8593	0.6987	0.8013	-89365.0	-0.0343	99770.0	70200
5.0	bar_data_250vol_rot	8057	0.5914	0.8118	-156464.0	-0.049	177044.0	52028
5.0	bar_data_250tick_rot	7901	0.6684	0.8153	-107975.0	-0.0505	113761.0	47837
5.0	bar_data_10sec_rot	7535	0.6853	0.8115	-88566.0	-0.04	102820.0	70200
5.5	bar_data_250vol_rot	7229	0.6287	0.8189	-124593.0	-0.0492	148483.0	52028
5.5	bar_data_250tick_rot	7101	0.697	0.8206	-89815.0	-0.0454	99842.0	47837
5.5	bar_data_10sec_rot	6719	0.6605	0.8192	-93037.0	-0.0456	103817.0	70200
6.0	bar_data_250vol_rot	6517	0.6714	0.8329	-99446.0	-0.0454	118147.0	52028
6.0	bar_data_250tick_rot	6403	0.7339	0.8282	-72566.0	-0.0403	81307.0	47837
6.0	bar_data_10sec_rot	5957	0.755	0.8254	-58058.0	-0.033	65476.0	70200
