hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H1	ATR-scaled step	A	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0337	8.1987	8.2324	OK
H1	ATR-scaled step	A	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0338	7.7469	7.7808	OK
H1	ATR-scaled step	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1215	7.929	8.0505	OK
H3	SD band triggers	A	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0303	8.1212	8.1515	OK
H3	SD band triggers	A	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.033	7.6476	7.6806	OK
H3	SD band triggers	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.0995	7.7976	7.8971	OK
H8	SD-scaled step from anchor	A	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	0.0381	8.2396	8.2777	OK
H8	SD-scaled step from anchor	A	bar_data_250tick_rot	0.6847	-0.0492	-125983.0	-53417.0	8762	0.8269	-0.0487	129771.0	37.76	-263.38	False	0.0358	7.7307	7.7666	OK
H8	SD-scaled step from anchor	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1162	7.8318	7.948	OK
H9	VWAP SD bands	A	bar_data_250vol_rot	0.6174	-0.054	-171996.0	-72550.0	8968	0.8304	-0.0585	172877.0	37.27	-295.57	False	2.5466	9.5267	12.0733	OK
