step_dist	max_levels	max_total_position	source_id	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed
1.0	1	1	bar_data_250vol_rot	0.0	1350	0.0	-7643.0	7641.0	-0.0421	4945.0	0.0	0.0	-1.0003	-0.0421	0.0	67888	66539
1.0	1	1	bar_data_250tick_rot	0.0	1066	0.0	-7069.0	7067.0	-0.0439	4939.0	0.0	0.0	-1.0003	-0.0439	0.0	62150	61085
1.0	1	1	bar_data_10sec_rot	0.0	964	0.0	-6634.0	6632.0	-0.0454	4708.0	0.0	0.0	-1.0003	-0.0454	0.0	71163	70200
1.0	1	2	bar_data_250vol_rot	0.0	2238	0.0	-16848.0	16846.0	-0.036	9902.0	0.0	0.0	-1.0001	-0.036	0.0	68776	66539
1.0	1	2	bar_data_250tick_rot	0.0	2254	0.0	-17138.0	17136.0	-0.0361	10010.0	0.0	0.0	-1.0001	-0.0361	0.0	63338	61085
1.0	1	2	bar_data_10sec_rot	0.0	2164	0.0	-16232.0	16230.0	-0.0369	9452.0	0.0	0.0	-1.0001	-0.0369	0.0	72363	70200
1.0	1	4	bar_data_250vol_rot	0.0	3310	0.0	-33700.0	33698.0	-0.0309	18976.0	12.54	0.0	-1.0001	-0.0309	0.0	69848	66539
1.0	1	4	bar_data_250tick_rot	0.0	3534	0.0	-35786.0	35784.0	-0.0301	20008.0	12.62	0.0	-1.0001	-0.0301	0.0	64618	61085
1.0	1	4	bar_data_10sec_rot	0.0	3938	0.0	-35254.0	35252.0	-0.0301	18668.0	10.36	0.0	-1.0001	-0.0301	0.0	74137	70200
1.0	1	8	bar_data_250vol_rot	0.0	6626	0.0	-83368.0	83366.0	-0.0253	40484.0	3.11	0.0	-1.0	-0.0253	0.0	73164	66539
1.0	1	8	bar_data_250tick_rot	0.0	5326	0.0	-75824.0	75822.0	-0.0252	41300.0	2.68	0.0	-1.0	-0.0252	0.0	66410	61085
1.0	1	8	bar_data_10sec_rot	0.0	6014	0.0	-73484.0	73482.0	-0.0248	38172.0	3.38	0.0	-1.0	-0.0248	0.0	76213	70200
1.0	1	16	bar_data_250vol_rot	0.0	8794	0.0	-171456.0	171454.0	-0.0213	85836.0	3.01	0.0	-1.0	-0.0213	0.0	75332	66539
1.0	1	16	bar_data_250tick_rot	0.0	7606	0.0	-157596.0	157594.0	-0.0213	84780.0	2.43	0.0	-1.0	-0.0213	0.0	68690	61085
