filter	profile	param	n_baseline	n_filtered	retention	pf_baseline	pf_filtered	pf_delta	pnl_baseline	pnl_filtered	calmar
H13_ATR	MOST_CONSISTENT	atr_mult=1.5	111171	108049	0.9719	4.0595	4.1064	0.0469	959317.0	935809.0	447.76
H13_ATR	MOST_CONSISTENT	atr_mult=2.0	111171	110736	0.9961	4.0595	4.0781	0.0185	959317.0	956907.0	458.73
H13_ATR	MOST_CONSISTENT	atr_mult=2.5	111171	111087	0.9992	4.0595	4.0602	0.0007	959317.0	958661.0	444.24
H13_ATR	MOST_CONSISTENT	atr_mult=3.0	111171	111115	0.9995	4.0595	4.0598	0.0003	959317.0	958853.0	444.32
H13_VOL	MOST_CONSISTENT	vol_mult=2.0	111171	111089	0.9993	4.0595	4.0585	-0.001	959317.0	958489.0	444.16
H13_VOL	MOST_CONSISTENT	vol_mult=3.0	111171	111154	0.9998	4.0595	4.0593	-0.0003	959317.0	959139.0	444.46
H13_VOL	MOST_CONSISTENT	vol_mult=4.0	111171	111171	1.0	4.0595	4.0595	0.0	959317.0	959317.0	444.54
H13_VOL	MOST_CONSISTENT	vol_mult=5.0	111171	111171	1.0	4.0595	4.0595	0.0	959317.0	959317.0	444.54
H13_ATR	SAFEST	atr_mult=1.5	21394	20244	0.9462	3.3931	3.3314	-0.0616	391659.0	366359.0	171.84
H13_ATR	SAFEST	atr_mult=2.0	21394	21139	0.9881	3.3931	3.3822	-0.0109	391659.0	386149.0	181.12
H13_ATR	SAFEST	atr_mult=2.5	21394	21344	0.9977	3.3931	3.3862	-0.0069	391659.0	390319.0	183.08
H13_ATR	SAFEST	atr_mult=3.0	21394	21367	0.9987	3.3931	3.3891	-0.0039	391659.0	390941.0	183.37
H13_VOL	SAFEST	vol_mult=2.0	21394	21384	0.9995	3.3931	3.3933	0.0002	391659.0	391479.0	183.62
H13_VOL	SAFEST	vol_mult=3.0	21394	21388	0.9997	3.3931	3.3938	0.0007	391659.0	391575.0	183.67
H13_VOL	SAFEST	vol_mult=4.0	21394	21394	1.0	3.3931	3.3931	0.0	391659.0	391659.0	183.7
H13_VOL	SAFEST	vol_mult=5.0	21394	21394	1.0	3.3931	3.3931	0.0	391659.0	391659.0	183.7
H13_ATR	MAX_PROFIT	atr_mult=1.5	78487	75924	0.9673	6.6049	6.9772	0.3724	1074653.0	1049507.0	61.29
H13_ATR	MAX_PROFIT	atr_mult=2.0	78487	78105	0.9951	6.6049	6.7672	0.1623	1074653.0	1074077.0	65.26
H13_ATR	MAX_PROFIT	atr_mult=2.5	78487	78409	0.999	6.6049	6.5999	-0.005	1074653.0	1073435.0	63.64
H13_ATR	MAX_PROFIT	atr_mult=3.0	78487	78433	0.9993	6.6049	6.6002	-0.0046	1074653.0	1073765.0	63.66
H13_VOL	MAX_PROFIT	vol_mult=2.0	78487	78425	0.9992	6.6049	6.6002	-0.0047	1074653.0	1073621.0	63.66
H13_VOL	MAX_PROFIT	vol_mult=3.0	78487	78472	0.9998	6.6049	6.6035	-0.0014	1074653.0	1074389.0	63.7
H13_VOL	MAX_PROFIT	vol_mult=4.0	78487	78487	1.0	6.6049	6.6049	0.0	1074653.0	1074653.0	63.72
H13_VOL	MAX_PROFIT	vol_mult=5.0	78487	78487	1.0	6.6049	6.6049	0.0	1074653.0	1074653.0	63.72
