filter	profile	lookback	vol_avg_len	price_weight	vol_weight	smoothing	threshold	n_baseline	n_filtered	retention	pf_baseline	pf_filtered	pf_delta	pnl_baseline	pnl_filtered	calmar
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	1	30	111171	67403	0.6063	4.0595	4.5914	0.5319	959317.0	612062.0	272.51
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	1	35	111171	94019	0.8457	4.0595	4.3627	0.3032	959317.0	835846.0	386.97
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	1	40	111171	105353	0.9477	4.0595	4.205	0.1455	959317.0	921965.0	427.23
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	1	45	111171	109268	0.9829	4.0595	4.1219	0.0624	959317.0	948675.0	439.61
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	1	50	111171	110528	0.9942	4.0595	4.0885	0.0289	959317.0	956355.0	443.17
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	3	30	111171	66011	0.5938	4.0595	4.1823	0.1228	959317.0	577114.0	255.36
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	3	35	111171	95173	0.8561	4.0595	4.1515	0.092	959317.0	828242.0	379.58
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	3	40	111171	106513	0.9581	4.0595	4.107	0.0475	959317.0	923205.0	425.05
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	3	45	111171	109825	0.9879	4.0595	4.0825	0.023	959317.0	949833.0	437.31
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	3	50	111171	110661	0.9954	4.0595	4.0668	0.0073	959317.0	955457.0	439.9
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	5	30	111171	65667	0.5907	4.0595	4.1133	0.0538	959317.0	570118.0	257.97
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	5	35	111171	96917	0.8718	4.0595	4.134	0.0745	959317.0	842041.0	403.66
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	5	40	111171	107676	0.9686	4.0595	4.0962	0.0367	959317.0	932327.0	446.94
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	5	45	111171	110235	0.9916	4.0595	4.0714	0.0119	959317.0	952153.0	456.45
SPEEDREAD	MOST_CONSISTENT	5	20	70	30	5	50	111171	110790	0.9966	4.0595	4.0691	0.0096	959317.0	956743.0	458.65
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	1	35	111171	59687	0.5369	4.0595	4.603	0.5435	959317.0	543138.0	241.82
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	1	40	111171	96554	0.8685	4.0595	4.3106	0.2511	959317.0	854176.0	395.82
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	1	45	111171	107985	0.9713	4.0595	4.1422	0.0827	959317.0	939453.0	435.34
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	1	50	111171	110383	0.9929	4.0595	4.0882	0.0286	959317.0	954925.0	442.5
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	3	35	111171	57316	0.5156	4.0595	4.1703	0.1108	959317.0	501004.0	230.03
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	3	40	111171	97989	0.8814	4.0595	4.1402	0.0807	959317.0	852086.0	392.3
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	3	45	111171	108700	0.9778	4.0595	4.0953	0.0358	959317.0	941203.0	433.33
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	3	50	111171	110620	0.995	4.0595	4.0658	0.0063	959317.0	955023.0	439.7
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	5	35	111171	55977	0.5035	4.0595	4.1113	0.0518	959317.0	486438.0	213.54
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	5	40	111171	99592	0.8958	4.0595	4.1155	0.056	959317.0	863611.0	414.0
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	5	45	111171	109458	0.9846	4.0595	4.0837	0.0242	959317.0	946575.0	453.78
SPEEDREAD	MOST_CONSISTENT	5	20	50	50	5	50	111171	110722	0.996	4.0595	4.0682	0.0087	959317.0	956051.0	458.32
SPEEDREAD	MOST_CONSISTENT	5	20	30	70	1	45	111171	99874	0.8984	4.0595	4.2465	0.187	959317.0	878036.0	406.87
