sd,hs,time_block,cycle_count,win_count,loss_count,win_rate,net_er,total_net_pnl,reversals,hard_stops,eod_flattens,avg_depth,d0_count,d1_count
10.00,60.00,09:30-10:00,3201,2384,817,0.74,-7.54,-24138.50,2384,817,0,0.49,1621,1580
10.00,60.00,10:00-10:30,2340,1801,539,0.77,13.99,32745.50,1801,539,0,0.49,1193,1147
10.00,60.00,10:30-11:00,1693,1275,418,0.75,-0.92,-1564.50,1275,418,0,0.50,839,854
10.00,60.00,11:00-11:30,1701,1294,407,0.76,4.68,7966.00,1294,407,0,0.50,848,853
10.00,60.00,11:30-12:00,1490,1109,381,0.74,-8.71,-12970.50,1109,381,0,0.50,747,743
10.00,60.00,12:00-12:30,1299,985,314,0.76,3.14,4084.00,985,314,0,0.47,682,617
10.00,60.00,12:30-13:00,1134,848,286,0.75,-5.71,-6471.00,848,286,0,0.50,562,572
10.00,60.00,13:00-13:30,1031,788,243,0.76,7.88,8122.50,788,243,0,0.52,497,534
10.00,60.00,13:30-14:00,936,707,229,0.76,0.68,639.00,707,229,0,0.48,486,450
10.00,60.00,14:00-14:30,936,728,208,0.78,18.55,17366.50,728,208,0,0.49,481,455
10.00,60.00,14:30-15:00,1047,812,235,0.78,16.86,17654.00,812,235,0,0.48,548,499
10.00,60.00,15:00-15:30,765,589,176,0.77,12.53,9588.50,589,176,0,0.48,401,364
10.00,60.00,15:30-15:50,575,421,154,0.73,6.59,3789.00,404,121,50,0.45,314,261
15.00,150.00,09:30-10:00,1072,881,191,0.82,-24.59,-26359.00,881,191,0,0.51,520,552
15.00,150.00,10:00-10:30,822,692,130,0.84,12.20,10026.00,692,130,0,0.46,440,382
15.00,150.00,10:30-11:00,584,482,102,0.83,-17.99,-10503.50,482,102,0,0.51,287,297
15.00,150.00,11:00-11:30,625,520,105,0.83,-5.97,-3729.50,520,105,0,0.47,333,292
15.00,150.00,11:30-12:00,566,484,82,0.86,35.71,20210.50,484,82,0,0.48,295,271
15.00,150.00,12:00-12:30,442,370,72,0.84,3.16,1397.50,370,72,0,0.50,219,223
15.00,150.00,12:30-13:00,389,318,71,0.82,-32.06,-12472.50,318,71,0,0.53,183,206
15.00,150.00,13:00-13:30,375,330,45,0.88,80.35,30131.50,330,45,0,0.50,189,186
15.00,150.00,13:30-14:00,286,232,54,0.81,-43.23,-12362.50,232,54,0,0.52,137,149
15.00,150.00,14:00-14:30,349,311,38,0.89,109.63,38262.50,311,35,3,0.45,193,156
15.00,150.00,14:30-15:00,352,298,54,0.85,30.12,10601.50,298,51,3,0.51,173,179
15.00,150.00,15:00-15:30,283,246,37,0.87,72.80,20601.00,244,32,7,0.43,162,121
15.00,150.00,15:30-15:50,175,132,43,0.75,-14.08,-2464.00,113,19,43,0.45,96,79
20.00,160.00,09:30-10:00,709,544,165,0.77,-70.08,-49687.00,544,165,0,0.51,346,363
20.00,160.00,10:00-10:30,500,411,89,0.82,39.85,19924.00,411,89,0,0.49,254,246
20.00,160.00,10:30-11:00,368,297,71,0.81,9.85,3626.50,297,71,0,0.50,185,183
20.00,160.00,11:00-11:30,372,289,83,0.78,-50.93,-18945.50,289,83,0,0.54,171,201
20.00,160.00,11:30-12:00,355,287,68,0.81,12.94,4595.00,287,68,0,0.49,180,175
20.00,160.00,12:00-12:30,261,210,51,0.80,4.63,1209.00,210,51,0,0.48,136,125
20.00,160.00,12:30-13:00,236,175,61,0.74,-120.99,-28553.50,175,61,0,0.57,101,135
20.00,160.00,13:00-13:30,244,212,32,0.87,136.11,33211.50,212,31,1,0.44,137,107
20.00,160.00,13:30-14:00,212,170,42,0.80,-0.86,-183.00,170,42,0,0.50,106,106
20.00,160.00,14:00-14:30,202,168,34,0.83,77.17,15587.50,168,31,3,0.46,109,93
