config_id,label,sd,hs,mcs,time_block,cycle_count,reversals,hard_stops,eod_flattens,win_rate,net_er,total_net_pnl,avg_depth,pct_d0,pct_d1_plus
50,depth_0,20.00,60.00,1,09:30-10:00,1245,532,713,0,0.43,-4.43,-5517.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,10:00-10:30,862,375,487,0,0.44,1.27,1098.00,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,10:30-11:00,662,290,372,0,0.44,3.30,2183.00,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,11:00-11:30,677,315,362,0,0.47,22.24,15055.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,11:30-12:00,625,289,336,0,0.46,20.22,12637.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,12:00-12:30,499,199,300,0,0.40,-24.52,-12236.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,12:30-13:00,458,188,270,0,0.41,-16.36,-7493.00,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,13:00-13:30,439,209,230,0,0.48,30.09,13208.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,13:30-14:00,355,160,195,0,0.45,11.82,4197.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,14:00-14:30,352,150,202,0,0.43,-5.16,-1817.00,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,14:30-15:00,401,180,218,3,0.45,13.32,5341.50,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,15:00-15:30,282,133,146,3,0.48,30.44,8583.00,0.00,1.00,0.00
50,depth_0,20.00,60.00,1,15:30-15:50,231,91,110,30,0.46,16.93,3911.50,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,09:30-10:00,1812,873,939,0,0.48,-14.08,-25522.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,10:00-10:30,1311,665,646,0,0.51,2.10,2756.50,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,10:30-11:00,1011,505,506,0,0.50,-3.41,-3443.50,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,11:00-11:30,992,512,480,0,0.52,6.56,6508.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,11:30-12:00,901,475,426,0,0.53,13.26,11946.50,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,12:00-12:30,726,370,356,0,0.51,2.33,1689.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,12:30-13:00,677,339,338,0,0.50,-2.58,-1749.50,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,13:00-13:30,634,344,290,0,0.54,22.47,14246.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,13:30-14:00,518,261,257,0,0.50,-0.88,-458.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,14:00-14:30,544,293,251,0,0.54,20.11,10941.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,14:30-15:00,584,311,272,1,0.53,16.93,9886.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,15:00-15:30,432,233,195,4,0.55,24.35,10518.00,0.00,1.00,0.00
27,depth_0,15.00,60.00,1,15:30-15:50,309,142,129,38,0.52,10.76,3323.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,09:30-10:00,1255,245,1010,0,0.20,-7.11,-8922.50,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,10:00-10:30,894,176,718,0,0.20,-6.05,-5409.00,0.00,1.00,0.00
72,depth_0,25.00,25.00,1,10:30-11:00,683,140,543,0,0.20,-1.14,-780.50,0.00,1.00,0.00
