step_dist,hard_stop,max_fades,cycle_count,win_count,loss_count,win_rate,gross_er,net_er,sigma,max_consec_losses,p_pass_eval,p_pass_funded,prop_score,kelly_r,total_gross_pnl_ticks,total_net_pnl_dollars
25.0,120.0,0,3156,2269,887,0.7189480354879595,27.95,21.98,759.11,5,0.446224,0.691751,0.023644,0.015259,17641.0,69377.0
25.0,120.0,5,3156,2269,887,0.7189480354879595,27.95,21.98,759.11,5,0.446224,0.691751,0.023644,0.015259,17641.0,69377.0
25.0,120.0,3,3150,2260,890,0.7174603174603175,25.42,19.44,760.39,6,0.440715,0.688818,0.020879,0.013452,16013.0,61249.0
20.0,60.0,0,7088,3130,3958,0.44159142212189617,9.02,5.02,348.32,13,0.450199,0.693858,0.011776,0.016562,12792.0,35608.0
25.0,20.0,3,7046,1280,5766,0.1816633550950894,7.31,3.31,231.39,32,0.475035,0.706878,0.011664,0.024695,10295.0,23291.0
20.0,60.0,3,6986,3083,3903,0.4413111938162038,8.8,4.8,348.31,15,0.447907,0.692644,0.011241,0.015811,12289.0,33501.0
50.0,40.0,3,1744,315,1429,0.18061926605504589,10.24,6.24,454.73,28,0.436498,0.686564,0.011201,0.012067,3571.0,10879.0
25.0,20.0,5,7447,1350,6097,0.1812810527729287,7.09,3.09,231.18,41,0.470276,0.704401,0.010918,0.023137,10562.0,23022.0
20.0,60.0,5,7081,3123,3958,0.44103940121451773,8.64,4.64,348.28,13,0.44631,0.691797,0.010868,0.015287,12230.0,32826.0
15.0,60.0,0,10451,5344,5107,0.5113386278824993,7.39,3.39,301.17,12,0.445265,0.691241,0.009187,0.014944,15444.0,35416.0
15.0,60.0,5,10444,5340,5104,0.5112983531214095,7.37,3.37,301.17,12,0.444964,0.691081,0.009127,0.014846,15387.0,35159.0
25.0,20.0,0,7531,1358,6173,0.180321338467667,6.53,2.53,230.69,48,0.457594,0.697761,0.00894,0.018985,9829.0,19021.0
20.0,120.0,3,4524,3408,1116,0.753315649867374,12.52,6.54,685.43,6,0.416783,0.675907,0.007794,0.005571,11328.0,29600.0
20.0,120.0,0,4521,3405,1116,0.7531519575315195,12.26,6.29,685.59,6,0.416117,0.675543,0.007488,0.00535,11088.0,28424.0
20.0,120.0,5,4521,3405,1116,0.7531519575315195,12.26,6.29,685.59,6,0.416117,0.675543,0.007488,0.00535,11088.0,28424.0
15.0,80.0,0,8520,6251,2269,0.7336854460093897,10.24,4.3,487.51,6,0.421807,0.678642,0.007195,0.00723,17448.0,36600.0
15.0,80.0,5,8520,6251,2269,0.7336854460093897,10.24,4.3,487.51,6,0.421807,0.678642,0.007195,0.00723,17448.0,36600.0
15.0,60.0,3,10341,5273,5068,0.5099120007736195,6.53,2.53,301.18,14,0.43379,0.685112,0.006871,0.011177,13515.0,26211.0
15.0,80.0,3,8514,6245,2269,0.7334977683814893,10.04,4.1,487.61,6,0.420778,0.678083,0.006858,0.006891,17096.0,34872.0
50.0,40.0,5,1860,331,1529,0.17795698924731182,7.45,3.45,452.46,30,0.420334,0.677841,0.006229,0.006744,2772.0,6420.0
50.0,40.0,0,1879,334,1545,0.17775412453432676,7.25,3.25,452.31,29,0.419177,0.677212,0.005874,0.006362,2726.0,6114.0
30.0,40.0,0,4535,1184,3351,0.26108048511576626,6.49,2.49,350.12,28,0.424559,0.680134,0.005816,0.008138,5890.0,11310.0
10.0,60.0,3,18128,13727,4401,0.7572263901147396,8.4,2.43,346.19,6,0.424438,0.680069,0.005722,0.008098,30440.0,43984.0
10.0,60.0,0,18148,13741,4407,0.7571633237822349,8.35,2.38,346.25,6,0.424005,0.679834,0.005623,0.007955,30316.0,43272.0
10.0,60.0,5,18148,13741,4407,0.7571633237822349,8.35,2.38,346.25,6,0.424005,0.679834,0.005623,0.007955,30316.0,43272.0
20.0,40.0,0,8674,2981,5693,0.34367074014295595,5.72,1.72,285.76,18,0.425405,0.680592,0.00491,0.008417,9920.0,14904.0
25.0,40.0,3,5933,1756,4177,0.2959716838024608,5.69,1.69,319.53,26,0.419984,0.677651,0.004323,0.006628,6754.0,10038.0
30.0,120.0,3,2583,1308,1275,0.5063879210220673,6.9,2.9,596.67,8,0.40979,0.672077,0.003964,0.003255,3563.0,7483.0
20.0,40.0,5,8649,2966,5683,0.3429298184761244,5.27,1.27,285.61,19,0.418761,0.676985,0.003629,0.006224,9115.0,10979.0
30.0,40.0,3,4337,1126,3211,0.2596264699100761,5.3,1.3,349.48,28,0.412801,0.673729,0.003034,0.004253,4596.0,5632.0
25.0,40.0,0,6159,1818,4341,0.2951777886020458,5.12,1.12,319.26,21,0.413223,0.673961,0.002863,0.004393,6306.0,6894.0
25.0,40.0,5,6140,1812,4328,0.29511400651465797,5.08,1.08,319.25,21,0.412813,0.673736,0.002774,0.004257,6244.0,6660.0
30.0,40.0,5,4506,1169,3337,0.2594318686196183,5.16,1.16,349.39,28,0.411391,0.672956,0.0027,0.003786,4646.0,5206.0
10.0,80.0,3,15930,12804,3126,0.8037664783427495,7.13,1.15,399.27,5,0.408698,0.671476,0.002358,0.002893,22713.0,18365.0
10.0,80.0,0,15927,12798,3129,0.8035411565266528,6.9,0.92,399.45,5,0.406948,0.670512,0.001885,0.002312,21975.0,14687.0
10.0,80.0,5,15927,12798,3129,0.8035411565266528,6.9,0.92,399.45,5,0.406948,0.670512,0.001885,0.002312,21975.0,14687.0
15.0,40.0,3,13154,5384,7770,0.4093051543256804,4.43,0.43,247.31,19,0.408467,0.671349,0.001422,0.002816,11656.0,5664.0
20.0,40.0,3,8415,2875,5540,0.34165181224004754,4.47,0.47,285.39,17,0.406876,0.670472,0.001333,0.002288,7516.0,3920.0
15.0,120.0,3,7021,5621,1400,0.8005982053838484,6.6,0.63,596.9,5,0.402121,0.667843,0.000861,0.000706,9266.0,4418.0
15.0,120.0,0,7024,5623,1401,0.8005410022779044,6.51,0.55,596.97,5,0.40184,0.667688,0.000747,0.000613,9152.0,3836.0
15.0,120.0,5,7024,5623,1401,0.8005410022779044,6.51,0.55,596.97,5,0.40184,0.667688,0.000747,0.000613,9152.0,3836.0
25.0,30.0,0,6775,1623,5152,0.23955719557195573,4.0,0.0,277.43,27,0.400058,0.666699,1.1e-05,1.9e-05,5425.0,25.0
20.0,80.0,3,5817,2932,2885,0.5040398831012549,3.91,-0.09,400.03,12,0.3993,0.666278,-0.000191,-0.000233,4545.0,-543.0
10.0,40.0,3,23108,11740,11368,0.5080491604639086,3.86,-0.14,202.17,14,0.395816,0.664337,-0.000576,-0.001396,17827.0,-3297.0
25.0,30.0,5,6734,1610,5124,0.2390852390852391,3.77,-0.23,277.32,31,0.396479,0.664707,-0.000665,-0.001175,5083.0,-1521.0
10.0,120.0,0,12640,10837,1803,0.8573575949367088,5.4,-0.59,488.72,5,0.397047,0.665023,-0.000983,-0.000985,13648.0,-7436.0
10.0,120.0,5,12640,10837,1803,0.8573575949367088,5.4,-0.59,488.72,5,0.397047,0.665023,-0.000983,-0.000985,13648.0,-7436.0
25.0,60.0,5,5060,1928,3132,0.38102766798418974,3.48,-0.52,388.14,17,0.395881,0.664373,-0.001089,-0.001375,3524.0,-2620.0
10.0,120.0,3,12625,10823,1802,0.8572673267326733,5.27,-0.72,488.85,5,0.396393,0.664659,-0.001201,-0.001204,13306.0,-9078.0
10.0,40.0,0,23303,11824,11479,0.5074024803673347,3.63,-0.37,202.18,14,0.389223,0.660643,-0.001487,-0.003604,16926.0,-8582.0
30.0,120.0,5,2605,1310,1295,0.5028790786948176,2.61,-1.39,596.84,12,0.395312,0.664055,-0.001906,-0.001565,1358.0,-3630.0
10.0,40.0,5,23283,11807,11476,0.507108190525276,3.51,-0.49,202.18,14,0.385786,0.658705,-0.001964,-0.004758,16362.0,-11322.0
25.0,60.0,0,5070,1929,3141,0.3804733727810651,3.04,-0.96,388.04,17,0.392362,0.662405,-0.002021,-0.002552,3082.0,-4870.0
50.0,30.0,5,1960,269,1691,0.13724489795918368,3.03,-0.97,390.12,36,0.392334,0.662389,-0.00204,-0.002561,1186.0,-1910.0
