hypothesis_id	hypothesis_name	dimension	source_id	cycle_pf	delta_pf	total_pnl_ticks	delta_pnl	n_cycles	win_rate	sharpe	max_drawdown_ticks	avg_winner_ticks	avg_loser_ticks	beats_baseline	feature_compute_sec	simulator_sec	total_sec	classification
H1	ATR-scaled step	A	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0319	6.3945	6.5005	OK
H1	ATR-scaled step	A	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0284	6.0777	6.1728	OK
H1	ATR-scaled step	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1304	8.1184	8.2488	OK
H3	SD band triggers	A	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0301	6.4885	6.5923	OK
H3	SD band triggers	A	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0271	6.0224	6.1154	OK
H3	SD band triggers	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1151	8.0997	8.2148	OK
H8	SD-scaled step from anchor	A	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0341	6.5107	6.6166	OK
H8	SD-scaled step from anchor	A	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	0.0315	6.2035	6.3064	OK
H8	SD-scaled step from anchor	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	0.1349	8.306	8.441	OK
H9	VWAP SD bands	A	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	2.0709	7.6224	9.7662	OK
H9	VWAP SD bands	A	bar_data_250tick_rot	0.7339	0.0	-72566.0	0.0	6403	0.8282	-0.0403	81307.0	37.74	-247.93	False	1.854	6.9476	8.8674	OK
H9	VWAP SD bands	A	bar_data_10sec_rot	0.755	0.0	-58058.0	0.0	5957	0.8254	-0.033	65476.0	36.39	-227.89	False	10.4347	9.461	19.8958	OK
H10	Price z-score threshold	A	bar_data_250vol_rot	0.6714	0.0	-99446.0	0.0	6517	0.8329	-0.0454	118147.0	37.43	-277.9	False	0.0347	6.4667	6.574	OK
