label	cycles	gpf	npf_1t	net_1t	npf_2t	net_2t	npf_3t	net_3t	wr	avg_w	avg_l	max_pos	adds_per_cyc
ATR R=1.5x A=4.0x	3246	1.1674	1.0689	6618	0.9782	-2183	0.8945	-10984	0.7381	42.9	-112.8	6	0.36
ATR R=1.5x A=5.0x	2801	1.1427	1.0581	5237	0.9788	-1974	0.9041	-9185	0.7804	43.6	-146.5	6	0.29
ATR R=1.5x A=6.0x	2471	1.1585	1.0784	6312	1.0024	198	0.9302	-5916	0.8094	43.4	-170.9	6	0.24
ATR R=1.5x A=7.0x	2060	1.0085	0.9444	-4382	0.883	-9421	0.824	-14460	0.8199	44.1	-212.5	5	0.22
ATR R=2.0x A=4.0x	2263	1.3111	1.2101	15798	1.1164	9141	1.0303	2484	0.7923	56.8	-115.3	6	0.47
ATR R=2.0x A=5.0x	1869	1.0129	0.9467	-4268	0.8846	-9534	0.8263	-14800	0.7207	56.4	-152.8	6	0.41
ATR R=2.0x A=6.0x	1646	1.0442	0.9831	-1236	0.9252	-5625	0.8702	-10014	0.7527	58.2	-180.1	5	0.33
ATR R=2.0x A=7.0x	1453	0.9502	0.8991	-7342	0.8502	-11133	0.8033	-14924	0.7743	58.2	-221.9	5	0.3
ATR R=2.5x A=4.0x	1663	1.2181	1.143	10827	1.0712	5512	1.0025	197	0.8575	60.8	-318.0	8	0.6
ATR R=2.5x A=5.0x	1436	1.1433	1.0751	4972	1.0105	716	0.9497	-3540	0.7981	68.0	-172.1	6	0.48
ATR R=2.5x A=6.0x	1235	1.0997	1.0426	2718	0.9884	-760	0.9369	-4238	0.7336	73.8	-191.0	6	0.41
ATR R=2.5x A=7.0x	1169	1.1197	1.0648	3952	1.0125	777	0.9624	-2398	0.7468	74.5	-205.3	5	0.36
ATR R=3.0x A=4.0x	1264	1.0678	1.0134	1103	0.9611	-3274	0.9108	-7651	0.8315	79.7	-383.5	9	0.73
ATR R=3.0x A=5.0x	1143	1.0389	0.9884	-839	0.9395	-4447	0.8921	-8055	0.8609	73.1	-443.3	7	0.58
ATR R=3.0x A=6.0x	959	1.0806	1.0278	1592	0.9775	-1323	0.9296	-4238	0.7852	85.9	-212.9	6	0.52
ATR R=3.0x A=7.0x	848	0.9688	0.9276	-4276	0.8881	-6747	0.8502	-9218	0.7252	89.3	-252.6	5	0.46
ATR R=2.0x A=4.0x MTP=2 froz	414	2.0282	1.8692	8479	1.7169	7341	1.5778	6203	0.8382	62.0	-83.4	2	0.38
