step_dist	max_levels	max_total_position	source_id	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed
1.0	1	1	bar_data_250tick_rot	0.0	389271	0.0	-1678019.0	1678034.0	-0.4863	2138.0	0.0	3.9443	-1.0	-0.4863	0.0	450355	61085
1.0	1	2	bar_data_250tick_rot	0.0	389271	0.0	-2474841.0	2474856.0	-0.3678	4272.0	0.0	2.673	-1.0	-0.3678	0.0	450355	61085
1.0	1	4	bar_data_250tick_rot	0.0	389271	0.0	-3698485.0	3698500.0	-0.2926	8532.0	10.57	1.7895	-1.0	-0.2926	0.0	450355	61085
1.0	1	8	bar_data_250tick_rot	0.0	389271	0.0	-5556925.0	5556940.0	-0.2379	17036.0	2.24	1.1905	-1.0	-0.2379	0.0	450355	61085
1.0	1	16	bar_data_250tick_rot	0.0	389271	0.0	-8359037.0	8359052.0	-0.1945	34012.0	2.24	0.7918	-1.0	-0.1945	0.0	450355	61085
1.0	1	0	bar_data_250tick_rot	0.0	389271	0.0	-19484883.0	19484898.0	-0.0101	3035614.0	2.24	0.3397	-1.0	-0.0101	0.0	450355	61085
1.0	2	2	bar_data_250tick_rot	0.0	389271	0.0	-2474841.0	2474856.0	-0.3678	4272.0	0.0	2.673	-1.0	-0.3678	0.0	450355	61085
1.0	2	4	bar_data_250tick_rot	0.0	389271	0.0	-3698485.0	3698500.0	-0.2926	8532.0	0.0	1.7895	-1.0	-0.2926	0.0	450355	61085
1.0	2	8	bar_data_250tick_rot	0.0	389271	0.0	-5556925.0	5556940.0	-0.2379	17036.0	8.33	1.1905	-1.0	-0.2379	0.0	450355	61085
1.0	2	16	bar_data_250tick_rot	0.0	389271	0.0	-8359037.0	8359052.0	-0.1945	34012.0	1.98	0.7918	-1.0	-0.1945	0.0	450355	61085
1.0	2	0	bar_data_250tick_rot	0.0	389271	0.0	-19484883.0	19484898.0	-0.0101	3035614.0	1.98	0.3397	-1.0	-0.0101	0.0	450355	61085
1.0	3	4	bar_data_250tick_rot	0.0	389271	0.0	-3698485.0	3698500.0	-0.2926	8532.0	0.0	1.7895	-1.0	-0.2926	0.0	450355	61085
1.0	3	8	bar_data_250tick_rot	0.0	389271	0.0	-5556925.0	5556940.0	-0.2379	17036.0	0.0	1.1905	-1.0	-0.2379	0.0	450355	61085
1.0	3	16	bar_data_250tick_rot	0.0	389271	0.0	-8359037.0	8359052.0	-0.1945	34012.0	6.35	0.7918	-1.0	-0.1945	0.0	450355	61085
1.0	3	0	bar_data_250tick_rot	0.0	389271	0.0	-19484883.0	19484898.0	-0.0101	3035614.0	1.62	0.3397	-1.0	-0.0101	0.0	450355	61085
1.0	4	4	bar_data_250tick_rot	0.0	389271	0.0	-3698485.0	3698500.0	-0.2926	8532.0	0.0	1.7895	-1.0	-0.2926	0.0	450355	61085
1.0	4	8	bar_data_250tick_rot	0.0	389271	0.0	-5556925.0	5556940.0	-0.2379	17036.0	0.0	1.1905	-1.0	-0.2379	0.0	450355	61085
1.0	4	16	bar_data_250tick_rot	0.0	389271	0.0	-8359037.0	8359052.0	-0.1945	34012.0	0.0	0.7918	-1.0	-0.1945	0.0	450355	61085
1.0	4	0	bar_data_250tick_rot	0.0	389271	0.0	-19484883.0	19484898.0	-0.0101	3035614.0	4.74	0.3397	-1.0	-0.0101	0.0	450355	61085
1.0	5	4	bar_data_250tick_rot	0.0	389271	0.0	-3698485.0	3698500.0	-0.2926	8532.0	0.0	1.7895	-1.0	-0.2926	0.0	450355	61085
1.0	5	8	bar_data_250tick_rot	0.0	389271	0.0	-5556925.0	5556940.0	-0.2379	17036.0	0.0	1.1905	-1.0	-0.2379	0.0	450355	61085
1.0	5	16	bar_data_250tick_rot	0.0	389271	0.0	-8359037.0	8359052.0	-0.1945	34012.0	0.0	0.7918	-1.0	-0.1945	0.0	450355	61085
1.0	5	0	bar_data_250tick_rot	0.0	389271	0.0	-19484883.0	19484898.0	-0.0101	3035614.0	0.0	0.3397	-1.0	-0.0101	0.0	450355	61085
1.5	1	1	bar_data_250tick_rot	0.0	312861	0.0	-876259.0	876276.0	-0.291	2142.0	0.0	6.0714	-1.0	-0.1562	0.0	373945	61085
1.5	1	2	bar_data_250tick_rot	0.0	312861	0.0	-1458031.0	1458048.0	-0.2611	4278.0	0.0	3.6481	-1.0	-0.1299	0.0	373945	61085
1.5	1	4	bar_data_250tick_rot	0.0	312861	0.0	-2214139.0	2214156.0	-0.2209	8538.0	10.85	2.4011	-1.0	-0.1019	0.0	373945	61085
1.5	1	8	bar_data_250tick_rot	0.0	312861	0.0	-3192115.0	3192132.0	-0.1787	17034.0	3.74	1.6667	-1.0	-0.0778	0.0	373945	61085
1.5	1	16	bar_data_250tick_rot	0.0	312861	0.0	-4471891.0	4471908.0	-0.1395	33978.0	3.74	1.1896	-1.0	-0.0584	0.0	373945	61085
1.5	1	0	bar_data_250tick_rot	0.0	312861	0.0	-9388963.0	9388980.0	-0.0081	2027400.0	3.74	0.5665	-1.0	-0.0032	0.0	373945	61085
1.5	2	2	bar_data_250tick_rot	0.0	312861	0.0	-1458031.0	1458048.0	-0.2611	4278.0	0.0	3.6481	-1.0	-0.1299	0.0	373945	61085
1.5	2	4	bar_data_250tick_rot	0.0	312861	0.0	-2214139.0	2214156.0	-0.2209	8538.0	0.0	2.4011	-1.0	-0.1019	0.0	373945	61085
1.5	2	8	bar_data_250tick_rot	0.0	312861	0.0	-3192115.0	3192132.0	-0.1787	17034.0	7.11	1.6667	-1.0	-0.0778	0.0	373945	61085
1.5	2	16	bar_data_250tick_rot	0.0	312861	0.0	-4471891.0	4471908.0	-0.1395	33978.0	2.61	1.1896	-1.0	-0.0584	0.0	373945	61085
1.5	2	0	bar_data_250tick_rot	0.0	312861	0.0	-9388963.0	9388980.0	-0.0081	2027400.0	2.61	0.5665	-1.0	-0.0032	0.0	373945	61085
