experiment	detector_name	profile	source_id	drawdown_budget_ticks	velocity_threshold_sec	consecutive_adds_threshold	cooldown_sec	step_widen_factor	max_levels_reduction	retracement_reset_pct	precursor_min_signals	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed	l1_triggers	l2_triggers	l3_triggers	worst_dd_reduction	max_level_pct_reduction	pnl_impact_ticks	tail_ratio_delta	n_td_flatten_cycles	l3_recovery_bars_avg
1	retracement	MAX_PROFIT	bar_data_250vol_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	2.2037	624	0.9583	10537.0	8569.0	0.049	8569.0	0.0	0.0958	1.2297	0.0097	94.44	14206	66539	38880	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MAX_PROFIT	bar_data_250vol_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.345	402	0.9751	3366.0	9699.0	0.0173	9699.0	0.0	0.0343	0.347	0.0026	93.75	15180	66539	41675	0	0	-1130.0	0.0	-7171.0	-0.0615	0	0.0
1	consecutive_adds	MAX_PROFIT	bar_data_250vol_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	2.1707	618	0.9579	10248.0	8569.0	0.0479	8569.0	0.0	0.0953	1.1959	0.0095	94.44	14206	66539	60585	0	0	0.0	0.0	-289.0	-0.0005000000000000004	0	0.0
1	drawdown_budget	MAX_PROFIT	bar_data_250vol_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4577	3697	0.3614	-22171.0	22040.0	-0.2941	143.0	0.0	0.8089	-1.0059	-0.4313	8.11	7401	66539	0	0	3697	8426.0	0.0	-32708.0	0.7131	3697	2.0
1	retracement	MAX_PROFIT	bar_data_250tick_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	1.8413	360	0.9972	4489.0	5336.0	0.0441	5336.0	0.0	0.0051	0.8413	0.0	92.86	19998	61085	39469	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MAX_PROFIT	bar_data_250tick_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.8413	360	0.9972	4489.0	5336.0	0.0441	5336.0	0.0	0.0051	0.8413	0.0	92.86	19998	61085	39469	0	0	0.0	0.0	0.0	0.0	0	0.0
1	consecutive_adds	MAX_PROFIT	bar_data_250tick_rot	999999.0	0.001	3	300.0	1.5	1	0.3	99	1.7453	330	0.997	3977.0	5336.0	0.0408	5336.0	0.0	0.0053	0.7453	0.0	92.86	19998	61085	58977	0	0	0.0	0.0	-512.0	0.00019999999999999966	0	0.0
1	drawdown_budget	MAX_PROFIT	bar_data_250tick_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4601	3396	0.3613	-21130.0	21217.0	-0.2935	155.0	0.0	0.8137	-0.9959	-0.4188	8.11	6790	61085	0	0	3394	5181.0	0.0	-25619.0	0.8086	3394	2.0
1	retracement	MAX_PROFIT	bar_data_10sec_rot	999999.0	0.001	999	300.0	1.5	1	0.3	99	1.7218	368	0.9212	11363.0	13981.0	0.0396	13981.0	27.72	0.1473	0.8127	0.0121	86.67	21735	70200	49057	0	0	0.0	0.0	0.0	0.0	0	0.0
1	velocity	MAX_PROFIT	bar_data_10sec_rot	999999.0	60.0	999	300.0	1.5	1	0.3	99	1.7486	388	0.9149	11622.0	13406.0	0.0409	13406.0	25.26	0.1625	0.8669	0.0131	86.67	21731	70200	49739	0	0	575.0	2.4599999999999973	259.0	0.015200000000000019	0	0.0
