experiment	detector_name	profile	source_id	drawdown_budget_ticks	velocity_threshold_sec	consecutive_adds_threshold	cooldown_sec	step_widen_factor	max_levels_reduction	retracement_reset_pct	precursor_min_signals	cycle_pf	n_cycles	win_rate	total_pnl_ticks	max_drawdown_ticks	sharpe	worst_cycle_dd	max_level_exposure_pct	tail_ratio	calmar_ratio	sortino_ratio	winning_session_pct	max_dd_duration_bars	bars_processed	l1_triggers	l2_triggers	l3_triggers	worst_dd_reduction	max_level_pct_reduction	pnl_impact_ticks	tail_ratio_delta	n_td_flatten_cycles	l3_recovery_bars_avg
2	drawdown_sweep_30	MAX_PROFIT	bar_data_250vol_rot	30.0	0.001	999	300.0	1.5	1	0.3	99	0.4447	3697	0.3541	-22809.0	22738.0	-0.2994	201.0	0.0	0.811	-1.0031	-0.4128	2.7	7399	66539	0	0	3697	8368.0	0.0	-33346.0	0.7152000000000001	3697	2.0
2	drawdown_sweep_40	MAX_PROFIT	bar_data_250vol_rot	40.0	0.001	999	300.0	1.5	1	0.3	99	0.4447	3697	0.3541	-22809.0	22738.0	-0.2994	201.0	0.0	0.811	-1.0031	-0.4128	2.7	7399	66539	0	0	3697	8368.0	0.0	-33346.0	0.7152000000000001	3697	2.0
2	drawdown_sweep_50	MAX_PROFIT	bar_data_250vol_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4577	3697	0.3614	-22171.0	22040.0	-0.2941	143.0	0.0	0.8089	-1.0059	-0.4313	8.11	7401	66539	0	0	3697	8426.0	0.0	-32708.0	0.7131	3697	2.0
2	drawdown_sweep_60	MAX_PROFIT	bar_data_250vol_rot	60.0	0.001	999	300.0	1.5	1	0.3	99	0.4577	3697	0.3614	-22171.0	22040.0	-0.2941	143.0	0.0	0.8089	-1.0059	-0.4313	8.11	7401	66539	0	0	3697	8426.0	0.0	-32708.0	0.7131	3697	2.0
2	drawdown_sweep_80	MAX_PROFIT	bar_data_250vol_rot	80.0	0.001	999	300.0	1.5	1	0.3	99	0.4605	3697	0.3576	-21809.0	21663.0	-0.2897	149.0	0.0	0.8273	-1.0067	-0.4212	5.41	7403	66539	0	0	3697	8420.0	0.0	-32346.0	0.7315	3697	2.0
2	drawdown_sweep_100	MAX_PROFIT	bar_data_250vol_rot	100.0	0.001	999	300.0	1.5	1	0.3	99	0.4494	3701	0.3561	-22653.0	22885.0	-0.2939	201.0	0.0	0.8129	-0.9899	-0.4001	5.41	7394	66539	0	0	3691	8368.0	0.0	-33190.0	0.7171	3691	2.0
2	drawdown_sweep_30	MAX_PROFIT	bar_data_250tick_rot	30.0	0.001	999	300.0	1.5	1	0.3	99	0.4601	3396	0.3613	-21130.0	21217.0	-0.2935	155.0	0.0	0.8137	-0.9959	-0.4188	8.11	6790	61085	0	0	3394	5181.0	0.0	-25619.0	0.8086	3394	2.0
2	drawdown_sweep_40	MAX_PROFIT	bar_data_250tick_rot	40.0	0.001	999	300.0	1.5	1	0.3	99	0.4601	3396	0.3613	-21130.0	21217.0	-0.2935	155.0	0.0	0.8137	-0.9959	-0.4188	8.11	6790	61085	0	0	3394	5181.0	0.0	-25619.0	0.8086	3394	2.0
2	drawdown_sweep_50	MAX_PROFIT	bar_data_250tick_rot	50.0	0.001	999	300.0	1.5	1	0.3	99	0.4601	3396	0.3613	-21130.0	21217.0	-0.2935	155.0	0.0	0.8137	-0.9959	-0.4188	8.11	6790	61085	0	0	3394	5181.0	0.0	-25619.0	0.8086	3394	2.0
2	drawdown_sweep_60	MAX_PROFIT	bar_data_250tick_rot	60.0	0.001	999	300.0	1.5	1	0.3	99	0.4821	3396	0.3693	-20328.0	20418.0	-0.2597	127.0	0.0	0.8237	-0.9956	-0.3983	5.41	6792	61085	0	0	3394	5209.0	0.0	-24817.0	0.8186	3394	2.0
