index,cycle,cpp_event,cpp_side,cpp_price,cpp_posqty,cpp_pnl,py_event,py_side,py_price,py_posqty,py_pnl,match,mismatch_detail
0,1,SEED,LONG,24494.75,1.0,0.0,SEED,LONG,24494.75,1.0,0.0,EXACT,
1,1,ADD,LONG,24469.5,2.0,0.0,ADD,LONG,24469.5,2.0,0.0,EXACT,
2,1,ADD,LONG,24444.5,3.0,0.0,ADD,LONG,24444.0,3.0,0.0,TOLERANCE,
3,1,REVERSAL,LONG,24469.5,3.0,-2.7,REVERSAL,LONG,24469.75,3.0,1.3,TOLERANCE,
4,2,REVERSAL_ENTRY,SHORT,24469.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24469.75,1.0,0.0,EXACT,
5,2,ADD,SHORT,24495.75,-2.0,0.0,ADD,SHORT,24495.0,-2.0,0.0,TOLERANCE,
6,2,REVERSAL,SHORT,24470.75,-2.0,46.5,REVERSAL,SHORT,24469.5,-2.0,51.5,TOLERANCE,
7,3,REVERSAL_ENTRY,LONG,24470.75,1.0,0.0,REVERSAL_ENTRY,LONG,24469.5,1.0,0.0,TOLERANCE,
8,3,REVERSAL,LONG,24495.75,1.0,97.0,REVERSAL,LONG,24494.75,1.0,101.0,TOLERANCE,
9,4,REVERSAL_ENTRY,SHORT,24495.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24494.75,1.0,0.0,TOLERANCE,
10,4,ADD,SHORT,24521.0,-2.0,0.0,ADD,SHORT,24520.0,-2.0,0.0,TOLERANCE,
11,4,REVERSAL,SHORT,24495.5,-2.0,50.5,REVERSAL,SHORT,24494.75,-2.0,50.5,TOLERANCE,
12,5,REVERSAL_ENTRY,LONG,24495.5,1.0,0.0,REVERSAL_ENTRY,LONG,24494.75,1.0,0.0,TOLERANCE,
13,5,ADD,LONG,24470.0,2.0,0.0,ADD,LONG,24469.0,2.0,0.0,TOLERANCE,
14,5,ADD,LONG,24444.5,3.0,0.0,ADD,LONG,24443.5,3.0,0.0,TOLERANCE,
15,5,ADD,LONG,24419.25,4.0,0.0,ADD,LONG,24418.25,4.0,0.0,TOLERANCE,
16,5,ADD,LONG,24394.25,5.0,0.0,ADD,LONG,24393.0,5.0,0.0,TOLERANCE,
17,5,REVERSAL,LONG,24421.25,5.0,-95.4,REVERSAL,LONG,24418.5,5.0,-100.8,TOLERANCE,
18,6,REVERSAL_ENTRY,SHORT,24420.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24418.5,1.0,0.0,TOLERANCE,
19,6,REVERSAL,SHORT,24395.25,-1.0,97.0,REVERSAL,SHORT,24393.25,-1.0,101.0,TOLERANCE,
20,7,REVERSAL_ENTRY,LONG,24395.25,1.0,0.0,REVERSAL_ENTRY,LONG,24393.25,1.0,0.0,TOLERANCE,
21,7,REVERSAL,LONG,24420.5,1.0,102.0,REVERSAL,LONG,24418.5,1.0,101.0,TOLERANCE,
22,8,REVERSAL_ENTRY,SHORT,24420.25,1.0,0.0,REVERSAL_ENTRY,SHORT,24418.5,1.0,0.0,TOLERANCE,
23,8,REVERSAL,SHORT,24395.25,-1.0,96.0,REVERSAL,SHORT,24393.0,-1.0,102.0,TOLERANCE,
24,9,REVERSAL_ENTRY,LONG,24395.25,1.0,0.0,REVERSAL_ENTRY,LONG,24393.0,1.0,0.0,TOLERANCE,
25,9,REVERSAL,LONG,24420.5,1.0,92.0,REVERSAL,LONG,24418.25,1.0,101.0,TOLERANCE,
26,10,REVERSAL_ENTRY,SHORT,24421.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24418.25,1.0,0.0,PRICE_OFFSET,price_delta=3.25
27,10,ADD,SHORT,24447.0,-2.0,0.0,ADD,SHORT,24443.5,-2.0,0.0,PRICE_OFFSET,price_delta=3.50
28,10,REVERSAL,SHORT,24421.75,-2.0,49.0,ADD,SHORT,24469.0,-3.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:-2!=-3
29,10,MISSING,,,,,REVERSAL,SHORT,24443.75,-3.0,-0.7,MISSING,
30,11,REVERSAL_ENTRY,LONG,24421.5,1.0,0.0,REVERSAL_ENTRY,LONG,24443.75,1.0,0.0,PRICE_OFFSET,price_delta=22.25
31,11,ADD,LONG,24396.5,2.0,0.0,ADD,LONG,24418.5,2.0,0.0,PRICE_OFFSET,price_delta=22.00
32,11,ADD,LONG,24371.5,3.0,0.0,ADD,LONG,24393.0,3.0,0.0,PRICE_OFFSET,price_delta=21.50
33,11,ADD,LONG,24346.5,4.0,0.0,ADD,LONG,24367.75,4.0,0.0,PRICE_OFFSET,price_delta=21.25
34,11,ADD,LONG,24321.25,5.0,0.0,ADD,LONG,24342.5,5.0,0.0,PRICE_OFFSET,price_delta=21.25
35,11,ADD,LONG,24296.0,6.0,0.0,REVERSAL,LONG,24367.75,5.0,-101.4,MISMATCH,event:ADD!=REVERSAL; posqty:6!=5
36,11,ADD,LONG,24269.5,7.0,0.0,MISSING,,,,,MISSING,
37,11,REVERSAL,LONG,24294.75,7.0,-207.7,MISSING,,,,,MISSING,
38,12,REVERSAL_ENTRY,SHORT,24295.25,1.0,0.0,REVERSAL_ENTRY,SHORT,24367.75,1.0,0.0,PRICE_OFFSET,price_delta=72.50
39,12,ADD,SHORT,24320.5,-2.0,0.0,REVERSAL,SHORT,24342.5,-1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:-2!=-1
40,12,REVERSAL,SHORT,24295.5,-2.0,47.5,MISSING,,,,,MISSING,
41,13,REVERSAL_ENTRY,LONG,24295.75,1.0,0.0,REVERSAL_ENTRY,LONG,24342.5,1.0,0.0,PRICE_OFFSET,price_delta=46.75
42,13,ADD,LONG,24270.75,2.0,0.0,ADD,LONG,24317.25,2.0,0.0,PRICE_OFFSET,price_delta=46.50
43,13,REVERSAL,LONG,24296.0,2.0,49.5,ADD,LONG,24292.0,3.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:2!=3
44,13,MISSING,,,,,ADD,LONG,24266.5,4.0,0.0,MISSING,
45,13,MISSING,,,,,REVERSAL,LONG,24291.75,4.0,-51.2,MISSING,
46,14,REVERSAL_ENTRY,SHORT,24294.0,1.0,0.0,REVERSAL_ENTRY,SHORT,24291.75,1.0,0.0,TOLERANCE,
47,14,REVERSAL,SHORT,24266.25,-1.0,111.0,ADD,SHORT,24317.0,-2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:-1!=-2
48,14,MISSING,,,,,REVERSAL,SHORT,24291.5,-2.0,51.5,MISSING,
49,15,REVERSAL_ENTRY,LONG,24267.0,1.0,0.0,REVERSAL_ENTRY,LONG,24291.5,1.0,0.0,PRICE_OFFSET,price_delta=24.50
50,15,ADD,LONG,24242.0,2.0,0.0,ADD,LONG,24266.25,2.0,0.0,PRICE_OFFSET,price_delta=24.25
51,15,REVERSAL,LONG,24267.0,2.0,48.5,ADD,LONG,24241.0,3.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:2!=3
52,15,MISSING,,,,,REVERSAL,LONG,24266.25,3.0,0.0,MISSING,
53,16,REVERSAL_ENTRY,SHORT,24267.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24266.25,1.0,0.0,TOLERANCE,
54,16,ADD,SHORT,24292.75,-2.0,0.0,ADD,SHORT,24291.5,-2.0,0.0,TOLERANCE,
55,16,REVERSAL,SHORT,24267.75,-2.0,47.5,REVERSAL,SHORT,24266.0,-2.0,51.5,TOLERANCE,
56,17,REVERSAL_ENTRY,LONG,24268.75,1.0,0.0,REVERSAL_ENTRY,LONG,24266.0,1.0,0.0,TOLERANCE,
57,17,REVERSAL,LONG,24294.75,1.0,103.0,REVERSAL,LONG,24291.75,1.0,103.0,TOLERANCE,
58,18,REVERSAL_ENTRY,SHORT,24294.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24291.75,1.0,0.0,TOLERANCE,
59,18,ADD,SHORT,24320.0,-2.0,0.0,REVERSAL,SHORT,24266.5,-1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:-2!=-1
60,18,REVERSAL,SHORT,24293.5,-2.0,54.0,MISSING,,,,,MISSING,
61,19,REVERSAL_ENTRY,LONG,24293.5,1.0,0.0,REVERSAL_ENTRY,LONG,24266.5,1.0,0.0,PRICE_OFFSET,price_delta=27.00
62,19,ADD,LONG,24268.5,2.0,0.0,REVERSAL,LONG,24291.75,1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:2!=1
63,19,REVERSAL,LONG,24293.5,2.0,49.0,MISSING,,,,,MISSING,
64,20,REVERSAL_ENTRY,SHORT,24293.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24291.75,1.0,0.0,TOLERANCE,
65,20,REVERSAL,SHORT,24268.5,-1.0,97.0,ADD,SHORT,24317.0,-2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:-1!=-2
66,20,MISSING,,,,,REVERSAL,SHORT,24291.75,-2.0,50.5,MISSING,
67,21,REVERSAL_ENTRY,LONG,24268.5,1.0,0.0,REVERSAL_ENTRY,LONG,24291.75,1.0,0.0,PRICE_OFFSET,price_delta=23.25
68,21,ADD,LONG,24242.0,2.0,0.0,ADD,LONG,24266.5,2.0,0.0,PRICE_OFFSET,price_delta=24.50
69,21,REVERSAL,LONG,24268.75,2.0,48.0,REVERSAL,LONG,24291.75,2.0,50.5,PRICE_OFFSET,price_delta=23.00
70,22,REVERSAL_ENTRY,SHORT,24267.5,1.0,0.0,REVERSAL_ENTRY,SHORT,24291.75,1.0,0.0,PRICE_OFFSET,price_delta=24.25
71,22,ADD,SHORT,24293.5,-2.0,0.0,REVERSAL,SHORT,24266.5,-1.0,101.0,MISMATCH,event:ADD!=REVERSAL; posqty:-2!=-1
72,22,ADD,SHORT,24318.5,-3.0,0.0,MISSING,,,,,MISSING,
73,22,REVERSAL,SHORT,24293.25,-3.0,-1.0,MISSING,,,,,MISSING,
74,23,REVERSAL_ENTRY,LONG,24293.25,1.0,0.0,REVERSAL_ENTRY,LONG,24266.5,1.0,0.0,PRICE_OFFSET,price_delta=26.75
75,23,ADD,LONG,24267.5,2.0,0.0,ADD,LONG,24241.25,2.0,0.0,PRICE_OFFSET,price_delta=26.25
76,23,ADD,LONG,24242.5,3.0,0.0,REVERSAL,LONG,24266.75,2.0,51.5,MISMATCH,event:ADD!=REVERSAL; posqty:3!=2
77,23,REVERSAL,LONG,24267.75,3.0,-2.0,MISSING,,,,,MISSING,
78,24,REVERSAL_ENTRY,SHORT,24268.75,1.0,0.0,REVERSAL_ENTRY,SHORT,24266.75,1.0,0.0,TOLERANCE,
79,24,REVERSAL,SHORT,24243.5,-1.0,100.0,ADD,SHORT,24292.0,-2.0,0.0,MISMATCH,event:REVERSAL!=ADD; posqty:-1!=-2
80,24,MISSING,,,,,ADD,SHORT,24317.25,-3.0,0.0,MISSING,
81,24,MISSING,,,,,REVERSAL,SHORT,24292.0,-3.0,0.0,MISSING,
