cycle_num,cpp_adds,cpp_pnl,cpp_side,cpp_exit_qty,py_adds,py_pnl,py_side,py_exit_qty,adds_match,pnl_match,pnl_delta,side_match,match
1,2,-2.7,LONG,3,2,1.3,LONG,3,True,False,4.0,True,False
2,1,46.5,SHORT,2,1,51.5,SHORT,2,True,False,5.0,True,False
3,0,97.0,LONG,1,0,101.0,LONG,1,True,False,4.0,True,False
4,1,50.5,SHORT,2,1,50.5,SHORT,2,True,True,0.0,True,True
5,4,-95.4,LONG,5,4,-100.8,LONG,5,True,False,5.4,True,False
6,0,97.0,SHORT,1,0,101.0,SHORT,1,True,False,4.0,True,False
7,0,102.0,LONG,1,0,101.0,LONG,1,True,True,1.0,True,True
8,0,96.0,SHORT,1,0,102.0,SHORT,1,True,False,6.0,True,False
9,0,92.0,LONG,1,0,101.0,LONG,1,True,False,9.0,True,False
10,1,49.0,SHORT,2,2,-0.7,SHORT,3,False,False,49.7,True,False
11,6,-207.7,LONG,7,4,-101.4,LONG,5,False,False,106.3,True,False
12,1,47.5,SHORT,2,0,101.0,SHORT,1,False,False,53.5,True,False
13,1,49.5,LONG,2,3,-51.2,LONG,4,False,False,100.7,True,False
14,0,111.0,SHORT,1,1,51.5,SHORT,2,False,False,59.5,True,False
15,1,48.5,LONG,2,2,0.0,LONG,3,False,False,48.5,True,False
16,1,47.5,SHORT,2,1,51.5,SHORT,2,True,False,4.0,True,False
17,0,103.0,LONG,1,0,103.0,LONG,1,True,True,0.0,True,True
18,1,54.0,SHORT,2,0,101.0,SHORT,1,False,False,47.0,True,False
19,1,49.0,LONG,2,0,101.0,LONG,1,False,False,52.0,True,False
20,0,97.0,SHORT,1,1,50.5,SHORT,2,False,False,46.5,True,False
21,1,48.0,LONG,2,1,50.5,LONG,2,True,False,2.5,True,False
22,2,-1.0,SHORT,3,0,101.0,SHORT,1,False,False,102.0,True,False
23,2,-2.0,LONG,3,1,51.5,LONG,2,False,False,53.5,True,False
24,0,100.0,SHORT,1,2,0.0,SHORT,3,False,False,100.0,True,False
25,0,100.0,LONG,1,2,1.0,LONG,3,False,False,99.0,True,False
26,1,46.5,SHORT,2,0,101.0,SHORT,1,False,False,54.5,True,False
27,0,103.0,LONG,1,0,102.0,LONG,1,True,True,1.0,True,True
28,1,43.0,SHORT,2,1,50.5,SHORT,2,True,False,7.5,True,False
29,2,-5.3,LONG,3,0,101.0,LONG,1,False,False,106.3,True,False
30,1,50.0,SHORT,2,2,0.0,SHORT,3,False,False,50.0,True,False
31,0,98.0,LONG,1,2,0.3,LONG,3,False,False,97.7,True,False
32,0,97.0,SHORT,1,0,101.0,SHORT,1,True,False,4.0,True,False
33,0,99.0,LONG,1,0,101.0,LONG,1,True,True,2.0,True,True
34,0,102.0,SHORT,1,0,101.0,SHORT,1,True,True,1.0,True,True
35,0,96.0,LONG,1,0,102.0,LONG,1,True,False,6.0,True,False
36,2,-1.3,SHORT,3,2,0.0,SHORT,3,True,True,1.3,True,True
37,0,98.0,LONG,1,0,101.0,LONG,1,True,False,3.0,True,False
38,0,105.0,SHORT,1,0,101.0,SHORT,1,True,False,4.0,True,False
39,0,99.0,LONG,1,0,101.0,LONG,1,True,True,2.0,True,True
40,0,100.0,SHORT,1,0,101.0,SHORT,1,True,True,1.0,True,True
41,3,-55.7,LONG,4,3,-50.5,LONG,4,True,False,5.2,True,False
42,1,47.5,SHORT,2,1,52.5,SHORT,2,True,False,5.0,True,False
43,1,52.5,LONG,2,0,102.0,LONG,1,False,False,49.5,True,False
44,0,95.0,SHORT,1,0,101.0,SHORT,1,True,False,6.0,True,False
45,3,-56.0,LONG,4,1,51.5,LONG,2,False,False,107.5,True,False
46,0,111.0,SHORT,1,0,101.0,SHORT,1,True,False,10.0,True,False
47,0,96.0,LONG,1,3,-50.5,LONG,4,False,False,146.5,True,False
48,1,48.0,SHORT,2,1,50.0,SHORT,2,True,True,2.0,True,True
49,3,-53.2,LONG,4,3,-51.2,LONG,4,True,True,2.0,True,True
50,0,96.0,SHORT,1,0,101.0,SHORT,1,True,False,5.0,True,False
51,2,-5.7,LONG,3,1,50.5,LONG,2,False,False,56.2,True,False
52,0,98.0,SHORT,1,0,102.0,SHORT,1,True,False,4.0,True,False
53,3,-53.2,LONG,4,1,51.5,LONG,2,False,False,104.7,True,False
54,1,48.0,SHORT,2,0,101.0,SHORT,1,False,False,53.0,True,False
55,0,96.0,LONG,1,3,-50.5,LONG,4,False,False,146.5,True,False
