DateTime,Event,Side,Price,AvgEntryPrice,PosQty,AddQty,Level,PnlTicks
2026-03-20 08:29:14.296003,SEED,LONG,24494.75,24494.75,1,1,0,0.0
2026-03-20 08:32:05.564004,ADD,LONG,24469.5,24494.75,2,1,0,0.0
2026-03-20 08:42:15.086007,ADD,LONG,24444.0,24482.12,3,1,0,0.0
2026-03-20 08:46:18.434000,REVERSAL,LONG,24469.75,24469.42,3,0,0,1.3
2026-03-20 08:46:18.434000,REVERSAL_ENTRY,SHORT,24469.75,24469.75,1,1,0,0.0
2026-03-20 08:52:21.245000,ADD,SHORT,24495.0,24469.75,-2,1,0,0.0
2026-03-20 09:06:51.642001,REVERSAL,SHORT,24469.5,24482.38,-2,0,0,51.5
2026-03-20 09:06:51.642001,REVERSAL_ENTRY,LONG,24469.5,24469.5,1,1,0,0.0
2026-03-20 09:24:24.939000,REVERSAL,LONG,24494.75,24469.5,1,0,0,101.0
2026-03-20 09:24:24.939000,REVERSAL_ENTRY,SHORT,24494.75,24494.75,1,1,0,0.0
2026-03-20 09:25:42.312001,ADD,SHORT,24520.0,24494.75,-2,1,0,0.0
2026-03-20 09:29:43.620002,REVERSAL,SHORT,24494.75,24507.38,-2,0,0,50.5
2026-03-20 09:29:43.620002,REVERSAL_ENTRY,LONG,24494.75,24494.75,1,1,0,0.0
2026-03-20 09:30:05.253000,ADD,LONG,24469.0,24494.75,2,1,0,0.0
2026-03-20 09:30:40.805000,ADD,LONG,24443.5,24481.88,3,1,0,0.0
2026-03-20 09:31:22.570000,ADD,LONG,24418.25,24469.08,4,1,0,0.0
2026-03-20 09:31:34.412040,ADD,LONG,24393.0,24456.38,5,1,0,0.0
2026-03-20 09:32:04.647000,REVERSAL,LONG,24418.5,24443.7,5,0,0,-100.8
2026-03-20 09:32:04.647000,REVERSAL_ENTRY,SHORT,24418.5,24418.5,1,1,0,0.0
2026-03-20 09:33:40.275000,REVERSAL,SHORT,24393.25,24418.5,-1,0,0,101.0
2026-03-20 09:33:40.275000,REVERSAL_ENTRY,LONG,24393.25,24393.25,1,1,0,0.0
2026-03-20 09:37:06.180000,REVERSAL,LONG,24418.5,24393.25,1,0,0,101.0
2026-03-20 09:37:06.180000,REVERSAL_ENTRY,SHORT,24418.5,24418.5,1,1,0,0.0
2026-03-20 09:38:13.409000,REVERSAL,SHORT,24393.0,24418.5,-1,0,0,102.0
2026-03-20 09:38:13.409000,REVERSAL_ENTRY,LONG,24393.0,24393.0,1,1,0,0.0
2026-03-20 09:41:36.179000,REVERSAL,LONG,24418.25,24393.0,1,0,0,101.0
2026-03-20 09:41:36.179000,REVERSAL_ENTRY,SHORT,24418.25,24418.25,1,1,0,0.0
2026-03-20 09:43:31.925000,ADD,SHORT,24443.5,24418.25,-2,1,0,0.0
2026-03-20 09:45:51.981000,ADD,SHORT,24469.0,24430.88,-3,1,0,0.0
2026-03-20 09:46:13.284043,REVERSAL,SHORT,24443.75,24443.58,-3,0,0,-0.7
2026-03-20 09:46:13.284043,REVERSAL_ENTRY,LONG,24443.75,24443.75,1,1,0,0.0
2026-03-20 09:46:37.233010,ADD,LONG,24418.5,24443.75,2,1,0,0.0
2026-03-20 09:50:14.399001,ADD,LONG,24393.0,24431.12,3,1,0,0.0
2026-03-20 09:50:52.807000,ADD,LONG,24367.75,24418.42,4,1,0,0.0
2026-03-20 09:53:14.375133,ADD,LONG,24342.5,24405.75,5,1,0,0.0
