split,threshold,count,mean,median,p75,p90,std,skewness,median_p90_ratio
RTH,3,574065,6.303677283931262,5.25,7.75,10.75,3.3753707652704685,1.9339122373836073,0.4883720930232558
RTH,5,230207,10.254467718184069,8.75,12.5,17.25,5.26188498675959,1.8930378674647443,0.5072463768115942
RTH,7,123646,14.160073920709122,12.0,17.0,23.5,7.148395859615846,1.9242817353668515,0.5106382978723404
RTH,10,62528,20.05138497952917,17.0,24.0,33.0,9.962130548671881,1.8927295042463488,0.5151515151515151
RTH,15,28222,29.924199206292965,25.5,35.6875,49.5,14.880385414666206,1.9663496675212377,0.5151515151515151
RTH,25,10252,49.44286480686695,42.0,58.75,80.75,24.31971888498339,1.9017810779760191,0.5201238390092879
RTH,50,2535,97.09191321499014,83.5,114.75,156.64999999999998,46.46607778054923,1.8907255433190426,0.5330354293009896
ETH,3,270298,6.605797120215466,5.5,8.0,11.5,3.7056545304808086,2.358823980260086,0.4782608695652174
ETH,5,116040,10.507221647707688,8.75,12.75,17.75,5.539155223649704,2.089263507396776,0.49295774647887325
ETH,7,64400,14.326482919254659,12.0,17.25,24.0,7.378628998060046,2.0408466744947793,0.5
ETH,10,32863,20.247071174268935,17.25,24.5,33.25,10.124513375872022,1.9799889200114718,0.518796992481203
ETH,15,15133,29.888307011167647,25.5,35.5,48.75,14.932724911148325,2.2163095607688583,0.5230769230769231
ETH,25,5690,48.21955184534271,41.0,56.75,78.25,23.627748117036248,2.076414686196983,0.5239616613418531
ETH,50,1264,97.04865506329114,80.75,115.25,159.52500000000003,47.5591914068503,1.869665756835747,0.5061902523115498
Combined,3,856357,6.40567076581379,5.25,7.75,11.0,3.496434208790716,2.118504058925251,0.4772727272727273
Combined,5,351453,10.347705809880695,8.75,12.5,17.5,5.370469562219039,1.9789541734633362,0.5
Combined,7,191091,14.226020587050149,12.0,17.0,23.75,7.242569461723114,1.973693104533658,0.5052631578947369
Combined,10,97030,20.13495568380913,17.0,24.25,33.25,10.047628563813367,1.9345706003240613,0.5112781954887218
Combined,15,44144,29.9546087803552,25.5,35.75,49.25,14.949146505391603,2.056453971673434,0.5177664974619289
Combined,25,16277,49.15552620261719,41.75,58.25,80.25,24.21947806873846,1.9505771963850387,0.5202492211838006
Combined,50,3937,97.98463296926595,83.5,116.0,159.85000000000002,47.729237947144604,1.8872880013717415,0.5223647169221144
