split,parent,child,retrace_count,total,success,rate
RTH,50,25,0,950,950,1.0
RTH,50,25,1,629,481,0.7647058823529411
RTH,50,25,2,370,207,0.5594594594594594
RTH,50,25,3,230,111,0.4826086956521739
RTH,50,25,4,143,72,0.5034965034965035
RTH,50,25,5+,211,109,0.5165876777251185
RTH,25,15,0,5351,5351,1.0
RTH,25,15,1,2363,1617,0.6842996191282268
RTH,25,15,2,1214,668,0.5502471169686985
RTH,25,15,3,689,297,0.4310595065312046
RTH,25,15,4,300,123,0.41
RTH,25,15,5+,303,109,0.35973597359735976
RTH,25,10,0,2346,2346,1.0
RTH,25,10,1,2170,1729,0.7967741935483871
RTH,25,10,2,1686,1080,0.6405693950177936
RTH,25,10,3,1192,668,0.5604026845637584
RTH,25,10,4,872,442,0.5068807339449541
RTH,25,10,5+,2004,905,0.45159680638722555
RTH,15,7,0,9651,9651,1.0
RTH,15,7,1,6625,5085,0.7675471698113208
RTH,15,7,2,4578,2660,0.581039755351682
RTH,15,7,3,2951,1464,0.49610301592680445
RTH,15,7,4,1803,862,0.47809206877426513
RTH,15,7,5+,2904,1265,0.4356060606060606
RTH,10,5,0,25453,25453,1.0
RTH,10,5,1,15693,11536,0.7351048238067929
RTH,10,5,2,9365,5131,0.5478910838227442
RTH,10,5,3,5640,2687,0.47641843971631204
RTH,10,5,4,3152,1370,0.4346446700507614
RTH,10,5,5+,4282,1777,0.414992993928071
RTH,7,3,0,41128,41128,1.0
RTH,7,3,1,30146,22858,0.7582432163471108
RTH,7,3,2,20857,12274,0.5884834827635805
RTH,7,3,3,13583,6672,0.4912022380917323
RTH,7,3,4,8629,3991,0.4625101402248233
RTH,7,3,5+,14087,6171,0.43806346276709024
ETH,50,25,0,455,455,1.0
ETH,50,25,1,341,268,0.7859237536656891
ETH,50,25,2,193,115,0.5958549222797928
ETH,50,25,3,119,53,0.44537815126050423
ETH,50,25,4,79,31,0.3924050632911392
ETH,50,25,5+,111,40,0.36036036036036034
ETH,25,15,0,3021,3021,1.0
ETH,25,15,1,1280,914,0.7140625
ETH,25,15,2,607,319,0.5255354200988468
ETH,25,15,3,346,174,0.5028901734104047
ETH,25,15,4,164,63,0.38414634146341464
ETH,25,15,5+,163,71,0.43558282208588955
ETH,25,10,0,1370,1370,1.0
ETH,25,10,1,1214,995,0.8196046128500823
ETH,25,10,2,846,562,0.6643026004728132
ETH,25,10,3,646,362,0.5603715170278638
ETH,25,10,4,423,227,0.5366430260047281
ETH,25,10,5+,1048,486,0.4637404580152672
ETH,15,7,0,5501,5501,1.0
ETH,15,7,1,3759,2910,0.7741420590582602
ETH,15,7,2,2417,1379,0.5705419942076955
ETH,15,7,3,1473,747,0.5071283095723014
ETH,15,7,4,980,447,0.4561224489795918
ETH,15,7,5+,1405,642,0.45693950177935944
ETH,10,5,0,14275,14275,1.0
ETH,10,5,1,8344,6074,0.7279482262703739
ETH,10,5,2,4961,2768,0.5579520258012497
ETH,10,5,3,2816,1352,0.48011363636363635
ETH,10,5,4,1634,703,0.43023255813953487
ETH,10,5,5+,1885,788,0.4180371352785146
ETH,7,3,0,24340,24340,1.0
ETH,7,3,1,16189,11872,0.7333374513558589
ETH,7,3,2,10740,6071,0.5652700186219739
ETH,7,3,3,6545,3097,0.47318563789152024
ETH,7,3,4,3992,1770,0.4433867735470942
ETH,7,3,5+,5638,2509,0.4450159631074849
Combined,50,25,0,1403,1403,1.0
Combined,50,25,1,974,752,0.7720739219712526
Combined,50,25,2,588,333,0.5663265306122449
Combined,50,25,3,362,169,0.46685082872928174
Combined,50,25,4,234,109,0.4658119658119658
Combined,50,25,5+,357,162,0.453781512605042
Combined,25,15,0,8505,8505,1.0
Combined,25,15,1,3724,2591,0.6957572502685284
Combined,25,15,2,1873,1006,0.5371062466631074
Combined,25,15,3,1060,488,0.46037735849056605
Combined,25,15,4,474,190,0.4008438818565401
Combined,25,15,5+,482,186,0.38589211618257263
Combined,25,10,0,3771,3771,1.0
Combined,25,10,1,3450,2775,0.8043478260869565
Combined,25,10,2,2577,1666,0.646488164532402
Combined,25,10,3,1879,1048,0.5577434805747739
Combined,25,10,4,1328,686,0.516566265060241
Combined,25,10,5+,3122,1422,0.4554772581678411
Combined,15,7,0,15405,15405,1.0
Combined,15,7,1,10545,8119,0.7699383594120436
Combined,15,7,2,7124,4106,0.5763615946097698
Combined,15,7,3,4502,2255,0.5008884940026654
Combined,15,7,4,2831,1325,0.46803249735075947
Combined,15,7,5+,4400,1946,0.44227272727272726
Combined,10,5,0,40422,40422,1.0
Combined,10,5,1,24401,17868,0.7322650711036433
Combined,10,5,2,14565,8029,0.5512530037761758
Combined,10,5,3,8573,4093,0.47742913799136827
Combined,10,5,4,4858,2108,0.4339234252778921
Combined,10,5,5+,6273,2610,0.41606886657101866
Combined,7,3,0,66635,66635,1.0
Combined,7,3,1,47112,35277,0.7487901171676006
Combined,7,3,2,32041,18589,0.5801629162635373
Combined,7,3,3,20429,9918,0.4854863184688433
Combined,7,3,4,12790,5840,0.45660672400312746
Combined,7,3,5+,20000,8792,0.4396
