split,parent,child,n_parent_swings,avg_children,med_children,min_children,max_children,avg_with,avg_retrace,with_retrace_ratio,waste_pct
RTH,50,25,2535,3.829191321499014,3.0,1,27,2.414595660749507,1.414595660749507,1.7069157836029,42.042755344418055
RTH,25,15,10252,2.7165431135388216,1.0,1,27,1.8582715567694108,0.8582715567694108,2.165132401409251,0.0
RTH,25,10,10252,6.00195083886071,5.0,1,63,3.500975419430355,2.500975419430355,1.3998439937597504,51.68755032700277
RTH,15,7,28222,4.3597193678690385,3.0,1,39,2.6798596839345192,1.6798596839345192,1.59528781454998,44.09448818897638
RTH,10,5,62528,3.672722620266121,3.0,1,43,2.3363613101330603,1.3363613101330605,1.748300622307324,38.88888888888889
RTH,7,3,123646,4.636963589602575,3.0,1,55,2.8184817948012877,1.8184817948012875,1.549909272041557,43.75
ETH,50,25,1264,4.02373417721519,3.0,1,27,2.511867088607595,1.5118670886075949,1.6614338042909471,44.07471463161536
ETH,25,15,5690,2.602811950790861,1.0,1,21,1.8014059753954306,0.8014059753954306,2.2478070175438596,0.0
ETH,25,10,5690,5.628119507908612,5.0,1,45,3.314059753954306,2.314059753954306,1.432140958456748,49.80987493674546
ETH,15,7,15133,4.207691799378841,3.0,1,35,2.6038458996894205,1.6038458996894205,1.623501297845165,42.922374429223744
ETH,10,5,32863,3.5141952956212155,3.0,1,41,2.2570976478106077,1.2570976478106077,1.7954831525948878,36.666666666666664
ETH,7,3,64400,4.184130434782609,3.0,1,51,2.5920652173913044,1.5920652173913044,1.6281149723492865,40.0
Combined,50,25,3937,3.980949961899924,3.0,1,27,2.490474980949962,1.490474980949962,1.6709270620313565,43.333333333333336
Combined,25,15,16277,2.6855685937212015,1.0,1,27,1.8427842968606007,0.8427842968606009,2.1865432278757835,0.0
Combined,25,10,16277,5.892056275726485,5.0,1,63,3.4460281378632427,2.4460281378632427,1.4088260410910736,51.07458912768648
Combined,15,7,44144,4.312432040594418,3.0,1,39,2.656216020297209,1.6562160202972092,1.603785972207025,43.63636363636363
Combined,10,5,97030,3.6171699474389363,3.0,1,43,2.3085849737194684,1.3085849737194681,1.7641842295939263,38.095238095238095
Combined,7,3,191091,4.477829934429146,3.0,1,55,2.738914967214573,1.7389149672145732,1.5750712477918452,42.5
