split,threshold,exponent,r_squared,n_tail
RTH,3,-4.30635786069335,0.8895859736491466,278389
RTH,5,-4.2894647431067385,0.9041759190241274,110676
RTH,7,-4.132113187398058,0.9057029926690947,60870
RTH,10,-3.7209324681783134,0.9136518321949451,30983
RTH,15,-3.6922544757885163,0.9019374764854967,13948
RTH,25,-3.1551723287374283,0.9160313251993812,5105
RTH,50,-2.925914290767145,0.9104253020630614,1266
ETH,3,-4.047384643391565,0.9501997935796473,130885
ETH,5,-4.138789715662117,0.9325304769608534,57650
ETH,7,-4.095273191823428,0.9318603675530103,31986
ETH,10,-3.886273554948634,0.9102702585460345,16164
ETH,15,-3.526532322749087,0.9502976587870535,7544
ETH,25,-3.334181495564955,0.9309338533804413,2831
ETH,50,-2.1622337790080532,0.8860726027531652,630
Combined,3,-4.326421798361934,0.9438372624289152,424433
Combined,5,-4.518817403774304,0.9281623696223527,171006
Combined,7,-4.4353555584161315,0.9204855226978127,94413
Combined,10,-4.103983658890842,0.9141836228687098,48391
Combined,15,-3.937163533309623,0.9182987839282228,21919
Combined,25,-3.4200729261081833,0.9185159724674529,8096
Combined,50,-3.1658639029121427,0.8745286798165832,1957
