reversion_target,stop_level,completions,rev_wins,stop_wins,session_end,rev_win_rate,stop_rate,sess_end_rate,median_bars_to_rev
8,20,1260,1260,0,0,100.0,0.0,0.0,141
8,30,1260,1260,0,0,100.0,0.0,0.0,141
8,40,1260,1260,0,0,100.0,0.0,0.0,141
8,50,1260,1260,0,0,100.0,0.0,0.0,141
12,20,1260,1260,0,0,100.0,0.0,0.0,287
12,30,1260,1260,0,0,100.0,0.0,0.0,287
12,40,1260,1260,0,0,100.0,0.0,0.0,287
12,50,1260,1260,0,0,100.0,0.0,0.0,287
16,20,1260,1260,0,0,100.0,0.0,0.0,466
16,30,1260,1260,0,0,100.0,0.0,0.0,466
16,40,1260,1260,0,0,100.0,0.0,0.0,466
16,50,1260,1260,0,0,100.0,0.0,0.0,466
20,20,1260,1126,132,2,89.37,10.48,0.16,750
20,30,1260,1152,105,3,91.43,8.33,0.24,779
20,40,1260,1167,90,3,92.62,7.14,0.24,788
20,50,1260,1186,71,3,94.13,5.63,0.24,809
24,20,1260,1010,244,6,80.16,19.37,0.48,1222
24,30,1260,1058,192,10,83.97,15.24,0.79,1310
24,40,1260,1088,160,12,86.35,12.7,0.95,1361
24,50,1260,1114,134,12,88.41,10.63,0.95,1415
