parent_thresh,depth_bucket,sample_count,completion_rate,median_post_pb_fav_pts,mean_post_pb_fav_pts
25,Shallow (<=25%),0,0.0,0.0,0.0
25,Moderate (25-50%),95,94.74,19.25,22.01
25,Deep (50-75%),551,85.84,23.0,25.37
25,Very deep (75-100%),1927,67.25,29.0,29.46
35,Shallow (<=25%),0,0.0,0.0,0.0
35,Moderate (25-50%),174,89.66,23.88,25.17
35,Deep (50-75%),403,80.4,31.5,32.26
35,Very deep (75-100%),1072,61.66,37.5,36.07
40,Shallow (<=25%),0,0.0,0.0,0.0
40,Moderate (25-50%),173,87.28,28.5,29.56
40,Deep (50-75%),304,72.37,35.0,35.13
40,Very deep (75-100%),817,61.57,42.25,38.9
