factor,bucket,sample_count,completion_rate,median_value
volume_ratio_PT25,Q1,895,66.93,0.944
volume_ratio_PT25,Q2,894,66.11,0.993
volume_ratio_PT25,Q3,894,61.41,1.0247
volume_ratio_PT25,Q4,894,59.51,1.0786
vol_x_depth_PT25,shallow_low_vol,1064,79.32,0.0
vol_x_depth_PT25,shallow_high_vol,725,76.14,0.0
vol_x_depth_PT25,deep_low_vol,725,47.72,0.0
vol_x_depth_PT25,deep_high_vol,1063,49.76,0.0
speed_PT25,Q1,895,64.69,0.0149
speed_PT25,Q2,894,65.21,0.0291
speed_PT25,Q3,895,63.58,0.0508
speed_PT25,Q4,893,60.47,0.1122
timeofday_PT25,09:30,599,60.27,0.0
timeofday_PT25,10:00,430,63.26,0.0
timeofday_PT25,10:30,348,62.93,0.0
timeofday_PT25,11:00,335,63.58,0.0
timeofday_PT25,11:30,278,65.47,0.0
timeofday_PT25,12:00,234,65.81,0.0
timeofday_PT25,12:30,221,61.54,0.0
timeofday_PT25,13:00,184,61.41,0.0
timeofday_PT25,13:30,172,64.53,0.0
timeofday_PT25,14:00,170,64.12,0.0
timeofday_PT25,14:30,189,68.78,0.0
timeofday_PT25,15:00,138,69.57,0.0
timeofday_PT25,15:30,205,65.37,0.0
timeofday_PT25,16:00,74,55.41,0.0
corr_speed_range_PT25,correlation,3577,,0.0
alignment_PT25,WITH,0,0.0,0.0
alignment_PT25,AGAINST,1315,63.88,0.0
alignment_PT25,EXTENDED,2251,63.31,0.0
alignment_PT25,UNKNOWN,11,54.55,0.0
prior_completion_PT25,0-1 (failures),150,63.33,0.0
prior_completion_PT25,2-3 (mixed),1479,63.15,0.0
prior_completion_PT25,4-5 (completions),1948,63.76,0.0
swing_seq_PT25,1,59,61.02,0.0
swing_seq_PT25,2,59,55.93,0.0
swing_seq_PT25,3,59,69.49,0.0
swing_seq_PT25,4+,3400,63.56,0.0
volume_ratio_PT40,Q1,342,69.01,0.9571
volume_ratio_PT40,Q2,342,69.01,0.9927
volume_ratio_PT40,Q3,341,60.7,1.0191
volume_ratio_PT40,Q4,342,56.14,1.0591
vol_x_depth_PT40,shallow_low_vol,407,76.17,0.0
vol_x_depth_PT40,shallow_high_vol,277,76.53,0.0
vol_x_depth_PT40,deep_low_vol,277,58.48,0.0
vol_x_depth_PT40,deep_high_vol,406,46.06,0.0
speed_PT40,Q1,342,65.79,0.0099
speed_PT40,Q2,342,64.33,0.0192
speed_PT40,Q3,341,61.58,0.0328
speed_PT40,Q4,342,63.16,0.0653
timeofday_PT40,09:30,234,64.53,0.0
timeofday_PT40,10:00,160,68.12,0.0
timeofday_PT40,10:30,130,60.0,0.0
timeofday_PT40,11:00,124,58.87,0.0
timeofday_PT40,11:30,111,59.46,0.0
timeofday_PT40,12:00,80,61.25,0.0
timeofday_PT40,12:30,95,64.21,0.0
timeofday_PT40,13:00,75,58.67,0.0
timeofday_PT40,13:30,67,62.69,0.0
timeofday_PT40,14:00,67,67.16,0.0
timeofday_PT40,14:30,76,71.05,0.0
timeofday_PT40,15:00,48,75.0,0.0
timeofday_PT40,15:30,75,60.0,0.0
timeofday_PT40,16:00,25,72.0,0.0
corr_speed_range_PT40,correlation,1367,,0.0
alignment_PT40,WITH,15,66.67,0.0
alignment_PT40,AGAINST,700,63.86,0.0
alignment_PT40,EXTENDED,649,63.79,0.0
alignment_PT40,UNKNOWN,3,0.0,0.0
prior_completion_PT40,0-1 (failures),32,59.38,0.0
prior_completion_PT40,2-3 (mixed),471,66.45,0.0
prior_completion_PT40,4-5 (completions),864,62.38,0.0
swing_seq_PT40,1,59,62.71,0.0
swing_seq_PT40,2,59,55.93,0.0
swing_seq_PT40,3,59,69.49,0.0
swing_seq_PT40,4+,1190,63.87,0.0
