date,trend,volatility,macro
2025-09-16,trending,low_vol,normal_day
2025-09-17,trending,normal_vol,normal_day
2025-09-18,trending,low_vol,event_day
2025-09-19,trending,normal_vol,normal_day
2025-09-21,trending,low_vol,normal_day
2025-09-22,trending,normal_vol,normal_day
2025-09-23,trending,low_vol,normal_day
2025-09-24,trending,normal_vol,normal_day
2025-09-25,trending,low_vol,normal_day
2025-09-26,trending,normal_vol,normal_day
2025-09-28,trending,low_vol,normal_day
2025-09-29,ranging,normal_vol,normal_day
2025-09-30,trending,low_vol,normal_day
2025-10-01,ranging,normal_vol,normal_day
2025-10-02,ranging,low_vol,normal_day
2025-10-03,ranging,normal_vol,event_day
2025-10-05,ranging,low_vol,normal_day
2025-10-06,ranging,normal_vol,normal_day
2025-10-07,ranging,low_vol,normal_day
2025-10-08,ranging,normal_vol,normal_day
2025-10-09,ranging,low_vol,normal_day
2025-10-10,trending,high_vol,normal_day
2025-10-12,trending,low_vol,normal_day
2025-10-13,trending,normal_vol,normal_day
2025-10-14,trending,low_vol,event_day
2025-10-15,trending,normal_vol,normal_day
2025-10-16,ranging,low_vol,normal_day
2025-10-17,ranging,normal_vol,normal_day
2025-10-19,ranging,low_vol,normal_day
2025-10-20,ranging,normal_vol,normal_day
2025-10-21,ranging,low_vol,normal_day
2025-10-22,ranging,normal_vol,normal_day
2025-10-23,ranging,low_vol,normal_day
2025-10-24,ranging,normal_vol,normal_day
2025-10-26,ranging,low_vol,normal_day
2025-10-27,ranging,normal_vol,normal_day
2025-10-28,ranging,low_vol,normal_day
2025-10-29,ranging,normal_vol,normal_day
2025-10-30,ranging,low_vol,normal_day
2025-10-31,ranging,normal_vol,normal_day
2025-11-02,ranging,low_vol,normal_day
2025-11-03,trending,normal_vol,normal_day
2025-11-04,trending,low_vol,normal_day
2025-11-05,trending,normal_vol,normal_day
2025-11-06,trending,low_vol,normal_day
2025-11-07,trending,normal_vol,event_day
2025-11-09,trending,low_vol,normal_day
2025-11-10,ranging,normal_vol,normal_day
2025-11-11,trending,low_vol,normal_day
2025-11-12,ranging,normal_vol,normal_day
2025-11-13,trending,low_vol,event_day
2025-11-14,trending,normal_vol,normal_day
2025-11-16,trending,low_vol,normal_day
2025-11-17,trending,normal_vol,normal_day
