DateTime,BarIndex,TouchType,ApproachDir,TouchPrice,ZoneTop,ZoneBot,HasVPRay,VPRayPrice,Reaction,Penetration,ReactionPeakBar,ZoneBroken,BreakBarIndex,BarsObserved,TouchSequence,ZoneAgeBars,ApproachVelocity,TrendSlope,SourceLabel,RxnBar_120,RxnBar_160,RxnBar_240,RxnBar_30,RxnBar_360,RxnBar_50,RxnBar_80,PenBar_120,PenBar_30,PenBar_50,PenBar_80,ZoneWidthTicks,CascadeState,TFConfluence,SBB_Label,RotBarIndex,Period
2025-12-15 00:06:39,482,DEMAND_EDGE,-1,25513.75,25513.75,25490.5,1,26646.0,617.0,912.0,609,1,491,745,1,2,39.0,395.0,60m,510,516,517,483,539,483,483,761,495,495,499,93.0,UNKNOWN,-1,NORMAL,-1,P2a
2025-12-15 00:21:36,483,SUPPLY_EDGE,1,25529.5,25542.0,25529.5,1,26551.88,975.0,554.0,940,1,492,766,1,13,90.0,525.0,15m,495,504,765,485,782,485,485,516,484,510,514,50.0,UNKNOWN,-1,NORMAL,0,P2a
2025-12-15 03:02:09,502,SUPPLY_EDGE,1,25513.5,25541.0,25513.5,1,26646.0,911.0,618.0,940,1,503,986,1,2,-35.0,78.0,60m,761,765,778,503,802,503,504,510,507,508,509,110.0,UNKNOWN,-1,SBB,19,P2a
2025-12-15 03:11:32,504,DEMAND_EDGE,-1,25492.75,25492.75,25371.5,1,26647.5,701.0,828.0,609,1,590,997,3,119,-101.0,34.0,90m,508,509,516,505,521,505,507,776,758,763,765,485.0,UNKNOWN,-1,NORMAL,21,P2a
2025-12-15 03:16:17,505,SUPPLY_EDGE,1,25503.25,25518.5,25503.25,1,26551.88,870.0,659.0,940,1,507,1002,1,2,-11.0,42.0,15m,765,776,782,739,856,757,762,509,506,507,508,61.0,UNKNOWN,-1,NORMAL,22,P2a
2025-12-15 03:34:02,508,SUPPLY_EDGE,1,25529.5,25542.0,25529.5,1,26551.88,975.0,554.0,940,1,552,1028,2,38,128.0,94.0,15m,739,758,765,704,782,706,735,516,510,510,514,50.0,UNKNOWN,-1,NORMAL,25,P2a
2025-12-15 04:21:40,519,SUPPLY_EDGE,1,25576.25,25657.75,25576.25,1,26551.88,1162.0,367.0,940,1,552,1118,2,169,168.0,221.0,15m,689,702,706,668,758,668,670,540,521,524,529,326.0,UNKNOWN,-1,NORMAL,36,P2a
2025-12-15 07:08:47,548,DEMAND_EDGE,-1,25595.5,25595.5,25583.0,1,26551.88,290.0,1328.0,609,1,597,1118,1,12,-17.0,392.0,15m,577,578,594,551,-1,551,558,668,549,640,645,50.0,PRIOR_BROKE,1,NORMAL,65,P2a
2025-12-15 08:22:08,569,DEMAND_EDGE,-1,25595.5,25595.5,25583.0,1,26551.88,290.0,1460.0,609,1,597,1127,2,33,-52.0,90.0,15m,577,578,594,570,-1,570,574,668,639,640,645,50.0,PRIOR_BROKE,1,NORMAL,86,P2a
2025-12-15 09:44:07,695,DEMAND_EDGE,-1,25543.0,25543.0,25531.0,1,26551.88,89.0,1722.0,724,1,696,1048,1,179,-167.0,-120.0,15m,-1,-1,-1,696,-1,700,724,706,702,703,704,48.0,PRIOR_BROKE,1,SBB,212,P2a
2025-12-15 09:45:56,704,DEMAND_EDGE,-1,25524.75,25524.75,25486.5,1,26646.0,162.0,1649.0,724,1,705,1040,1,199,-127.0,-334.0,120m,723,724,-1,707,-1,710,711,739,706,706,737,153.0,PRIOR_BROKE,1,SBB,221,P2a
2025-12-15 09:50:28,727,DEMAND_EDGE,-1,25543.0,25543.0,25531.0,1,26551.88,3.0,1722.0,728,1,728,1018,2,211,-11.0,-136.0,15m,-1,-1,-1,-1,-1,-1,-1,734,728,728,731,48.0,PRIOR_BROKE,1,SBB,244,P2a
2025-12-15 09:51:08,730,DEMAND_EDGE,-1,25524.75,25524.75,25486.5,1,26646.0,68.0,1649.0,732,1,731,1016,2,225,-50.0,-137.0,120m,-1,-1,-1,731,-1,732,-1,739,734,734,737,153.0,PRIOR_BROKE,1,SBB,247,P2a
2025-12-15 09:56:08,757,DEMAND_EDGE,-1,25492.75,25492.75,25371.5,1,26647.5,97.0,1521.0,1127,1,758,990,4,372,-94.0,-122.0,90m,-1,-1,-1,1110,-1,1110,1126,776,758,763,765,485.0,PRIOR_BROKE,1,SBB,274,P2a
2025-12-15 09:57:40,765,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26494.5,194.0,1424.0,1127,1,766,982,1,310,-123.0,-223.0,480m,1110,1121,-1,766,-1,767,767,782,777,777,781,334.0,PRIOR_BROKE,4,SBB,282,P2a
2025-12-15 09:57:40,765,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26645.75,194.0,1424.0,1127,1,766,982,1,293,-123.0,-223.0,720m,1110,1121,-1,766,-1,767,767,782,777,777,781,334.0,PRIOR_BROKE,4,SBB,282,P2a
2025-12-15 09:57:40,765,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,24205.25,194.0,1424.0,1127,1,766,982,1,332,-123.0,-223.0,240m,1110,1121,-1,766,-1,767,767,782,777,777,781,334.0,PRIOR_BROKE,4,SBB,282,P2a
2025-12-15 09:57:40,765,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26413.75,194.0,1424.0,1127,1,766,982,1,320,-123.0,-223.0,360m,1110,1121,-1,766,-1,767,767,782,777,777,781,334.0,PRIOR_BROKE,4,SBB,282,P2a
2025-12-15 10:06:08,816,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,24205.25,194.0,1424.0,1127,1,817,934,2,383,182.0,7.0,240m,1110,1121,-1,817,-1,823,1105,834,818,820,829,334.0,PRIOR_BROKE,4,SBB,333,P2a
2025-12-15 10:06:08,816,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26413.75,194.0,1424.0,1127,1,817,934,2,371,182.0,7.0,360m,1110,1121,-1,817,-1,823,1105,834,818,820,829,334.0,PRIOR_BROKE,4,SBB,333,P2a
2025-12-15 10:06:08,816,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26494.5,194.0,1424.0,1127,1,817,934,2,361,182.0,7.0,480m,1110,1121,-1,817,-1,823,1105,834,818,820,829,334.0,PRIOR_BROKE,4,SBB,333,P2a
2025-12-15 10:06:08,816,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26645.75,194.0,1424.0,1127,1,817,934,2,344,182.0,7.0,720m,1110,1121,-1,817,-1,823,1105,834,818,820,829,334.0,PRIOR_BROKE,4,SBB,333,P2a
2025-12-15 11:31:43,1136,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26413.75,17.0,1460.0,1137,1,1137,638,3,691,-167.0,209.0,360m,-1,-1,-1,-1,-1,-1,-1,1143,1138,1139,1141,334.0,PRIOR_BROKE,3,SBB,653,P2a
2025-12-15 11:31:43,1136,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26494.5,17.0,1460.0,1137,1,1137,638,3,681,-167.0,209.0,480m,-1,-1,-1,-1,-1,-1,-1,1143,1138,1139,1141,334.0,PRIOR_BROKE,3,SBB,653,P2a
2025-12-15 11:31:43,1136,DEMAND_EDGE,-1,25468.5,25468.5,25385.0,1,26645.75,17.0,1460.0,1137,1,1137,638,3,664,-167.0,209.0,720m,-1,-1,-1,-1,-1,-1,-1,1143,1138,1139,1141,334.0,PRIOR_BROKE,3,SBB,653,P2a
2025-12-15 12:46:18,1285,DEMAND_EDGE,-1,25405.0,25405.0,25373.0,1,26551.88,114.0,1206.0,1416,1,1286,504,1,12,-28.0,13.0,15m,-1,-1,-1,1339,-1,1401,1411,1293,1286,1287,1288,128.0,PRIOR_BROKE,1,SBB,802,P2a
2025-12-15 13:07:21,1329,SUPPLY_EDGE,1,25398.75,25436.75,25398.75,1,26551.88,1181.0,139.0,1758,1,1377,469,1,27,173.0,-135.0,15m,1344,1349,1358,1330,1652,1331,1332,1412,1335,1338,1401,152.0,PRIOR_BROKE,1,NORMAL,846,P2a
2025-12-15 13:52:09,1395,DEMAND_EDGE,-1,25379.5,25379.5,25329.75,1,26656.0,216.0,1104.0,1416,1,1552,412,1,9,94.0,20.0,30m,1400,1401,-1,1396,-1,1396,1398,1531,1449,1453,1458,199.0,PRIOR_BROKE,1,NORMAL,912,P2a
2025-12-15 13:55:02,1398,SUPPLY_EDGE,1,25398.75,25436.75,25398.75,1,26551.88,1181.0,139.0,1758,0,-1,409,2,96,106.0,173.0,15m,1450,1464,1576,1425,1652,1426,1428,1412,1399,1400,1401,152.0,PRIOR_BROKE,1,NORMAL,915,P2a
2025-12-15 14:17:02,1428,DEMAND_EDGE,-1,25379.5,25379.5,25329.75,1,26656.0,115.0,1104.0,1433,1,1552,384,2,42,-126.0,131.0,30m,-1,-1,-1,1430,-1,1431,1432,1531,1449,1453,1458,199.0,PRIOR_BROKE,1,NORMAL,945,P2a
2025-12-15 14:19:34,1432,SUPPLY_EDGE,1,25398.75,25436.75,25398.75,1,26551.88,1181.0,38.0,1758,0,-1,380,3,130,33.0,149.0,15m,1450,1464,1576,1434,1652,1435,1435,-1,1433,-1,-1,152.0,PRIOR_BROKE,1,NORMAL,949,P2a
2025-12-15 14:58:24,1479,SUPPLY_EDGE,1,25398.75,25436.75,25398.75,1,26551.88,1302.0,36.0,1822,1,1826,350,4,177,163.0,96.0,15m,1486,1518,1576,1482,1652,1482,1484,-1,1499,-1,-1,152.0,PRIOR_HELD,1,NORMAL,996,P2a
2025-12-15 15:00:19,1483,DEMAND_EDGE,-1,25386.0,25386.0,25357.0,1,26551.88,87.0,1251.0,1500,1,1495,346,1,11,6.0,-72.0,15m,-1,-1,-1,1493,-1,1494,1499,1529,1484,1485,1486,116.0,PRIOR_HELD,1,NORMAL,1000,P2a
2025-12-15 15:00:19,1483,DEMAND_EDGE,-1,25379.5,25379.5,25329.75,1,26656.0,113.0,1225.0,1500,1,1552,346,3,97,6.0,-72.0,30m,-1,-1,-1,1492,-1,1492,1495,1531,1485,1486,1487,199.0,PRIOR_HELD,1,NORMAL,1000,P2a
2025-12-15 15:15:02,1504,DEMAND_EDGE,-1,25386.0,25386.0,25357.0,1,26551.88,65.0,1251.0,1506,1,1505,333,2,32,-20.0,82.0,15m,-1,-1,-1,1505,-1,1505,-1,1529,1510,1512,1515,116.0,PRIOR_BROKE,1,SBB,1021,P2a
2025-12-15 15:15:28,1505,SUPPLY_EDGE,1,25398.75,25436.75,25398.75,1,26551.88,1302.0,14.0,1822,1,1826,332,5,203,7.0,105.0,15m,1514,1518,1576,1507,1652,1508,1510,-1,-1,-1,-1,152.0,PRIOR_BROKE,1,NORMAL,1022,P2a
2025-12-15 15:18:23,1509,DEMAND_EDGE,-1,25379.5,25379.5,25329.75,1,26656.0,16.0,1225.0,1510,1,1552,330,4,123,-101.0,-2.0,30m,-1,-1,-1,-1,-1,-1,-1,1531,1514,1514,1518,199.0,PRIOR_BROKE,1,NORMAL,1026,P2a
2025-12-15 19:09:19,1666,DEMAND_EDGE,-1,25275.0,25275.0,25200.0,1,26646.0,151.0,807.0,1912,1,1684,246,1,1477,-149.0,-353.0,60m,1912,-1,-1,1675,-1,1678,1909,1670,1667,1667,1669,300.0,PRIOR_BROKE,1,NORMAL,1183,P2a
2025-12-15 20:36:30,1704,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,24205.25,881.0,372.0,1960,0,-1,271,1,1516,-384.0,-623.0,240m,1850,1850,1861,1735,1888,1735,1843,1708,1705,1707,1707,1273.0,PRIOR_BROKE,2,NORMAL,1221,P2a
2025-12-15 20:36:30,1704,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,26494.5,881.0,372.0,1960,0,-1,271,1,1516,-384.0,-623.0,480m,1850,1850,1861,1735,1888,1735,1843,1708,1705,1707,1707,1273.0,PRIOR_BROKE,2,NORMAL,1221,P2a
2025-12-15 20:39:00,1708,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26413.75,1022.0,231.0,1960,0,-1,273,1,1520,-434.0,-592.0,360m,1723,1735,1849,1709,1860,1713,1721,1816,1709,1710,1758,1132.0,PRIOR_BROKE,2,NORMAL,1225,P2a
2025-12-15 20:39:00,1708,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26645.75,1022.0,231.0,1960,0,-1,273,1,1520,-434.0,-592.0,720m,1723,1735,1849,1709,1860,1713,1721,1816,1709,1710,1758,1132.0,PRIOR_BROKE,2,NORMAL,1225,P2a
2025-12-15 21:29:34,1737,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,24205.25,881.0,372.0,1960,0,-1,327,2,1549,89.0,-373.0,240m,1850,1850,1861,1776,1888,1843,1843,1750,1738,1739,1740,1273.0,PRIOR_BROKE,2,NORMAL,1254,P2a
2025-12-15 21:29:34,1737,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,26494.5,881.0,372.0,1960,0,-1,327,2,1549,89.0,-373.0,480m,1850,1850,1861,1776,1888,1843,1843,1750,1738,1739,1740,1273.0,PRIOR_BROKE,2,NORMAL,1254,P2a
2025-12-15 22:11:49,1751,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26645.75,1112.0,231.0,2334,0,-1,659,2,1563,-76.0,-240.0,720m,1764,1776,1849,1752,1860,1753,1763,1816,1756,1756,1758,1132.0,PRIOR_BROKE,2,NORMAL,1268,P2a
2025-12-15 22:11:49,1751,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26413.75,1112.0,231.0,2334,0,-1,659,2,1563,-76.0,-240.0,360m,1764,1776,1849,1752,1860,1753,1763,1816,1756,1756,1758,1132.0,PRIOR_BROKE,2,NORMAL,1268,P2a
2025-12-16 00:30:40,1785,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26413.75,1112.0,231.0,2334,0,-1,1263,3,1597,-120.0,-185.0,360m,1835,1838,1849,1787,1860,1808,1830,1816,1789,1789,1791,1132.0,PRIOR_HELD,2,NORMAL,1302,P2a
2025-12-16 00:30:40,1785,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26645.75,1112.0,231.0,2334,0,-1,1263,3,1597,-120.0,-185.0,720m,1835,1838,1849,1787,1860,1808,1830,1816,1789,1789,1791,1132.0,PRIOR_HELD,2,NORMAL,1302,P2a
2025-12-16 01:56:13,1807,SUPPLY_EDGE,1,25138.25,25175.5,25138.25,1,26646.0,260.0,1083.0,1822,1,1823,1545,1,18,39.0,71.0,60m,1815,1816,1822,1808,-1,1810,1814,1837,1808,1830,1832,149.0,PRIOR_HELD,1,NORMAL,1324,P2a
2025-12-16 02:26:37,1813,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26413.75,1112.0,231.0,2334,0,-1,1636,4,1625,68.0,-101.0,360m,1835,1838,1849,1828,1860,1829,1830,1816,1814,1814,1815,1132.0,PRIOR_BROKE,2,NORMAL,1330,P2a
2025-12-16 02:26:37,1813,DEMAND_EDGE,-1,25131.0,25131.0,24848.0,1,26645.75,1112.0,231.0,2334,0,-1,1636,4,1625,68.0,-101.0,720m,1835,1838,1849,1828,1860,1829,1830,1816,1814,1814,1815,1132.0,PRIOR_BROKE,2,NORMAL,1330,P2a
2025-12-16 02:34:23,1814,DEMAND_EDGE,-1,25122.75,25122.75,25109.0,1,26551.88,1145.0,198.0,2334,1,1815,1658,1,7,-11.0,-194.0,15m,1830,1836,1843,1827,1859,1828,1829,1817,1815,1815,1816,55.0,PRIOR_BROKE,1,SBB,1331,P2a
2025-12-16 02:44:06,1821,DEMAND_EDGE,-1,25086.5,25086.5,24848.0,1,26647.5,1290.0,53.0,2334,1,2869,1678,1,1633,-230.0,-227.0,90m,1825,1827,1830,1823,1842,1823,1824,-1,1822,1822,-1,954.0,PRIOR_BROKE,1,NORMAL,1338,P2a
2025-12-16 02:47:19,1824,SUPPLY_EDGE,1,25116.0,25146.75,25116.0,1,26656.0,38.0,1172.0,1826,1,1825,1684,1,10,-2.0,-169.0,30m,-1,-1,-1,1825,-1,-1,-1,1830,1826,1827,1828,123.0,PRIOR_BROKE,1,SBB,1341,P2a
2025-12-16 02:55:48,1827,SUPPLY_EDGE,1,25125.0,25145.5,25125.0,1,26551.88,1.0,1136.0,1828,1,1828,1703,1,10,122.0,-133.0,15m,-1,-1,-1,-1,-1,-1,-1,1831,1828,1828,1829,82.0,PRIOR_BROKE,1,SBB,1344,P2a
2025-12-16 02:58:04,1828,SUPPLY_EDGE,1,25138.25,25175.5,25138.25,1,26646.0,15.0,1083.0,1829,1,1829,1707,2,39,145.0,-40.0,60m,-1,-1,-1,-1,-1,-1,-1,1837,1830,1830,1832,149.0,PRIOR_BROKE,1,SBB,1345,P2a
2025-12-16 03:19:52,1840,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,24205.25,971.0,70.0,2334,0,-1,1746,3,1652,54.0,181.0,240m,1850,1850,1861,1842,1888,1843,1843,-1,1841,1841,-1,1273.0,PRIOR_BROKE,2,NORMAL,1357,P2a
2025-12-16 03:19:52,1840,DEMAND_EDGE,-1,25166.25,25166.25,24848.0,1,26494.5,971.0,70.0,2334,0,-1,1746,3,1652,54.0,181.0,480m,1850,1850,1861,1842,1888,1843,1843,-1,1841,1841,-1,1273.0,PRIOR_BROKE,2,NORMAL,1357,P2a
