config_id,step_dist,add_dist,max_adds,reversal_target,cycle_count,success_count,failure_count,success_rate,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,failure_after_failure,incomplete_cycles,incomplete_unrealized_pnl,adjusted_net_pnl,avg_progress_hwm_success,avg_progress_hwm_failure,avg_cycle_waste_pct,first_cycle_success_rate,later_cycle_success_rate
FA_SD15_MA0_RT100,15.0,6.0,0,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,6293.0,-48647.0,54940.0,1.0153,0.8889,56.3385,-64.3802,50496.0,-0.9634,1,1831.95,13705,0,0,-48647.0,0.0,0.0,3417,60,-90.0,-48737.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_MA0_RT50,15.0,6.0,0,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,12076.0,-97188.0,109264.0,1.0221,0.8332,26.6164,-64.3717,97306.0,-0.9988,1,926.74,27286,0,0,-97188.0,0.0,0.0,3060,60,-431.0,-97619.0,51.04,20.72,20.99,0.75,0.6681
FA_SD15_MA0_RT60,15.0,6.0,0,0.6,22806,14300,8506,0.627,14300,8506,0.627,9364.0,-81980.0,91344.0,1.0182,0.8502,32.541,-64.3448,82204.0,-0.9973,1,1106.71,22806,0,0,-81980.0,0.0,0.0,3237,60,-605.0,-82585.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_MA0_RT70,15.0,6.0,0,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,11668.0,-67100.0,78768.0,1.0241,0.8699,38.5033,-64.3615,68671.0,-0.9771,1,1281.07,19662,0,0,-67100.0,0.0,0.0,3332,60,-397.0,-67497.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_MA0_RT80,15.0,6.0,0,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,9743.0,-58609.0,68352.0,1.0215,0.8787,44.4211,-64.3667,59862.0,-0.9791,1,1474.11,17058,0,0,-58609.0,0.0,0.0,3338,60,-446.0,-59055.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD15_R03_MA2_RT100,15.0,4.5,2,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,21478.0,-109626.0,131104.0,1.0251,0.8831,119.9713,-137.9832,113037.0,-0.9698,3,1831.95,3179,2011,8515,178387.0,262704.0,-550717.0,3417,60,940.0,-108686.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_R03_MA2_RT50,15.0,4.5,2,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,28255.0,-198369.0,226624.0,1.0248,0.8411,57.6005,-137.9857,198811.0,-0.9978,3,926.74,10273,4686,12327,274176.0,333883.0,-806428.0,3060,60,98.0,-198271.0,51.04,20.72,20.99,0.75,0.6681
FA_SD15_R03_MA2_RT60,15.0,4.5,2,0.6,22806,14300,8506,0.627,14300,8506,0.627,26185.0,-171307.0,197492.0,1.0244,0.854,70.0845,-137.9632,172031.0,-0.9958,3,1106.71,7653,3769,11384,249788.0,313511.0,-734606.0,3237,60,-152.0,-171459.0,60.91,24.08,21.99,0.75,0.6267
FA_SD15_R03_MA2_RT70,15.0,4.5,2,0.7,19662,11650,8012,0.5925,11650,8012,0.5925,22826.0,-152406.0,175232.0,1.0226,0.8622,81.84,-138.0232,155606.0,-0.9794,3,1281.07,6000,3208,10454,231267.0,305205.0,-688878.0,3332,60,142.0,-152264.0,70.85,27.99,23.01,0.7167,0.5921
FA_SD15_R03_MA2_RT80,15.0,4.5,2,0.8,17058,9554,7504,0.5601,9554,7504,0.5601,30133.0,-126487.0,156620.0,1.0319,0.8778,95.1223,-137.9644,128932.0,-0.981,3,1474.11,4701,2647,9710,208238.0,283651.0,-618376.0,3338,60,400.0,-126087.0,80.72,31.15,24.44,0.7167,0.5595
FA_SD15_R03_MA3_RT100,15.0,4.5,3,1.0,13705,6906,6799,0.5039,6906,6799,0.5039,24130.0,-135458.0,159588.0,1.0269,0.8653,125.976,-147.8817,138828.0,-0.9757,4,1831.95,3179,2011,8515,178387.0,262704.0,-576549.0,3417,60,1136.0,-134322.0,100.58,37.56,26.91,0.7,0.503
FA_SD15_R03_MA3_RT50,15.0,4.5,3,0.5,27286,18236,9050,0.6683,18236,9050,0.6683,31342.0,-233858.0,265200.0,1.0262,0.8253,60.5739,-147.8988,234284.0,-0.9982,4,926.74,10273,4686,12327,274176.0,333883.0,-841917.0,3060,60,150.0,-233708.0,51.04,20.72,20.99,0.75,0.6681
