config_id,approach,step_dist,add_dist,confirm_dist,max_adds,add_size,cycle_count,win_count,loss_count,win_rate,gross_pnl,net_pnl,total_costs,npf_gross,npf_net,avg_win_net,avg_loss_net,max_drawdown_ticks,profit_per_dd,max_position,avg_cycle_duration_bars,cycles_0_adds,cycles_1_add,cycles_multi_add,pnl_0_adds,pnl_1_add,pnl_multi_add,flatten_reseed_would_fire,incomplete_cycles,incomplete_unrealized_pnl
A_SD15,A,15.0,0.0,0.0,0,1,13705,6906,6799,0.5039036847865742,6293.0,-48527.0,54820.0,1.0153,0.8891,56.3507,-64.3749,50380.0,-0.9632,1,1831.95,13705,0,0,-48527.0,0.0,0.0,0,60,-90.0
A_SD20,A,20.0,0.0,0.0,0,1,7608,3835,3773,0.504074658254469,4951.0,-25481.0,30432.0,1.0163,0.9199,76.2847,-84.2918,30850.0,-0.826,1,3260.98,7608,0,0,-25481.0,0.0,0.0,0,59,-51.0
A_SD25,A,25.0,0.0,0.0,0,1,4856,2401,2455,0.4944398682042834,-5399.0,-24823.0,19424.0,0.9781,0.903,96.2499,-104.244,27131.0,-0.9149,1,5034.78,4856,0,0,-24823.0,0.0,0.0,0,59,-203.0
A_SD30,A,30.0,0.0,0.0,0,1,3306,1663,1643,0.5030248033877798,2350.0,-10874.0,13224.0,1.0119,0.9467,116.2189,-124.252,12371.0,-0.879,1,7261.57,3306,0,0,-10874.0,0.0,0.0,0,59,-481.0
A_SD35,A,35.0,0.0,0.0,0,1,2397,1236,1161,0.5156445556946183,10520.0,932.0,9588.0,1.0646,1.0056,136.2298,-144.2274,9757.0,0.0955,1,9746.43,2397,0,0,932.0,0.0,0.0,0,59,682.0
A_SD40,A,40.0,0.0,0.0,0,1,1844,899,945,0.48752711496746204,-7400.0,-14776.0,7376.0,0.9511,0.9048,156.208,-164.2402,20218.0,-0.7308,1,12341.52,1844,0,0,-14776.0,0.0,0.0,0,59,132.0
A_SD50,A,50.0,0.0,0.0,0,1,1155,564,591,0.4883116883116883,-5426.0,-10046.0,4620.0,0.9541,0.9168,196.1809,-204.2166,13732.0,-0.7316,1,18599.95,1155,0,0,-10046.0,0.0,0.0,0,59,-955.0
B_SD15_AD15.0_MA1,B,15.0,15.0,0.0,1,1,1188,1188,0,1.0,71776.0,64816.0,6960.0,999.0,999.0,54.5589,0.0,0.0,999.0,2,9150.96,636,552,0,35920.0,28896.0,0.0,152,60,-74113.0
B_SD15_AD15.0_MA2,B,15.0,15.0,0.0,2,1,1983,1553,430,0.7831568330811901,93973.0,80693.0,13280.0,775.6364,17.0137,55.2041,-11.7186,62.0,1301.5,3,6755.1,1077,475,431,60807.0,24917.0,-5031.0,195,60,-100505.0
B_SD15_AD15.0_MA3,B,15.0,15.0,0.0,3,1,2616,2006,610,0.7668195718654435,86173.0,67177.0,18996.0,3.4592,2.543,55.1914,-71.3721,887.0,75.7351,4,5881.03,1394,606,616,78678.0,31902.0,-43403.0,296,60,-109829.0
B_SD15_AD15.0_MA4,B,15.0,15.0,0.0,4,1,3982,3019,963,0.7581617277749875,82574.0,52398.0,30176.0,1.8278,1.459,55.1663,-118.5348,2159.0,24.2696,5,4844.73,2101,910,971,118578.0,47834.0,-114014.0,464,60,-90142.0
B_SD15_AD6.0_MA1,B,15.0,6.0,0.0,1,1,861,861,0,1.0,72906.0,67162.0,5744.0,999.0,999.0,78.0046,0.0,0.0,999.0,2,11143.24,286,575,0,16263.0,50899.0,0.0,266,60,-77438.0
B_SD15_AD6.0_MA2,B,15.0,6.0,0.0,2,1,1089,1089,0,1.0,97890.0,88686.0,9204.0,999.0,999.0,81.438,0.0,0.0,999.0,3,9178.71,361,244,484,20536.0,21630.0,46520.0,335,60,-116274.0
B_SD15_AD6.0_MA3,B,15.0,6.0,0.0,3,1,1413,1413,0,1.0,122024.0,108116.0,13908.0,999.0,999.0,76.5152,0.0,0.0,999.0,4,7248.41,451,315,647,25621.0,28012.0,54483.0,459,60,-151685.0
B_SD15_AD6.0_MA4,B,15.0,6.0,0.0,4,1,1917,1915,2,0.9989567031820553,150050.0,129390.0,20660.0,5175.1379,1876.2174,67.6026,-34.5,53.0,2441.3208,5,6192.24,612,419,886,34635.0,37204.0,57551.0,630,60,-177051.0
B_SD15_AD7.5_MA1,B,15.0,7.5,0.0,1,1,900,900,0,1.0,71350.0,65494.0,5856.0,999.0,999.0,72.7711,0.0,0.0,999.0,2,10710.86,336,564,0,19052.0,46442.0,0.0,235,60,-77539.0
B_SD15_AD7.5_MA2,B,15.0,7.5,0.0,2,1,1307,1307,0,1.0,104218.0,93534.0,10684.0,999.0,999.0,71.5639,0.0,0.0,999.0,3,8131.14,468,314,525,26554.0,26048.0,40932.0,329,60,-113645.0
B_SD15_AD7.5_MA3,B,15.0,7.5,0.0,3,1,1863,1863,0,1.0,134080.0,117028.0,17052.0,999.0,999.0,62.817,0.0,0.0,999.0,4,6265.52,682,435,746,38626.0,35956.0,42446.0,478,60,-142096.0
B_SD15_AD7.5_MA4,B,15.0,7.5,0.0,4,1,2325,1933,392,0.8313978494623656,143565.0,120501.0,23064.0,506.5106,15.8327,66.5416,-20.7245,74.0,1628.3919,5,5081.34,828,553,944,46987.0,45748.0,27766.0,609,60,-180958.0
B_SD20_AD10.0_MA1,B,20.0,10.0,0.0,1,1,678,678,0,1.0,71902.0,67442.0,4460.0,999.0,999.0,99.472,0.0,0.0,999.0,2,14910.82,241,437,0,18412.0,49030.0,0.0,190,59,-76089.0
B_SD20_AD10.0_MA2,B,20.0,10.0,0.0,2,1,975,975,0,1.0,103893.0,95857.0,8036.0,999.0,999.0,98.3149,0.0,0.0,999.0,3,10865.78,335,246,394,25591.0,27715.0,42551.0,249,59,-113353.0
B_SD20_AD10.0_MA3,B,20.0,10.0,0.0,3,1,1279,1279,0,1.0,123001.0,111149.0,11852.0,999.0,999.0,86.903,0.0,0.0,999.0,4,9296.16,443,315,521,33827.0,35454.0,41868.0,328,59,-137491.0
B_SD20_AD10.0_MA4,B,20.0,10.0,0.0,4,1,1590,1306,284,0.8213836477987422,130284.0,114220.0,16064.0,754.0867,20.5148,91.9395,-20.6092,121.0,943.9669,5,8260.3,532,397,661,40669.0,44598.0,28953.0,424,59,-160072.0
B_SD20_AD20.0_MA1,B,20.0,20.0,0.0,1,1,793,793,0,1.0,63685.0,59029.0,4656.0,999.0,999.0,74.4376,0.0,0.0,999.0,2,13676.2,422,371,0,32196.0,26833.0,0.0,90,59,-72237.0
B_SD20_AD20.0_MA2,B,20.0,20.0,0.0,2,1,1325,1031,294,0.7781132075471698,82907.0,73971.0,8936.0,2239.7297,22.1891,75.1329,-11.8741,80.0,924.6375,3,9635.91,710,321,294,54199.0,23263.0,-3491.0,129,59,-97081.0
B_SD20_AD20.0_MA3,B,20.0,20.0,0.0,3,1,2091,1619,472,0.7742706838833094,90803.0,75607.0,15196.0,3.3171,2.6497,75.0086,-97.1017,750.0,100.8093,4,8255.32,1102,515,474,84130.0,37272.0,-45795.0,245,59,-93737.0
B_SD20_AD20.0_MA4,B,20.0,20.0,0.0,4,1,2402,1842,560,0.7668609492089925,67826.0,49674.0,18152.0,1.8471,1.5613,75.0147,-158.0411,1902.0,26.1167,5,7589.42,1257,583,562,95971.0,42169.0,-88466.0,288,59,-99901.0
B_SD20_AD8.0_MA1,B,20.0,8.0,0.0,1,1,609,609,0,1.0,68952.0,64844.0,4108.0,999.0,999.0,106.4762,0.0,0.0,999.0,2,15627.44,191,418,0,14563.0,50281.0,0.0,210,59,-76111.0
B_SD20_AD8.0_MA2,B,20.0,8.0,0.0,2,1,850,850,0,1.0,102517.0,95213.0,7304.0,999.0,999.0,112.0153,0.0,0.0,999.0,3,11807.14,266,192,392,20281.0,23136.0,51796.0,273,59,-114159.0
B_SD20_AD8.0_MA3,B,20.0,8.0,0.0,3,1,1116,1116,0,1.0,129160.0,117940.0,11220.0,999.0,999.0,105.681,0.0,0.0,999.0,4,9467.87,341,241,534,26057.0,29026.0,62857.0,383,59,-142778.0
B_SD20_AD8.0_MA4,B,20.0,8.0,0.0,4,1,1365,1365,0,1.0,142260.0,127156.0,15104.0,999.0,999.0,93.1546,0.0,0.0,999.0,5,8949.4,412,293,660,31430.0,35268.0,60458.0,470,59,-168982.0
B_SD25_AD10.0_MA1,B,25.0,10.0,0.0,1,1,483,483,0,1.0,68420.0,65152.0,3268.0,999.0,999.0,134.8903,0.0,0.0,999.0,2,19352.34,149,334,0,14334.0,50818.0,0.0,158,59,-73679.0
B_SD25_AD10.0_MA2,B,25.0,10.0,0.0,2,1,683,683,0,1.0,103777.0,97825.0,5952.0,999.0,999.0,143.2284,0.0,0.0,999.0,3,15788.31,202,157,324,19476.0,23913.0,54436.0,212,59,-106045.0
B_SD25_AD10.0_MA3,B,25.0,10.0,0.0,3,1,921,921,0,1.0,132900.0,123840.0,9060.0,999.0,999.0,134.4625,0.0,0.0,999.0,4,13170.85,294,191,436,28326.0,29098.0,66416.0,282,59,-137989.0
B_SD25_AD10.0_MA4,B,25.0,10.0,0.0,4,1,1029,1029,0,1.0,135547.0,124503.0,11044.0,999.0,999.0,120.9942,0.0,0.0,999.0,5,12534.51,318,231,480,30589.0,35193.0,58721.0,321,59,-154628.0
B_SD25_AD12.5_MA1,B,25.0,12.5,0.0,1,1,486,486,0,1.0,65042.0,61794.0,3248.0,999.0,999.0,127.1481,0.0,0.0,999.0,2,19698.51,160,326,0,15403.0,46391.0,0.0,143,59,-73448.0
B_SD25_AD12.5_MA2,B,25.0,12.5,0.0,2,1,711,711,0,1.0,95363.0,89407.0,5956.0,999.0,999.0,125.7482,0.0,0.0,999.0,3,15103.71,228,188,295,21944.0,26715.0,40748.0,177,59,-104259.0
B_SD25_AD12.5_MA3,B,25.0,12.5,0.0,3,1,920,920,0,1.0,111321.0,102601.0,8720.0,999.0,999.0,111.5228,0.0,0.0,999.0,4,13396.22,290,246,384,27912.0,35010.0,39679.0,246,59,-131513.0
B_SD25_AD12.5_MA4,B,25.0,12.5,0.0,4,1,1211,991,220,0.8183319570602807,123399.0,111019.0,12380.0,753.4329,25.3249,116.6327,-20.7455,112.0,991.2411,5,11191.9,391,311,509,37640.0,44247.0,29132.0,335,59,-156107.0
B_SD25_AD25.0_MA1,B,25.0,25.0,0.0,1,1,599,599,0,1.0,60075.0,56603.0,3472.0,999.0,999.0,94.4958,0.0,0.0,999.0,2,18006.28,330,269,0,31739.0,24864.0,0.0,68,59,-67922.0
B_SD25_AD25.0_MA2,B,25.0,25.0,0.0,2,1,1010,772,238,0.7643564356435644,77455.0,70551.0,6904.0,1517.7255,26.1519,95.0207,-11.7857,87.0,810.931,3,13143.68,532,240,238,51199.0,22157.0,-2805.0,107,59,-89226.0
