config_id,step_dist,add_dist,max_adds,reversal_target,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,exit_type,progress_hwm,time_between_adds,cycle_day_seq,cycle_start_hour,progress_at_adds,prev_cycle_exit_type,cycle_waste_pct,would_flatten_reseed,half_block_profit
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,1,2025-09-22 09:51:46.045007,2025-09-22 10:28:11.007000,39591,36.42,41587,81177,LONG,0,1,120.0,114.0,30.0,-10.5,4.6,47.87878787878788,11.5,21.0,1.0,4.25,SUCCESS,60.0,,1,9,,SESSION_START,167.1167,False,98.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,2,2025-09-22 10:28:11.007000,2025-09-22 12:11:00.374052,84378,102.82,81177,165554,SHORT,1,2,-300.0,-308.0,10.75,-37.5,3.775,2.6234567901234565,9.625,20.500000000000004,1.0,3.5,FAILURE,11.0,,2,10,-50.0,SUCCESS,184.55,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,3,2025-09-22 12:11:00.374052,2025-09-22 12:30:23.931019,23705,19.39,165554,189258,LONG,0,1,120.0,116.0,30.0,-3.75,3.6875,37.1,10.0,15.925000000000002,1.0,3.5,SUCCESS,60.0,,3,12,,FAILURE,95.1667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,4,2025-09-22 12:30:23.931019,2025-09-22 15:15:51.618003,99849,165.46,189258,289106,SHORT,1,2,-300.0,-308.0,5.25,-37.5,3.7125,41.5,10.25,17.650000000000002,1.0,3.5,FAILURE,8.0,,4,12,-50.0,SUCCESS,198.83,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,6,2025-09-23 09:41:26.848004,2025-09-23 12:10:29.901001,154218,149.05,374885,529102,SHORT,0,1,120.0,114.0,30.0,-24.25,4.1375,76.0,11.625,19.250000000000004,1.0,3.75,SUCCESS,60.0,,1,9,,SESSION_START,673.9,False,98.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,7,2025-09-23 12:10:29.901001,2025-09-23 12:21:19.977001,10572,10.83,529102,539673,LONG,0,1,120.0,116.0,30.0,-6.0,3.35,0.8,11.5,28.650000000000002,1.0,3.5,SUCCESS,60.0,,2,12,,SUCCESS,36.35,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,8,2025-09-23 12:21:19.977001,2025-09-23 12:35:02.676032,9387,13.71,539673,549059,SHORT,0,1,120.0,116.0,30.0,-3.5,3.3375,1.6,10.5,28.650000000000002,1.0,3.0,SUCCESS,60.0,,3,12,,SUCCESS,33.7667,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,9,2025-09-23 12:35:02.676032,2025-09-23 12:50:11.085000,13344,15.14,549059,562402,LONG,0,1,120.0,116.0,30.0,-4.0,4.8625,94.30000000000001,10.875,28.650000000000002,1.0,4.875,SUCCESS,60.0,,4,12,,SUCCESS,61.75,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,10,2025-09-23 12:50:11.085000,2025-09-23 12:56:01.711000,4481,5.84,562402,566882,SHORT,0,1,120.0,116.0,30.0,-1.0,4.0625,40.800000000000004,10.875,20.65000000000001,1.0,3.75,SUCCESS,60.0,,5,12,,SUCCESS,17.0833,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,11,2025-09-23 12:56:01.711000,2025-09-23 13:27:56.811000,32576,31.92,566882,599457,LONG,1,2,-300.0,-308.0,16.25,-37.5,4.075,45.1,10.875,20.65000000000001,1.0,3.5,FAILURE,32.5,,6,12,-50.0,SUCCESS,74.48,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,12,2025-09-23 13:27:56.811000,2025-09-23 13:36:13.774000,15014,8.28,599457,614470,SHORT,0,1,120.0,116.0,30.0,-9.0,4.125,50.800000000000004,12.5,22.750000000000007,1.0,3.75,SUCCESS,60.0,,7,13,,FAILURE,62.9333,False,100.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,13,2025-09-23 13:36:13.774000,2025-09-23 13:41:40.747004,14991,5.45,614470,629460,LONG,1,2,-300.0,-308.0,0.5,-37.5,4.675,82.10000000000001,9.625,21.8,1.0,4.375,FAILURE,1.0,,8,13,-50.0,SUCCESS,37.06,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,14,2025-09-23 13:41:40.747004,2025-09-23 13:49:26.739030,21362,7.77,629460,650821,SHORT,1,2,-300.0,-308.0,12.25,-37.5,4.85,85.30000000000001,9.625,22.325000000000003,1.0,4.0,FAILURE,21.0,,9,13,-50.0,FAILURE,62.35,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,15,2025-09-23 13:49:26.739030,2025-09-23 14:23:52.629000,37833,34.43,650821,688653,LONG,1,2,-300.0,-308.0,17.75,-37.5,4.8875,70.8,11.5,30.475,1.0,4.5,FAILURE,10.5,,10,13,-50.0,FAILURE,116.45,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,16,2025-09-23 14:23:52.629000,2025-09-23 15:54:10.073001,80754,90.29,688653,769406,SHORT,1,2,-300.0,-308.0,19.5,-37.5,5.9375,81.4,8.625,15.25,1.0,5.875,FAILURE,14.0,,11,14,-50.0,FAILURE,197.19,False,
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,18,2025-09-24 09:33:29.245000,2025-09-24 09:49:59.409012,34862,16.5,805965,840826,SHORT,0,1,120.0,114.0,30.0,-21.25,5.575,81.0,9.125,33.675000000000004,1.0,5.625,SUCCESS,60.0,,1,9,,SESSION_START,185.25,False,98.0
FA_SD50_R05_MA1_RT60,50.0,25.0,1,0.6,19,2025-09-24 09:49:59.409012,2025-09-24 10:03:51.416277,22829,13.87,840826,863654,LONG,0,1,120.0,116.0,30.0,-20.75,4.55,38.7,12.625,22.20000000000001,1.0,4.5,SUCCESS,60.0,,2,9,,SUCCESS,116.65,False,100.0
