config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,1,2025-09-22 09:51:46.045007,2025-09-22 10:40:45.109000,52227,48.98,41587,93813,LONG,1,2,320.0,312.0,160.0,40.0,-20.5,4.6,47.87878787878788,11.5,21.0,1.0,4.25,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,3,2025-09-23 09:41:26.848004,2025-09-23 13:20:11.232000,211935,218.74,374885,586819,SHORT,1,2,320.0,312.0,160.0,40.0,-34.25,4.1375,76.0,11.625,19.250000000000004,1.0,3.75,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,5,2025-09-24 09:33:29.245000,2025-09-24 09:51:57.632007,40358,18.47,805965,846322,SHORT,1,2,320.0,312.0,160.0,40.0,-21.25,5.575,81.0,9.125,33.675000000000004,1.0,5.625,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,6,2025-09-24 09:51:57.632007,2025-09-24 10:03:51.416277,17333,11.9,846322,863654,LONG,1,2,320.0,312.0,160.0,40.0,-1.25,4.375,29.200000000000003,12.625,25.575000000000003,1.0,4.125,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,7,2025-09-24 10:03:51.416277,2025-09-24 11:10:46.043023,67870,66.91,863654,931523,SHORT,1,2,320.0,312.0,160.0,40.0,-14.5,6.0625,91.10000000000001,8.125,20.525000000000006,1.0,5.75,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,9,2025-09-25 09:34:17.470002,2025-09-25 09:36:47.394076,8282,2.5,1222645,1230926,SHORT,1,2,320.0,312.0,160.0,40.0,-4.5,7.15,91.80000000000001,9.875,18.475000000000023,1.0,6.75,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,10,2025-09-25 09:36:47.394076,2025-09-25 10:05:29.969000,82796,28.71,1230926,1313721,LONG,1,2,320.0,312.0,160.0,40.0,-56.0,5.925,80.4,10.0,31.775,1.0,5.5,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,11,2025-09-25 10:05:29.969000,2025-09-25 14:02:37.279000,277616,237.12,1313721,1591336,SHORT,1,2,322.0,314.0,161.0,40.25,-170.5,5.9375,30.5,13.75,25.875,1.0,5.625,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,12,2025-09-25 14:02:37.279000,2025-09-25 14:12:22.534000,17915,9.75,1591336,1609250,LONG,1,2,320.0,312.0,160.0,40.0,-22.5,5.725,24.700000000000003,12.625,22.65000000000002,1.0,5.125,False,116.0
C_SD50_CD20.0_MA1,C,50.0,0.0,20.0,14,2025-09-26 09:30:48.038008,2025-09-26 10:25:12.625001,112216,54.41,1732134,1844349,SHORT,1,2,320.0,312.0,160.0,40.0,-129.0,7.45,98.0,16.875,24.075000000000003,1.0,7.375,False,116.0
