config_id,approach,step_dist,add_dist,confirm_dist,cycle_id,start_time,end_time,duration_bars,duration_minutes,start_bar_idx,end_bar_idx,side,add_count,exit_position,pnl_ticks_gross,pnl_ticks_net,pnl_ticks_per_unit,mfe_points,mae_points,atr_20bar,atr_percentile,swing_median_20,swing_p90_20,directional_persistence,bar_range_median_20,would_flatten_reseed,half_block_profit
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,1,2025-09-22 09:30:47.916001,2025-09-22 09:32:17.575002,4795,1.49,3517,8311,LONG,1,3,108.0,96.0,36.0,9.0,-5.75,4.892857142857143,100.0,8.25,10.85,0.0,4.875,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,2,2025-09-22 09:32:17.575002,2025-09-22 09:39:36.745000,15030,7.32,8311,23340,SHORT,1,3,108.0,96.0,36.0,9.0,-17.25,5.625,81.25,8.25,13.0,0.0,5.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,3,2025-09-22 09:39:36.745000,2025-09-22 09:43:06.840007,6789,3.5,23340,30128,LONG,1,3,108.0,96.0,36.0,9.0,-9.0,4.2625,28.804347826086953,9.75,18.550000000000004,1.0,4.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,5,2025-09-23 09:31:56.350000,2025-09-23 09:37:30.728005,13123,5.57,352997,366119,SHORT,1,3,108.0,96.0,36.0,9.0,-23.75,5.675,99.60000000000001,11.75,21.700000000000003,1.0,5.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,6,2025-09-23 09:37:30.728005,2025-09-23 09:38:54.032000,2594,1.39,366119,368712,LONG,1,3,108.0,96.0,36.0,9.0,-1.75,4.8625,92.4,11.375,21.700000000000003,1.0,4.625,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,7,2025-09-23 09:38:54.032000,2025-09-23 09:40:34.120000,3155,1.67,368712,371866,SHORT,1,3,108.0,96.0,36.0,9.0,-4.75,4.775,89.80000000000001,11.375,17.000000000000007,1.0,4.625,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,9,2025-09-24 09:30:47.029000,2025-09-24 09:32:34.616009,6088,1.79,797186,803273,SHORT,1,3,108.0,96.0,36.0,9.0,-7.0,7.95,99.80000000000001,8.125,19.05000000000001,1.0,5.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,11,2025-09-25 09:30:02.077000,2025-09-25 09:30:21.272000,2061,0.32,1206621,1208681,SHORT,1,3,108.0,96.0,36.0,9.0,-10.75,13.125,100.0,10.25,22.225000000000016,1.0,3.875,False,29.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,12,2025-09-25 09:30:21.272000,2025-09-25 10:09:09.597000,113890,38.81,1208681,1322570,LONG,1,3,108.0,96.0,36.0,9.0,-129.75,14.7125,100.0,9.875,22.225000000000016,1.0,5.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,13,2025-09-25 10:09:09.597000,2025-09-25 13:43:12.398000,246789,214.05,1322570,1569358,SHORT,1,3,106.0,94.0,35.3333,9.25,-141.6667,5.7125,18.2,12.75,27.625000000000007,1.0,5.75,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,14,2025-09-25 13:43:12.398000,2025-09-25 13:44:13.100000,1542,1.01,1569358,1570899,LONG,1,3,111.0,99.0,37.0,9.25,-4.5,6.1875,46.400000000000006,17.125,30.325000000000003,1.0,5.75,False,30.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,15,2025-09-25 13:44:13.100000,2025-09-25 13:49:27.832000,3814,5.25,1570899,1574712,SHORT,1,3,108.0,96.0,36.0,9.0,-4.5,6.0875,41.5,17.625,31.425000000000004,1.0,5.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,16,2025-09-25 13:49:27.832000,2025-09-25 14:18:02.073007,42447,28.57,1574712,1617158,LONG,1,3,108.0,96.0,36.0,9.0,-99.0,6.85,75.10000000000001,9.875,30.750000000000007,1.0,6.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,18,2025-09-26 09:30:01.870000,2025-09-26 09:30:11.230004,1420,0.16,1727552,1728971,SHORT,1,3,108.0,96.0,36.0,9.0,-9.75,5.7125,51.0,17.75,25.150000000000006,1.0,4.75,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,19,2025-09-26 09:30:11.230004,2025-09-26 09:32:01.240000,8546,1.83,1728971,1737516,LONG,1,3,108.0,96.0,36.0,9.0,-27.25,7.1,98.80000000000001,16.875,25.150000000000006,1.0,5.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,20,2025-09-26 09:32:01.240000,2025-09-26 10:07:03.155003,69606,35.03,1737516,1807121,SHORT,1,3,108.0,96.0,36.0,9.0,-94.0,7.25,97.2,17.125,25.000000000000004,1.0,7.5,False,30.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,21,2025-09-26 10:07:03.155003,2025-09-26 10:42:49.447000,74320,35.77,1807121,1881440,LONG,1,3,108.0,96.0,36.0,9.0,-110.25,6.95,57.2,13.5,33.725,1.0,7.125,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,22,2025-09-26 10:42:49.447000,2025-09-26 10:43:29.727001,1486,0.67,1881440,1882925,SHORT,1,3,108.0,96.0,36.0,9.0,-4.0,6.1375,8.200000000000001,10.375,26.82500000000001,1.0,5.75,False,29.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,23,2025-09-26 10:43:29.727001,2025-09-26 12:21:00.025025,101716,97.5,1882925,1984640,LONG,1,3,108.0,96.0,36.0,9.0,-84.5,6.1125,8.9,10.375,26.82500000000001,1.0,5.75,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,25,2025-09-29 09:30:13.047000,2025-09-29 09:32:29.611003,6718,2.28,2123469,2130186,LONG,1,3,108.0,96.0,36.0,9.0,-15.5,9.6875,100.0,12.5,24.400000000000006,1.0,4.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,26,2025-09-29 09:32:29.611003,2025-09-29 09:36:19.816007,6800,3.84,2130186,2136985,SHORT,1,3,108.0,96.0,36.0,9.0,-12.5,7.15,93.2,12.5,24.625000000000007,1.0,7.0,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,27,2025-09-29 09:36:19.816007,2025-09-29 09:37:08.580000,1477,0.81,2136985,2138461,LONG,1,3,108.0,96.0,36.0,9.0,-3.5,7.1875,95.0,11.125,17.72500000000001,1.0,7.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,28,2025-09-29 09:37:08.580000,2025-09-29 11:17:58.466006,128990,100.83,2138461,2267450,SHORT,1,3,108.0,96.0,36.0,9.0,-100.75,7.2,95.4,11.125,17.72500000000001,1.0,7.125,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,29,2025-09-29 11:17:58.466006,2025-09-29 11:19:09.291002,2281,1.18,2267450,2269730,LONG,1,3,108.0,96.0,36.0,9.0,-3.5,5.9,71.8,8.375,20.275,1.0,5.5,False,30.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,30,2025-09-29 11:19:09.291002,2025-09-29 11:27:42.380000,11071,8.55,2269730,2280800,SHORT,1,3,108.0,96.0,36.0,9.0,-20.0,5.425,47.0,8.375,20.275,1.0,5.25,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,32,2025-09-30 09:30:36.615000,2025-09-30 09:33:13.091000,4960,2.61,2502456,2507415,SHORT,1,3,108.0,96.0,36.0,9.0,-11.25,6.1375,100.0,8.5,20.6,1.0,5.625,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,33,2025-09-30 09:33:13.091000,2025-09-30 09:45:31.084000,23776,12.3,2507415,2531190,LONG,1,3,108.0,96.0,36.0,9.0,-49.0,7.6625,98.4,8.5,17.450000000000006,1.0,7.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,34,2025-09-30 09:45:31.084000,2025-09-30 09:46:21.759000,1611,0.84,2531190,2532800,SHORT,1,3,108.0,96.0,36.0,9.0,-0.75,5.5,76.2,13.0,26.775,1.0,5.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,35,2025-09-30 09:46:21.759000,2025-09-30 10:03:03.511000,26528,16.7,2532800,2559327,LONG,1,3,108.0,96.0,36.0,9.0,-74.25,5.525,76.4,11.5,26.775,1.0,5.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,36,2025-09-30 10:03:03.511000,2025-09-30 10:05:08.249004,2977,2.08,2559327,2562303,SHORT,1,3,108.0,96.0,36.0,9.0,-7.25,7.625,89.2,13.875,35.375,1.0,7.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,37,2025-09-30 10:05:08.249004,2025-09-30 10:31:31.331000,31708,26.38,2562303,2594010,LONG,1,3,108.0,96.0,36.0,9.0,-43.5,6.6,58.1,13.625,35.375,1.0,6.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,38,2025-09-30 10:31:31.331000,2025-09-30 10:33:37.071000,2284,2.1,2594010,2596293,SHORT,1,3,108.0,96.0,36.0,9.0,-6.75,7.1625,54.400000000000006,10.375,25.400000000000002,1.0,7.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,39,2025-09-30 10:33:37.071000,2025-09-30 10:46:34.253000,15660,12.95,2596293,2611952,LONG,1,3,108.0,96.0,36.0,9.0,-44.25,6.5125,31.0,10.375,26.975,1.0,6.25,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,40,2025-09-30 10:46:34.253000,2025-09-30 11:20:33.870089,43033,33.99,2611952,2654984,SHORT,1,3,108.0,96.0,36.0,9.0,-57.25,7.0125,42.300000000000004,12.0,27.600000000000005,1.0,7.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,41,2025-09-30 11:20:33.870089,2025-09-30 11:22:19.283005,3307,1.76,2654984,2658290,LONG,1,3,108.0,96.0,36.0,9.0,-7.25,5.9125,27.8,11.25,22.800000000000008,1.0,6.0,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,42,2025-09-30 11:22:19.283005,2025-09-30 11:25:07.054009,2496,2.8,2658290,2660785,SHORT,1,3,108.0,96.0,36.0,9.0,-2.25,7.0,57.400000000000006,13.25,22.25,1.0,6.5,False,29.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,43,2025-09-30 11:25:07.054009,2025-09-30 11:32:42.909000,10482,7.6,2660785,2671266,LONG,1,3,108.0,96.0,36.0,9.0,-35.0,7.0,57.300000000000004,11.25,22.25,1.0,6.625,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,44,2025-09-30 11:32:42.909000,2025-09-30 11:35:12.886001,1973,2.5,2671266,2673238,SHORT,1,3,108.0,96.0,36.0,9.0,-2.5,6.1125,30.400000000000002,11.25,27.82500000000001,1.0,6.0,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,45,2025-09-30 11:35:12.886001,2025-09-30 11:51:52.509000,14944,16.66,2673238,2688181,LONG,1,3,108.0,96.0,36.0,9.0,-29.0,6.325,38.7,10.625,22.72500000000001,1.0,6.25,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,46,2025-09-30 11:51:52.509000,2025-09-30 11:52:27.779029,916,0.59,2688181,2689096,SHORT,1,3,108.0,96.0,36.0,9.0,-4.5,5.925,27.400000000000002,10.875,20.25000000000001,1.0,5.375,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,47,2025-09-30 11:52:27.779029,2025-09-30 11:53:35.944000,1077,1.14,2689096,2690172,LONG,1,3,108.0,96.0,36.0,9.0,-3.0,6.2625,42.6,12.0,20.25000000000001,1.0,5.625,False,29.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,48,2025-09-30 11:53:35.944000,2025-09-30 11:56:32.453000,1857,2.94,2690172,2692028,SHORT,1,3,108.0,96.0,36.0,9.0,-4.25,6.2,39.5,12.0,20.25000000000001,1.0,5.875,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,49,2025-09-30 11:56:32.453000,2025-09-30 11:57:49.338026,1133,1.28,2692028,2693160,LONG,1,3,108.0,96.0,36.0,9.0,-5.0,6.8,63.400000000000006,13.25,20.25000000000001,1.0,6.5,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,50,2025-09-30 11:57:49.338026,2025-09-30 12:08:40.057164,8477,10.85,2693160,2701636,SHORT,1,3,108.0,96.0,36.0,9.0,-15.5,6.525,55.2,13.25,20.25000000000001,1.0,6.25,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,51,2025-09-30 12:08:40.057164,2025-09-30 12:19:01.110002,6137,10.35,2701636,2707772,LONG,1,3,108.0,96.0,36.0,9.0,-10.75,6.8125,71.4,11.625,20.225000000000016,1.0,6.625,False,28.0
D_SD15_CD9.0_AS2,D,15.0,0.0,9.0,52,2025-09-30 12:19:01.110002,2025-09-30 12:58:09.578000,22425,39.14,2707772,2730196,SHORT,1,3,108.0,96.0,36.0,9.0,-38.25,6.8,73.3,9.875,19.05000000000001,1.0,6.5,False,28.0
