config_id,cycle_id,start_time,end_time,side,position_size,add_count,avg_entry,last_price,unrealized_pnl_ticks
D_SD25_CD12.5_AS2,2,2025-09-22 09:51:46.045007,2025-09-22 16:14:59.801000,SHORT,1,0,24865.5,24986.75,-485.0
D_SD25_CD12.5_AS2,4,2025-09-23 09:41:26.848004,2025-09-23 16:14:58.531002,LONG,3,1,24959.3333,24836.0,-1480.0
D_SD25_CD12.5_AS2,6,2025-09-24 09:33:29.245000,2025-09-24 16:14:59.916000,LONG,3,1,24843.5833,24751.0,-1111.0
D_SD25_CD12.5_AS2,11,2025-09-25 14:16:27.679000,2025-09-25 16:14:59.975000,SHORT,1,0,24551.25,24624.75,-294.0
D_SD25_CD12.5_AS2,20,2025-09-26 12:20:22.017000,2025-09-26 16:14:59.400000,SHORT,1,0,24629.0,24744.5,-462.0
D_SD25_CD12.5_AS2,23,2025-09-29 11:15:39.153192,2025-09-29 16:14:59.958001,LONG,3,1,24884.0833,24829.5,-655.0
D_SD25_CD12.5_AS2,44,2025-09-30 14:10:26.866000,2025-09-30 16:14:59.908000,SHORT,1,0,24795.5,24858.25,-251.0
D_SD25_CD12.5_AS2,50,2025-10-01 10:03:38.687029,2025-10-01 16:14:56.360000,SHORT,3,1,24804.6667,24995.25,-2287.0
D_SD25_CD12.5_AS2,52,2025-10-02 09:34:52.207011,2025-10-02 16:14:59.739000,LONG,3,1,25123.5833,25119.75,-46.0
D_SD25_CD12.5_AS2,53,2025-10-03 09:31:45.386000,2025-10-03 16:14:58.258001,LONG,1,0,25158.5,24982.25,-705.0
D_SD25_CD12.5_AS2,58,2025-10-06 11:46:10.076097,2025-10-06 16:14:59.227000,SHORT,3,1,25180.9167,25177.0,47.0
D_SD25_CD12.5_AS2,59,2025-10-07 09:36:25.304018,2025-10-07 16:14:59.067000,LONG,1,0,25262.0,25058.75,-813.0
D_SD25_CD12.5_AS2,61,2025-10-08 09:33:17.992004,2025-10-08 16:14:59.148000,SHORT,3,1,25121.4167,25332.75,-2536.0
D_SD25_CD12.5_AS2,65,2025-10-09 09:51:59.103017,2025-10-09 16:14:57.965000,LONG,3,1,25287.3333,25285.0,-28.0
D_SD25_CD12.5_AS2,70,2025-10-10 10:01:12.086031,2025-10-10 16:14:59.357000,LONG,3,1,25346.3333,24442.0,-10852.0
D_SD25_CD12.5_AS2,77,2025-10-13 11:10:27.844000,2025-10-13 16:14:56.794002,SHORT,1,0,24799.75,24915.5,-463.0
D_SD25_CD12.5_AS2,84,2025-10-14 10:13:02.297000,2025-10-14 16:14:58.161001,SHORT,1,0,24613.5,24730.25,-467.0
D_SD25_CD12.5_AS2,96,2025-10-15 12:29:18.655000,2025-10-15 16:14:59.909001,LONG,3,1,24960.0,24942.25,-213.0
D_SD25_CD12.5_AS2,107,2025-10-16 11:25:17.061000,2025-10-16 16:14:59.911000,LONG,1,0,25070.25,24754.25,-1264.0
D_SD25_CD12.5_AS2,121,2025-10-17 11:41:28.260001,2025-10-17 16:14:59.062001,SHORT,3,1,24778.4167,25010.75,-2788.0
D_SD25_CD12.5_AS2,123,2025-10-20 09:30:34.207000,2025-10-20 16:14:57.096000,SHORT,1,0,25169.0,25316.5,-590.0
D_SD25_CD12.5_AS2,133,2025-10-21 16:02:33.305001,2025-10-21 16:14:58.569002,LONG,1,0,25250.5,25244.75,-23.0
D_SD25_CD12.5_AS2,139,2025-10-22 10:22:42.592000,2025-10-22 16:14:59.827000,LONG,1,0,25215.25,25054.5,-643.0
D_SD25_CD12.5_AS2,141,2025-10-23 09:37:05.559008,2025-10-23 16:14:59.977000,SHORT,1,0,25066.25,25268.0,-807.0
D_SD25_CD12.5_AS2,142,2025-10-24 09:30:20.457000,2025-10-24 16:14:59.420000,SHORT,1,0,25441.5,25506.5,-260.0
D_SD25_CD12.5_AS2,146,2025-10-27 10:29:04.103000,2025-10-27 16:14:59.986004,SHORT,3,1,25857.6667,25973.75,-1393.0
D_SD25_CD12.5_AS2,150,2025-10-28 12:32:13.254000,2025-10-28 16:14:59.466000,SHORT,1,0,26101.5,26157.0,-222.0
D_SD25_CD12.5_AS2,161,2025-10-29 16:05:12.886004,2025-10-29 16:14:59.593001,LONG,1,0,26289.0,26230.25,-235.0
D_SD25_CD12.5_AS2,167,2025-10-30 10:15:46.108000,2025-10-30 16:14:59.886000,LONG,3,1,26083.8333,25996.75,-1045.0
D_SD25_CD12.5_AS2,173,2025-10-31 11:26:28.256034,2025-10-31 16:14:59.777001,LONG,1,0,26149.25,25984.25,-660.0
D_SD25_CD12.5_AS2,174,2025-11-03 09:31:06.924007,2025-11-03 16:14:59.981000,LONG,1,0,26260.75,26125.25,-542.0
D_SD25_CD12.5_AS2,184,2025-11-04 12:53:44.027000,2025-11-04 16:14:59.568001,LONG,1,0,25692.0,25567.25,-499.0
D_SD25_CD12.5_AS2,186,2025-11-05 09:47:32.936002,2025-11-05 16:14:59.952001,SHORT,1,0,25592.25,25704.75,-450.0
D_SD25_CD12.5_AS2,192,2025-11-06 09:50:31.003140,2025-11-06 16:14:59.987000,LONG,1,0,25624.0,25290.25,-1335.0
D_SD25_CD12.5_AS2,201,2025-11-07 15:30:30.119000,2025-11-07 16:14:59.188000,SHORT,3,1,25077.25,25198.5,-1455.0
