rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
1669,CT,1,54.0,24995.00,50.2,16,TARGET_1,40.0,TARGET_2,80.0,81.0,3.0,40,80,190,1670,1685,16.900000000000002,CT,15m
1703,WTNT,1,54.0,24997.75,29.61,160,TARGET_1,60.0,TIMECAP,-23.0,69.0,69.0,60,80,240,1704,1863,16.900000000000002,WT,15m
1893,WTNT,-1,94.0,24989.75,1.0,160,TIMECAP,4.0,TIMECAP,4.0,49.0,145.0,60,80,240,1894,2053,16.900000000000002,WT,15m
2160,WTNT,-1,19.0,25005.25,63.60000000000001,25,TARGET_1,60.0,TARGET_2,80.0,83.0,18.0,60,80,240,2161,2185,16.900000000000002,WT,15m
3586,CT,1,119.0,24794.25,50.2,14,TARGET_1,40.0,TARGET_2,80.0,88.0,20.0,40,80,190,3598,3611,17.66,CT,120m
3712,CT,1,119.0,24794.25,50.2,74,TARGET_1,40.0,TARGET_2,80.0,84.0,41.0,40,80,190,3719,3792,17.66,CT,120m
3835,CT,1,119.0,24794.25,50.2,18,TARGET_1,40.0,TARGET_2,80.0,84.0,3.0,40,80,190,3836,3853,17.66,CT,120m
4332,WTNT,-1,66.0,24879.75,63.60000000000001,67,TARGET_1,60.0,TARGET_2,80.0,85.0,78.0,60,80,240,4333,4399,17.86,WT,30m
5798,CT,1,77.0,24697.00,50.2,40,TARGET_1,40.0,TARGET_2,80.0,86.0,14.0,40,80,190,5800,5839,16.900000000000002,CT,15m
8540,WTNT,-1,80.0,24624.00,63.60000000000001,11,TARGET_1,60.0,TARGET_2,80.0,89.0,16.0,60,80,240,8541,8551,16.900000000000002,WT,15m
8581,CT,-1,80.0,24626.00,50.2,92,TARGET_1,40.0,TARGET_2,80.0,81.0,54.0,40,80,190,8582,8673,16.900000000000002,CT,15m
11070,WTNT,-1,74.0,24746.25,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,85.0,1.0,60,80,240,11071,11084,17.66,WT,120m
12924,WTNT,-1,152.0,24831.50,56.0,160,TIMECAP,59.0,TIMECAP,59.0,59.0,67.0,60,80,240,12925,13084,16.900000000000002,WT,60m
15432,WTNT,1,116.0,24759.00,63.60000000000001,11,TARGET_1,60.0,TARGET_2,80.0,94.0,9.0,60,80,240,15433,15443,17.86,WT,30m
