rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
1669,CT,1,54.0,24995.0,50.2,16,TARGET_1,40.0,TARGET_2,80.0,81.0,3.0,40,80,190,1670,1685,16.900000000000002,CT,15m
1703,WT,1,54.0,24997.75,29.61,160,TARGET_1,60.0,TIMECAP,-23.0,69.0,69.0,60,80,240,1704,1863,16.900000000000002,WT,15m
1893,WT,-1,94.0,24989.75,1.0,160,TIMECAP,4.0,TIMECAP,4.0,49.0,145.0,60,80,240,1894,2053,16.900000000000002,NT,15m
2160,WT,-1,19.0,25005.25,63.60000000000001,25,TARGET_1,60.0,TARGET_2,80.0,83.0,18.0,60,80,240,2161,2185,16.900000000000002,NT,15m
2743,WT,1,81.0,24953.25,9.48,160,TARGET_1,60.0,TIMECAP,-84.0,66.0,95.0,60,80,240,2744,2903,17.080000000000002,WT,15m
3586,CT,1,119.0,24794.25,50.2,14,TARGET_1,40.0,TARGET_2,80.0,88.0,20.0,40,80,190,3598,3611,17.66,CT,120m
3712,WT,1,119.0,24796.0,63.60000000000001,81,TARGET_1,60.0,TARGET_2,80.0,82.0,48.0,60,80,240,3713,3793,17.66,NT,120m
3835,CT,1,119.0,24794.25,50.2,18,TARGET_1,40.0,TARGET_2,80.0,84.0,3.0,40,80,190,3836,3853,17.66,CT,120m
4332,WT,-1,66.0,24879.75,63.60000000000001,67,TARGET_1,60.0,TARGET_2,80.0,85.0,78.0,60,80,240,4333,4399,17.86,NT,30m
5483,WT,1,211.0,24679.75,63.60000000000001,43,TARGET_1,60.0,TARGET_2,80.0,85.0,3.0,60,80,240,5484,5526,16.900000000000002,NT,15m
5798,WT,1,77.0,24698.5,63.60000000000001,41,TARGET_1,60.0,TARGET_2,80.0,80.0,20.0,60,80,240,5799,5839,16.900000000000002,NT,15m
6176,WT,1,9.0,24742.25,63.60000000000001,7,TARGET_1,60.0,TARGET_2,80.0,80.0,8.0,60,80,240,6177,6183,17.080000000000002,NT,15m
8540,WT,-1,80.0,24624.0,63.60000000000001,11,TARGET_1,60.0,TARGET_2,80.0,89.0,16.0,60,80,240,8541,8551,16.900000000000002,WT,15m
8581,WT,-1,80.0,24622.5,63.60000000000001,105,TARGET_1,60.0,TARGET_2,80.0,81.0,68.0,60,80,240,8582,8686,16.900000000000002,NT,15m
8912,WT,1,85.0,24637.75,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,91.0,48.0,60,80,240,8913,8917,18.8,NT,30m
11070,WT,-1,74.0,24746.25,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,85.0,1.0,60,80,240,11071,11084,17.66,WT,120m
12924,WT,-1,152.0,24831.5,56.0,160,TIMECAP,59.0,TIMECAP,59.0,59.0,67.0,60,80,240,12925,13084,16.900000000000002,WT,60m
15432,WT,1,116.0,24759.0,63.60000000000001,11,TARGET_1,60.0,TARGET_2,80.0,94.0,9.0,60,80,240,15433,15443,17.86,WT,30m
16818,WT,-1,52.0,25025.25,63.60000000000001,98,TARGET_1,60.0,TARGET_2,80.0,88.0,36.0,60,80,240,16819,16916,18.8,NT,30m
18652,WT,-1,45.0,25115.0,63.60000000000001,31,TARGET_1,60.0,TARGET_2,80.0,88.0,24.0,60,80,240,18653,18683,17.080000000000002,NT,15m
20538,WT,-1,86.0,25006.0,63.60000000000001,86,TARGET_1,60.0,TARGET_2,80.0,86.0,79.0,60,80,240,20539,20624,17.080000000000002,NT,15m
20818,WT,1,102.0,25095.25,63.60000000000001,51,TARGET_1,60.0,TARGET_2,80.0,83.0,199.0,60,80,240,20819,20869,17.86,WT,30m
21030,CT,1,55.0,25191.75,50.2,16,TARGET_1,40.0,TARGET_2,80.0,100.0,15.0,40,80,190,21031,21046,17.080000000000002,CT,15m
21527,WT,1,139.0,25144.25,63.60000000000001,37,TARGET_1,60.0,TARGET_2,80.0,91.0,52.0,60,80,240,21528,21564,17.080000000000002,WT,15m
21956,WT,1,60.0,25222.25,63.60000000000001,69,TARGET_1,60.0,TARGET_2,80.0,82.0,15.0,60,80,240,21957,22025,17.080000000000002,NT,15m
22367,WT,1,139.0,25145.25,63.60000000000001,61,TARGET_1,60.0,TARGET_2,80.0,86.0,91.0,60,80,240,22368,22428,17.66,NT,15m
24058,CT,-1,66.0,25049.75,50.2,11,TARGET_1,40.0,TARGET_2,80.0,84.0,31.0,40,80,190,24061,24071,17.080000000000002,CT,15m
24148,WT,-1,66.0,25047.25,63.60000000000001,15,TARGET_1,60.0,TARGET_2,80.0,97.0,14.0,60,80,240,24149,24163,19.87,WT,15m
24209,WT,1,49.0,25037.5,63.60000000000001,32,TARGET_1,60.0,TARGET_2,80.0,87.0,37.0,60,80,240,24210,24241,17.080000000000002,NT,15m
24263,WT,1,49.0,25034.5,63.60000000000001,61,TARGET_1,60.0,TARGET_2,80.0,86.0,17.0,60,80,240,24264,24324,16.900000000000002,NT,15m
24439,WT,1,236.0,25051.0,63.60000000000001,43,TARGET_1,60.0,TARGET_2,80.0,90.0,3.0,60,80,240,24440,24482,16.900000000000002,WT,120m
