rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
1669,CT,1,54.0,24995.00,32.91,16,TARGET_1,27.0,TARGET_2,54.0,81.0,3.0,27,54,120,1670,1685,16.900000000000002,CT,15m
1703,WTNT,1,54.0,24997.75,32.91,36,TARGET_1,27.0,TARGET_2,54.0,59.0,29.0,27,54,120,1704,1739,16.900000000000002,WT,15m
1893,WTNT,-1,94.0,24989.75,-18.04,116,TARGET_1,47.0,STOP,-141.0,49.0,143.0,47,94,141,1894,2009,16.900000000000002,WT,15m
2160,WTNT,-1,19.0,25005.25,9.97,1,TARGET_1,10.0,TARGET_2,19.0,32.0,3.0,10,19,120,2161,2161,16.900000000000002,WT,15m
3586,CT,1,119.0,24794.25,76.47,22,TARGET_1,60.0,TARGET_2,119.0,122.0,20.0,60,119,178,3598,3619,17.66,CT,120m
3712,CT,1,119.0,24794.25,76.47,82,TARGET_1,60.0,TARGET_2,119.0,128.0,41.0,60,119,178,3719,3800,17.66,CT,120m
3835,CT,1,119.0,24794.25,76.47,44,TARGET_1,60.0,TARGET_2,119.0,119.0,3.0,60,119,178,3836,3879,17.66,CT,120m
4332,WTNT,-1,66.0,24879.75,40.89,46,TARGET_1,33.0,TARGET_2,66.0,67.0,78.0,33,66,120,4333,4378,17.86,WT,30m
5798,CT,1,77.0,24697.00,47.870000000000005,40,TARGET_1,38.0,TARGET_2,77.0,86.0,14.0,38,77,120,5800,5839,16.900000000000002,CT,15m
8540,WTNT,-1,80.0,24624.00,50.2,11,TARGET_1,40.0,TARGET_2,80.0,89.0,16.0,40,80,120,8541,8551,16.900000000000002,WT,15m
8581,CT,-1,80.0,24626.00,50.2,92,TARGET_1,40.0,TARGET_2,80.0,81.0,54.0,40,80,120,8582,8673,16.900000000000002,CT,15m
11070,WTNT,-1,74.0,24746.25,46.21000000000001,13,TARGET_1,37.0,TARGET_2,74.0,77.0,1.0,37,74,120,11071,11083,17.66,WT,120m
12924,WTNT,-1,152.0,24831.50,64.0,161,END_OF_DATA,67.0,END_OF_DATA,67.0,74.0,67.0,76,152,228,12925,13085,16.900000000000002,WT,60m
15432,WTNT,1,116.0,24759.00,74.14,12,TARGET_1,58.0,TARGET_2,116.0,125.0,9.0,58,116,174,15433,15444,17.86,WT,30m
20818,WTNT,1,102.0,25095.25,-156.0,13,STOP,-153.0,STOP,-153.0,38.0,173.0,51,102,153,20819,20831,17.86,WT,30m
21555,WTNT,1,139.0,25143.25,89.77000000000001,89,TARGET_1,70.0,TARGET_2,139.0,142.0,1.0,70,139,208,21556,21644,19.11,WT,15m
22367,CT,1,139.0,25142.00,89.77000000000001,63,TARGET_1,70.0,TARGET_2,139.0,152.0,78.0,70,139,208,22368,22430,17.66,CT,15m
24148,WTNT,-1,66.0,25047.25,40.89,13,TARGET_1,33.0,TARGET_2,66.0,75.0,14.0,33,66,120,24149,24161,19.87,WT,15m
24229,WTNT,-1,66.0,25046.00,30.990000000000002,161,TARGET_1,33.0,END_OF_DATA,36.0,63.0,108.0,33,66,120,24230,24390,16.900000000000002,WT,15m
24439,WTNT,1,236.0,25051.00,64.51,161,TARGET_1,118.0,END_OF_DATA,-35.0,172.0,99.0,118,236,354,24440,24600,16.900000000000002,WT,120m
25787,WTNT,1,25.0,25268.50,13.29,2,TARGET_1,12.0,TARGET_2,25.0,31.0,1.0,12,25,120,25788,25789,19.11,WT,15m
25902,CT,1,25.0,25265.75,13.29,3,TARGET_1,12.0,TARGET_2,25.0,27.0,0.0,12,25,120,25904,25906,19.87,CT,15m
26496,CT,-1,77.0,25323.25,47.870000000000005,63,TARGET_1,38.0,TARGET_2,77.0,78.0,58.0,38,77,120,26497,26559,17.86,CT,30m
27252,CT,1,176.0,25215.50,114.04,85,TARGET_1,88.0,TARGET_2,176.0,181.0,71.0,88,176,264,27253,27337,19.380000000000003,CT,30m
36899,CT,-1,94.0,24906.75,59.510000000000005,61,TARGET_1,47.0,TARGET_2,94.0,97.0,81.0,47,94,141,36900,36960,19.11,CT,15m
37128,CT,1,203.0,24719.25,132.33,44,TARGET_1,102.0,TARGET_2,203.0,210.0,61.0,102,203,304,37129,37172,16.900000000000002,CT,60m
37298,CT,1,131.0,24715.75,84.45000000000002,39,TARGET_1,66.0,TARGET_2,131.0,131.0,74.0,66,131,196,37299,37337,17.66,CT,15m
39956,CT,1,209.0,24925.75,135.65,29,TARGET_1,104.0,TARGET_2,209.0,222.0,37.0,104,209,314,39958,39986,19.11,CT,60m
43305,WTNT,1,137.0,24514.50,87.77000000000001,6,TARGET_1,68.0,TARGET_2,137.0,150.0,31.0,68,137,206,43306,43311,17.86,WT,30m
