trade_id,seg_model_group,period,datetime,direction,F10_PriorPenetration,F04_CascadeState,F01_Timeframe,F21_ZoneAge,acal_score,acal_threshold,score_margin,trend_label,SBB_label,entry_price,exit_price,exit_type,pnl_ticks,bars_held,mfe_ticks,mae_ticks
1,seg3_ModeB,P2a,2025-12-17 18:14:55,LONG,215.0,PRIOR_HELD,30m,53,18.62,16.66,1.9600000000000009,CT,NORMAL,24963.5,24916.0,STOP,-193.0,16,56.0,223.0
2,seg3_ModeB,P2a,2025-12-18 13:49:31,SHORT,197.0,PRIOR_HELD,30m,418,18.62,16.66,1.9600000000000009,CT,NORMAL,25349.5,25329.5,TARGET,77.0,43,97.0,72.0
3,seg3_ModeB,P2a,2025-12-19 08:32:04,LONG,96.0,PRIOR_HELD,90m,153,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25305.75,25325.75,TARGET,77.0,6,92.0,54.0
4,seg3_ModeB,P2a,2025-12-19 11:55:58,LONG,57.0,PRIOR_HELD,30m,141,18.62,16.66,1.9600000000000009,CT,NORMAL,25510.75,25530.75,TARGET,77.0,16,83.0,35.0
5,seg3_ModeB,P2a,2025-12-22 14:57:24,LONG,149.0,PRIOR_HELD,15m,121,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25692.25,25691.5,TIMECAP,-6.0,120,45.0,52.0
6,seg3_ModeB,P2a,2026-01-02 15:55:00,LONG,56.0,PRIOR_HELD,120m,219,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25377.75,25397.75,TARGET,77.0,67,81.0,63.0
7,seg3_ModeB,P2a,2026-01-04 21:37:37,LONG,15.0,PRIOR_BROKE,30m,35,17.86,16.66,1.1999999999999993,CT,NORMAL,25460.0,25480.0,TARGET,77.0,3,80.0,31.0
8,seg3_ModeB,P2a,2026-01-05 09:39:04,LONG,119.0,PRIOR_HELD,60m,222,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25571.0,25591.0,TARGET,77.0,49,90.0,130.0
9,seg3_ModeB,P2a,2026-01-05 09:49:03,LONG,75.0,NO_PRIOR,60m,334,19.87,16.66,3.210000000000001,CT,NORMAL,25573.75,25593.75,TARGET,77.0,10,97.0,56.0
10,seg3_ModeB,P2a,2026-01-05 09:57:18,LONG,75.0,NO_PRIOR,60m,398,19.87,16.66,3.210000000000001,CT,NORMAL,25572.75,25592.75,TARGET,77.0,9,89.0,20.0
11,seg3_ModeB,P2a,2026-01-05 10:01:29,LONG,75.0,PRIOR_HELD,90m,395,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25572.5,25592.5,TARGET,77.0,3,102.0,26.0
12,seg3_ModeB,P2a,2026-01-05 14:39:33,LONG,75.0,NO_PRIOR,60m,1259,17.66,16.66,1.0,CT,NORMAL,25570.5,25590.5,TARGET,77.0,76,85.0,84.0
13,seg3_ModeB,P2a,2026-01-07 09:05:21,LONG,22.0,PRIOR_BROKE,30m,31,17.86,16.66,1.1999999999999993,CT,NORMAL,25767.25,25787.25,TARGET,77.0,21,80.0,23.0
14,seg3_ModeB,P2a,2026-01-08 14:11:06,LONG,107.0,NO_PRIOR,15m,867,17.66,16.66,1.0,CT,NORMAL,25620.75,25640.75,TARGET,77.0,31,88.0,103.0
15,seg3_ModeB,P2a,2026-01-13 12:23:57,SHORT,161.0,NO_PRIOR,90m,33888,17.66,16.66,1.0,CT,NORMAL,25983.25,25963.25,TARGET,77.0,6,82.0,10.0
16,seg3_ModeB,P2a,2026-01-13 13:59:08,LONG,154.0,PRIOR_HELD,15m,728,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25840.5,25860.5,TARGET,77.0,55,91.0,77.0
17,seg3_ModeB,P2a,2026-01-13 15:10:59,LONG,154.0,NO_PRIOR,15m,926,17.66,16.66,1.0,CT,NORMAL,25843.5,25863.5,TARGET,77.0,102,90.0,161.0
18,seg3_ModeB,P2a,2026-01-14 13:36:09,LONG,57.0,NO_PRIOR,15m,15319,17.66,16.66,1.0,CT,NORMAL,25434.75,25454.75,TARGET,77.0,24,83.0,56.0
19,seg3_ModeB,P2a,2026-01-14 14:04:15,LONG,148.0,PRIOR_HELD,15m,50,16.900000000000002,16.66,0.240000000000002,CT,NORMAL,25497.0,25517.0,TARGET,77.0,38,96.0,44.0
20,seg3_ModeB,P2a,2026-01-14 14:56:10,LONG,148.0,NO_PRIOR,15m,162,19.87,16.66,3.210000000000001,CT,NORMAL,25502.75,25522.75,TARGET,77.0,32,107.0,169.0
21,seg3_ModeB,P2a,2026-01-15 11:36:21,SHORT,151.0,PRIOR_HELD,30m,643,18.62,16.66,1.9600000000000009,CT,NORMAL,25896.75,25895.25,TIMECAP,3.0,120,28.0,165.0
22,seg3_ModeB,P2a,2026-01-15 12:18:46,SHORT,151.0,NO_PRIOR,30m,764,21.590000000000003,16.66,4.930000000000003,CT,NORMAL,25900.75,25880.75,TARGET,77.0,25,93.0,37.0
23,seg3_ModeB,P2a,2026-01-15 15:39:25,LONG,67.0,NO_PRIOR,30m,1949,19.380000000000003,16.66,2.7200000000000024,CT,NORMAL,25694.0,25714.0,TARGET,77.0,12,86.0,28.0
