trade_id,datetime,direction,mode,acal_score,score_margin,trend_label,touch_bar,entry_bar,entry_price,csv_entry_price,entry_match,stop_price,t1_target,t2_target,leg1_exit,leg1_pnl,leg1_exit_bar,leg1_exit_price,leg2_exit,leg2_pnl,leg2_exit_bar,leg2_exit_price,weighted_pnl,bars_held,mfe,mae
59,2025-12-15 03:34:02,SHORT,WTNT,17.080000000000002,0.4200000000000017,WT,25,26,25519.75,25519.75,True,25579.75,25504.75,25499.75,STOP,-240.00,39,25579.75,STOP,-240.00,39,25579.75,-243.00,14,9.00,259.00
60,2025-12-15 14:58:35,SHORT,WTNT,16.900000000000002,0.240000000000002,WT,996,997,25398.75,25398.75,True,25458.75,25383.75,25378.75,TARGET_1,60.00,1001,25383.75,TARGET_2,80.00,1001,25378.75,63.60,5,85.00,25.00
61,2025-12-17 18:14:55,LONG,CT,18.62,1.9600000000000009,CT,5864,5865,24963.50,24963.50,True,24916.00,24973.50,24983.50,TARGET_1,40.00,5873,24973.50,STOP,-190.00,5880,24916.00,-38.90,16,56.00,223.00
62,2025-12-18 12:58:54,SHORT,WTNT,18.62,1.9600000000000009,WT,7708,7709,25350.00,25350.00,True,25410.00,25335.00,25330.00,TARGET_1,60.00,7720,25335.00,TARGET_2,80.00,7720,25330.00,63.60,12,81.00,27.00
63,2025-12-18 13:09:04,SHORT,WTNT,18.62,1.9600000000000009,WT,7746,7747,25346.25,25346.25,True,25406.25,25331.25,25326.25,TARGET_1,60.00,7905,25331.25,TIMECAP,67.00,7906,25329.50,59.31,160,84.00,224.00
64,2025-12-18 13:49:31,SHORT,CT,18.62,1.9600000000000009,CT,7863,7864,25349.50,25349.50,True,25397.00,25339.50,25329.50,TARGET_1,40.00,7880,25339.50,TARGET_2,80.00,7906,25329.50,50.20,43,97.00,72.00
65,2025-12-18 15:35:00,SHORT,WTNT,17.66,1.0,WT,8288,8289,25321.00,25321.00,True,25381.00,25306.00,25301.00,TARGET_1,60.00,8299,25306.00,TARGET_2,80.00,8302,25301.00,63.60,14,92.00,24.00
66,2025-12-19 08:32:04,LONG,CT,16.900000000000002,0.240000000000002,CT,8802,8803,25305.75,25305.75,True,25258.25,25315.75,25325.75,TARGET_1,40.00,8806,25315.75,TARGET_2,80.00,8808,25325.75,50.20,6,92.00,54.00
67,2025-12-19 11:55:58,LONG,CT,18.62,1.9600000000000009,CT,9788,9789,25510.75,25510.75,True,25463.25,25520.75,25530.75,TARGET_1,40.00,9802,25520.75,TARGET_2,80.00,9804,25530.75,50.20,16,83.00,35.00
68,2025-12-22 11:50:44,SHORT,WTNT,19.11,2.4499999999999993,WT,11372,11373,25704.00,25704.00,True,25764.00,25689.00,25684.00,TARGET_1,60.00,11471,25689.00,TIMECAP,8.00,11532,25702.00,39.84,160,70.00,93.00
