rbi,mode,direction,zone_width,entry_price,weighted_pnl,bars_held,leg1_exit,leg1_pnl,leg2_exit,leg2_pnl,mfe,mae,t1_ticks,t2_ticks,stop_ticks,entry_bar,exit_bar,score,trend,tf
996,WT,-1,152.0,25398.75,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,85.0,25.0,60,80,240,997,1001,16.900000000000002,WT,15m
5864,CT,1,269.0,24953.75,50.2,8,TARGET_1,40.0,TARGET_2,80.0,93.0,84.0,40,80,190,5866,5873,18.62,CT,30m
7708,WT,-1,236.0,25350.0,63.60000000000001,12,TARGET_1,60.0,TARGET_2,80.0,81.0,27.0,60,80,240,7709,7720,18.62,WT,30m
7746,WT,-1,236.0,25346.25,59.31,160,TARGET_1,60.0,TIMECAP,67.0,84.0,224.0,60,80,240,7747,7906,18.62,WT,30m
8288,WT,-1,356.0,25321.0,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,92.0,24.0,60,80,240,8289,8302,17.66,WT,60m
8802,CT,1,124.0,25296.5,50.2,4,TARGET_1,40.0,TARGET_2,80.0,86.0,17.0,40,80,190,8803,8806,16.900000000000002,CT,90m
9788,CT,1,196.0,25507.75,50.2,16,TARGET_1,40.0,TARGET_2,80.0,95.0,23.0,40,80,190,9789,9804,18.62,CT,30m
11372,WT,-1,61.0,25704.0,39.84,160,TARGET_1,60.0,TIMECAP,8.0,70.0,93.0,60,80,240,11373,11532,19.11,WT,15m
11670,WT,1,70.0,25694.75,41.160000000000004,160,TARGET_1,60.0,TIMECAP,12.0,70.0,62.0,60,80,240,11671,11830,19.87,WT,15m
13824,WT,1,50.0,25880.25,63.60000000000001,41,TARGET_1,60.0,TARGET_2,80.0,91.0,111.0,60,80,240,13825,13865,17.86,WT,30m
14478,WT,-1,122.0,25878.75,63.60000000000001,61,TARGET_1,60.0,TARGET_2,80.0,80.0,15.0,60,80,240,14479,14539,19.87,WT,15m
20667,CT,1,443.0,25374.75,50.2,25,TARGET_1,40.0,TARGET_2,80.0,84.0,51.0,40,80,190,20670,20694,16.900000000000002,CT,120m
20883,CT,1,76.0,25452.5,50.2,2,TARGET_1,40.0,TARGET_2,80.0,110.0,1.0,40,80,190,20885,20886,17.86,CT,30m
20924,WT,1,71.0,25478.0,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,109.0,37.0,60,80,240,20925,20929,17.86,WT,30m
21295,CT,1,192.0,25567.0,50.2,12,TARGET_1,40.0,TARGET_2,80.0,82.0,24.0,40,80,190,21296,21307,16.900000000000002,CT,60m
21328,CT,1,192.0,25567.0,50.2,3,TARGET_1,40.0,TARGET_2,80.0,88.0,11.0,40,80,190,21329,21331,16.900000000000002,CT,90m
21338,CT,1,167.0,25560.75,50.2,5,TARGET_1,40.0,TARGET_2,80.0,111.0,2.0,40,80,190,21339,21343,18.62,CT,30m
21407,CT,1,192.0,25567.0,50.2,8,TARGET_1,40.0,TARGET_2,80.0,82.0,29.0,40,80,190,21408,21415,19.87,CT,60m
21497,CT,1,192.0,25567.0,50.2,2,TARGET_1,40.0,TARGET_2,80.0,81.0,4.0,40,80,190,21498,21499,16.900000000000002,CT,90m
22332,CT,1,192.0,25567.0,50.2,51,TARGET_1,40.0,TARGET_2,80.0,81.0,70.0,40,80,190,22333,22383,17.66,CT,60m
24609,CT,1,47.0,25765.75,50.2,19,TARGET_1,40.0,TARGET_2,80.0,80.0,17.0,40,80,190,24610,24628,17.86,CT,30m
26274,WT,-1,76.0,25829.75,63.60000000000001,16,TARGET_1,60.0,TARGET_2,80.0,82.0,43.0,60,80,240,26275,26290,17.86,WT,30m
27902,CT,1,211.0,25620.5,50.2,31,TARGET_1,40.0,TARGET_2,80.0,89.0,102.0,40,80,190,27903,27933,17.66,CT,15m
33838,CT,1,130.0,25840.5,50.2,55,TARGET_1,40.0,TARGET_2,80.0,91.0,77.0,40,80,190,33839,33893,16.900000000000002,CT,15m
33900,WT,1,130.0,25842.0,63.60000000000001,14,TARGET_1,60.0,TARGET_2,80.0,90.0,16.0,60,80,240,33901,33914,19.87,WT,15m
33929,WT,1,130.0,25843.0,63.60000000000001,5,TARGET_1,60.0,TARGET_2,80.0,87.0,11.0,60,80,240,33930,33934,16.900000000000002,WT,15m
34036,CT,1,130.0,25840.5,50.2,98,TARGET_1,40.0,TARGET_2,80.0,102.0,149.0,40,80,190,34041,34138,17.66,CT,15m
36117,CT,1,101.0,25430.5,50.2,20,TARGET_1,40.0,TARGET_2,80.0,83.0,39.0,40,80,190,36118,36137,17.66,CT,15m
36228,CT,1,307.0,25496.25,50.2,38,TARGET_1,40.0,TARGET_2,80.0,99.0,41.0,40,80,190,36229,36266,16.900000000000002,CT,15m
36340,CT,1,307.0,25496.25,50.2,24,TARGET_1,40.0,TARGET_2,80.0,101.0,143.0,40,80,190,36348,36371,19.87,CT,15m
37604,WT,-1,210.0,25899.25,63.60000000000001,22,TARGET_1,60.0,TARGET_2,80.0,81.0,75.0,60,80,240,37605,37626,18.62,WT,30m
38073,WT,-1,210.0,25899.75,-7.019999999999996,160,TARGET_1,60.0,TIMECAP,-134.0,71.0,150.0,60,80,240,38074,38233,16.900000000000002,WT,60m
38276,CT,-1,210.0,25901.5,50.2,24,TARGET_1,40.0,TARGET_2,80.0,80.0,34.0,40,80,190,38277,38300,21.590000000000003,CT,30m
38959,CT,1,78.0,25692.0,50.2,8,TARGET_1,40.0,TARGET_2,80.0,83.0,20.0,40,80,190,38960,38967,19.380000000000003,CT,30m
39395,WT,-1,65.0,25834.25,-131.0,160,TIMECAP,-128.0,TIMECAP,-128.0,45.0,227.0,60,80,240,39396,39555,17.86,WT,30m
44387,CT,1,125.0,25128.0,50.2,28,TARGET_1,40.0,TARGET_2,80.0,99.0,3.0,40,80,190,44388,44415,16.900000000000002,CT,15m
44465,CT,1,125.0,25128.0,50.2,16,TARGET_1,40.0,TARGET_2,80.0,96.0,22.0,40,80,190,44466,44481,16.900000000000002,CT,15m
47968,CT,-1,101.0,25690.0,-38.900000000000006,71,TARGET_1,40.0,STOP,-190.0,75.0,194.0,40,80,190,47970,48040,19.11,CT,15m
49018,WT,-1,194.0,25688.5,63.60000000000001,31,TARGET_1,60.0,TARGET_2,80.0,105.0,22.0,60,80,240,49019,49049,19.87,WT,90m
49082,WT,-1,194.0,25691.5,-7.0,160,TIMECAP,-4.0,TIMECAP,-4.0,48.0,128.0,60,80,240,49083,49242,16.900000000000002,WT,90m
49288,CT,-1,194.0,25692.5,50.2,81,TARGET_1,40.0,TARGET_2,80.0,82.0,91.0,40,80,190,49289,49369,16.900000000000002,CT,90m
55547,CT,-1,110.0,26300.5,50.2,11,TARGET_1,40.0,TARGET_2,80.0,99.0,22.0,40,80,190,55551,55561,17.86,CT,30m
57558,CT,-1,129.0,26206.0,50.2,15,TARGET_1,40.0,TARGET_2,80.0,112.0,63.0,40,80,190,57559,57573,17.86,CT,30m
60025,CT,-1,272.0,25990.0,50.2,12,TARGET_1,40.0,TARGET_2,80.0,113.0,120.0,40,80,190,60026,60037,19.11,CT,60m
60063,WT,-1,272.0,25971.5,63.60000000000001,4,TARGET_1,60.0,TARGET_2,80.0,109.0,89.0,60,80,240,60064,60067,16.900000000000002,WT,60m
61216,WT,-1,104.0,25919.0,63.60000000000001,20,TARGET_1,60.0,TARGET_2,80.0,94.0,60.0,60,80,240,61217,61236,17.66,WT,15m
62114,WT,-1,150.0,25755.5,63.60000000000001,28,TARGET_1,60.0,TARGET_2,80.0,82.0,65.0,60,80,240,62115,62142,18.62,WT,30m
62178,WT,-1,150.0,25760.0,63.60000000000001,3,TARGET_1,60.0,TARGET_2,80.0,84.0,14.0,60,80,240,62179,62181,18.62,WT,30m
