trade_id,mode,datetime,direction,touch_type,source_label,zone_top,zone_bot,zone_width_ticks,entry_type,entry_price,stop_ticks,t1_ticks,t2_ticks,stop_price,t1_target_price,t2_target_price,leg1_exit_type,leg1_pnl_ticks,leg2_exit_type,leg2_pnl_ticks,weighted_pnl,bars_held,mfe_ticks,mae_ticks
ZB_0001,WTNT,12/15/2025 14:58:35,SHORT,SUPPLY_EDGE,15m,25436.75,25398.75,152.0,MARKET,25398.75,228,76,152,25455.75,25379.75,25360.75,TARGET_1,76.00,TARGET_2,152.00,98.0800,8,155.00,25.00
ZB_0002,CT,12/17/2025 18:19:13,LONG,DEMAND_EDGE,30m,24955.00,24887.75,269.0,LIMIT_5T,24953.75,404,134,269,24852.75,24987.25,25021.00,TARGET_1,134.00,TARGET_2,269.00,175.5500,154,269.00,210.00
ZB_0003,WTNT,12/18/2025 12:58:54,SHORT,SUPPLY_EDGE,30m,25412.00,25353.00,236.0,MARKET,25350.00,354,118,236,25438.50,25320.50,25291.00,TARGET_1,118.00,TIMECAP,-32.00,65.5000,160,131.00,209.00
ZB_0004,WTNT,12/18/2025 15:35:00,SHORT,SUPPLY_EDGE,60m,25412.50,25323.50,356.0,MARKET,25321.00,534,178,356,25454.50,25276.50,25232.00,TARGET_1,178.00,TIMECAP,286.00,210.6400,160,315.00,90.00
ZB_0005,CT,12/19/2025 08:32:04,LONG,DEMAND_EDGE,90m,25297.75,25266.75,124.0,LIMIT_5T,25296.50,186,62,124,25250.00,25312.00,25327.50,TARGET_1,62.00,TARGET_2,124.00,79.4600,6,129.00,17.00
ZB_0006,CT,12/19/2025 11:55:58,LONG,DEMAND_EDGE,30m,25509.00,25460.00,196.0,LIMIT_5T,25507.75,294,98,196,25434.25,25532.25,25556.75,TARGET_1,98.00,TARGET_2,196.00,127.3400,49,204.00,23.00
ZB_0007,WTNT,12/22/2025 11:50:44,SHORT,SUPPLY_EDGE,15m,25721.25,25706.00,61.0,MARKET,25704.00,120,30,61,25734.00,25696.50,25688.75,TARGET_1,30.00,TARGET_2,61.00,37.2300,99,66.00,59.00
ZB_0008,WTNT,12/22/2025 14:24:05,LONG,DEMAND_EDGE,15m,25690.50,25673.00,70.0,MARKET,25694.75,120,35,70,25664.75,25703.50,25712.25,TARGET_1,35.00,TARGET_2,70.00,43.5500,16,70.00,19.00
ZB_0009,CT,12/22/2025 15:01:16,LONG,DEMAND_EDGE,15m,25690.50,25673.00,70.0,LIMIT_5T,25689.25,120,35,70,25659.25,25698.00,25706.75,TARGET_1,35.00,TIMECAP,24.00,28.3700,160,69.00,40.00
ZB_0010,WTNT,12/24/2025 12:59:37,LONG,DEMAND_EDGE,30m,25876.50,25864.00,50.0,MARKET,25880.25,120,25,50,25850.25,25886.50,25892.75,TARGET_1,25.00,TARGET_2,50.00,30.2500,29,57.00,111.00
