rbi,reason
7757,IN_POSITION
7767,IN_POSITION
7781,IN_POSITION
7863,IN_POSITION
7873,IN_POSITION
9789,IN_POSITION
11419,IN_POSITION
11718,IN_POSITION
11728,IN_POSITION
11750,IN_POSITION
11757,IN_POSITION
11785,IN_POSITION
11790,SEQ_FILTER
11848,SEQ_FILTER
11850,SEQ_FILTER
14522,IN_POSITION
21295,IN_POSITION
21296,IN_POSITION
21328,IN_POSITION
21407,IN_POSITION
21409,IN_POSITION
21471,LIMIT_EXPIRED
21471,LIMIT_PENDING
21497,IN_POSITION
33352,SEQ_FILTER
33503,LIMIT_EXPIRED
36250,IN_POSITION
38073,SEQ_FILTER
38109,IN_POSITION
38155,IN_POSITION
38155,IN_POSITION
38187,IN_POSITION
38220,IN_POSITION
38276,IN_POSITION
44408,IN_POSITION
47992,IN_POSITION
49018,IN_POSITION
49041,IN_POSITION
49041,IN_POSITION
49082,IN_POSITION
49157,IN_POSITION
49200,IN_POSITION
49200,IN_POSITION
49261,LIMIT_EXPIRED
49261,LIMIT_PENDING
49288,IN_POSITION
60063,IN_POSITION
62136,IN_POSITION
62236,SEQ_FILTER
62692,IN_POSITION
79553,IN_POSITION
101277,IN_POSITION
101306,SEQ_FILTER
105332,IN_POSITION
105456,LIMIT_EXPIRED
106536,SEQ_FILTER
106595,SEQ_FILTER
106784,SEQ_FILTER
106954,SEQ_FILTER
