trade_id,seg_model_group,period,datetime,direction,mode,WL,pnl,mae,mfe,entry_price,exit_price,exit_type,bars_held,trend_label,SBB_label,score,score_margin,acal_threshold,F10_PriorPenetration,F04_CascadeState,F01_Timeframe,F21_ZoneAge,zone_width,zone_width_ratio,ZoneTop,ZoneBot,session,touch_sequence,cascade_state,source_label,tf_minutes,crossed_opposite_edge,depth_past_opposite_edge,bars_to_max_penetration,penetration_speed,is_battleground,zone_width_bin,bars_to_25t_adverse,bars_to_50t_adverse,bars_to_100t_adverse,bars_to_max_adverse,pen_speed_10bar,pen_speed_25bar,bars_to_20t_favorable,bars_to_T1_favorable,bars_to_mfe_peak,mfe_at_10bar,mfe_at_20bar,mfe_at_30bar,mfe_at_50bar,mfe_at_100bar,mae_at_10bar,mae_at_20bar,mae_at_30bar,mae_at_50bar,stall_bars_after_max_pen,bounce_25t_after_max,bounce_within_30bars,bounce_within_50bars,opp_edge_cross_bar,opp_edge_cross_depth,fills_5t,entry_5t,entry_5t_bar,mfe_at_25bar,mae_at_25bar,pnl_zone_rel
1,seg3_ModeB,P2a,2025-12-17 18:14:55,LONG,ModeB,L,-193.0,223.0,56.0,24963.5,24916.0,STOP,16,CT,NORMAL,18.62,1.9600000000000009,16.66,215.0,PRIOR_HELD,30m,53,269.0,0.828996282527881,24955.0,24887.75,ETH,2.0,PRIOR_HELD,30m,30,N,0.0,17.0,13.117647058823527,False,200t+,1.0,3.0,4.0,19.0,12.3,9.96,9.0,9.0,194.0,56.0,56.0,82.0,138.0,195.0,123.0,249.0,249.0,249.0,2.0,1.0,1.0,1.0,,0.0,True,24962.25,5865,56.0,,175.88500000000002
2,seg3_ModeB,P2a,2025-12-18 13:49:31,SHORT,ModeB,W,77.0,72.0,97.0,25349.5,25329.5,TARGET,43,CT,NORMAL,18.62,1.9600000000000009,16.66,197.0,PRIOR_HELD,30m,418,236.0,0.3050847457627119,25412.0,25353.0,RTH,5.0,PRIOR_HELD,30m,30,N,0.0,10.0,7.2,True,200t+,5.0,10.0,,10.0,7.2,2.88,14.0,17.0,199.0,17.0,65.0,65.0,145.0,382.0,72.0,72.0,72.0,72.0,2.0,1.0,1.0,1.0,,0.0,True,25350.75,7864,65.0,,153.94
3,seg3_ModeB,P2a,2025-12-19 08:32:04,LONG,ModeB,W,77.0,54.0,92.0,25305.75,25325.75,TARGET,6,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,96.0,PRIOR_HELD,90m,153,124.0,0.4354838709677419,25297.75,25266.75,ETH,2.0,PRIOR_HELD,90m,90,N,0.0,1.0,54.0,True,100-150t,1.0,1.0,,1.0,5.4,2.16,3.0,4.0,183.0,136.0,136.0,136.0,278.0,341.0,54.0,54.0,54.0,54.0,1.0,1.0,1.0,1.0,,0.0,True,25304.5,8803,136.0,,79.46000000000001
4,seg3_ModeB,P2a,2025-12-19 11:55:58,LONG,ModeB,W,77.0,35.0,83.0,25510.75,25530.75,TARGET,16,CT,NORMAL,18.62,1.9600000000000009,16.66,57.0,PRIOR_HELD,30m,141,196.0,0.1785714285714285,25509.0,25460.0,RTH,2.0,PRIOR_HELD,30m,30,N,0.0,8.0,4.375,False,150-200t,1.0,,,8.0,3.5,1.4,1.0,14.0,163.0,21.0,110.0,139.0,204.0,277.0,35.0,35.0,35.0,35.0,4.0,1.0,,,,0.0,True,25509.5,9789,139.0,,127.34000000000003
5,seg3_ModeB,P2a,2025-12-22 14:57:24,LONG,ModeB,L,-6.0,52.0,45.0,25692.25,25691.5,TIMECAP,120,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,149.0,PRIOR_HELD,15m,121,70.0,0.7428571428571429,25690.5,25673.0,RTH,3.0,PRIOR_HELD,15m,15,N,0.0,25.0,2.08,True,50-100t,14.0,25.0,,25.0,1.4,2.08,52.0,96.0,190.0,8.0,8.0,8.0,17.0,45.0,14.0,38.0,52.0,52.0,5.0,1.0,1.0,1.0,,0.0,True,25691.0,11719,8.0,,31.67
6,seg3_ModeB,P2a,2026-01-02 15:55:00,LONG,ModeB,W,77.0,63.0,81.0,25377.75,25397.75,TARGET,67,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,56.0,PRIOR_HELD,120m,219,443.0,0.1422121896162528,25376.0,25265.25,RTH,2.0,PRIOR_HELD,120m,120,N,0.0,8.0,7.875,True,200t+,7.0,8.0,,8.0,6.3,2.52,1.0,25.0,184.0,30.0,30.0,78.0,78.0,149.0,63.0,63.0,63.0,63.0,15.0,1.0,1.0,1.0,,0.0,True,25376.5,20670,40.0,,262.885
7,seg3_ModeB,P2a,2026-01-04 21:37:37,LONG,ModeB,W,77.0,31.0,80.0,25460.0,25480.0,TARGET,3,CT,NORMAL,17.86,1.1999999999999993,16.66,15.0,PRIOR_BROKE,30m,35,76.0,0.4078947368421052,25453.75,25434.75,ETH,2.0,PRIOR_BROKE,30m,30,N,0.0,2.0,15.5,False,50-100t,1.0,,,2.0,3.1,1.24,2.0,3.0,200.0,91.0,91.0,127.0,196.0,387.0,31.0,31.0,31.0,31.0,1.0,1.0,,,,0.0,True,25458.75,20884,127.0,,47.540000000000006
8,seg3_ModeB,P2a,2026-01-05 09:39:04,LONG,ModeB,W,77.0,130.0,90.0,25571.0,25591.0,TARGET,49,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,119.0,PRIOR_HELD,60m,222,192.0,0.6770833333333334,25568.25,25520.25,RTH,2.0,PRIOR_HELD,90m,90,N,0.0,25.0,5.2,True,150-200t,2.0,15.0,23.0,25.0,4.0,5.2,4.0,11.0,81.0,35.0,66.0,66.0,90.0,246.0,40.0,84.0,130.0,130.0,3.0,1.0,1.0,1.0,,0.0,True,25569.75,21296,66.0,,124.68
9,seg3_ModeB,P2a,2026-01-05 09:49:03,LONG,ModeB,W,77.0,56.0,97.0,25573.75,25593.75,TARGET,10,CT,NORMAL,19.87,3.210000000000001,16.66,75.0,NO_PRIOR,60m,334,192.0,0.2916666666666667,25568.25,25520.25,RTH,4.0,NO_PRIOR,90m,90,N,0.0,3.0,18.666666666666668,True,150-200t,1.0,3.0,,3.0,5.6,2.24,1.0,8.0,197.0,97.0,120.0,185.0,204.0,218.0,56.0,56.0,56.0,56.0,3.0,1.0,1.0,1.0,,0.0,True,25572.5,21408,120.0,,124.68
10,seg3_ModeB,P2a,2026-01-05 09:57:18,LONG,ModeB,W,77.0,20.0,89.0,25572.75,25592.75,TARGET,9,CT,NORMAL,19.87,3.210000000000001,16.66,75.0,NO_PRIOR,60m,398,192.0,0.1041666666666666,25568.25,25520.25,RTH,5.0,NO_PRIOR,90m,90,N,0.0,1.0,20.0,False,150-200t,27.0,,,27.0,2.0,0.8,1.0,2.0,200.0,117.0,222.0,222.0,266.0,328.0,20.0,20.0,27.0,27.0,1.0,1.0,,,,0.0,True,25571.5,21472,222.0,,124.68
11,seg3_ModeB,P2a,2026-01-05 10:01:29,LONG,ModeB,W,77.0,26.0,102.0,25572.5,25592.5,TARGET,3,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,75.0,PRIOR_HELD,90m,395,192.0,0.1354166666666666,25568.25,25520.25,RTH,6.0,PRIOR_HELD,60m,60,N,0.0,1.0,26.0,False,150-200t,1.0,,,1.0,2.6,1.04,2.0,2.0,179.0,198.0,239.0,283.0,293.0,346.0,26.0,26.0,26.0,26.0,1.0,1.0,,,,0.0,True,25571.25,21498,269.0,,124.68
12,seg3_ModeB,P2a,2026-01-05 14:39:33,LONG,ModeB,W,77.0,84.0,85.0,25570.5,25590.5,TARGET,76,CT,NORMAL,17.66,1.0,16.66,75.0,NO_PRIOR,60m,1259,192.0,0.4375,25568.25,25520.25,RTH,8.0,NO_PRIOR,60m,60,N,0.0,14.0,6.0,True,150-200t,5.0,12.0,,14.0,4.4,3.36,30.0,34.0,140.0,6.0,6.0,22.0,56.0,139.0,44.0,84.0,84.0,84.0,4.0,1.0,1.0,1.0,,0.0,True,25569.25,22333,6.0,,85.74000000000001
13,seg3_ModeB,P2a,2026-01-07 09:05:21,LONG,ModeB,W,77.0,23.0,80.0,25767.25,25787.25,TARGET,21,CT,NORMAL,17.86,1.1999999999999993,16.66,22.0,PRIOR_BROKE,30m,31,39.0,0.5897435897435898,25765.0,25755.25,ETH,1.0,PRIOR_BROKE,15m,15,N,0.0,3.0,7.666666666666667,False,0-50t,,,,3.0,2.3,0.92,5.0,9.0,194.0,63.0,77.0,112.0,174.0,261.0,23.0,23.0,23.0,23.0,6.0,1.0,,,,0.0,True,25766.0,24610,90.0,,22.935000000000002
14,seg3_ModeB,P2a,2026-01-08 14:11:06,LONG,ModeB,W,77.0,103.0,88.0,25620.75,25640.75,TARGET,31,CT,NORMAL,17.66,1.0,16.66,107.0,NO_PRIOR,15m,867,211.0,0.4881516587677725,25621.75,25569.0,RTH,7.0,NO_PRIOR,15m,15,N,0.0,17.0,6.0588235294117645,True,200t+,8.0,10.0,17.0,17.0,5.6,4.12,6.0,29.0,196.0,21.0,21.0,75.0,110.0,110.0,56.0,103.0,103.0,103.0,2.0,1.0,1.0,1.0,,0.0,True,25619.5,27903,32.0,,112.23500000000001
15,seg3_ModeB,P2a,2026-01-13 12:23:57,SHORT,ModeB,W,77.0,10.0,82.0,25983.25,25963.25,TARGET,6,CT,NORMAL,17.66,1.0,16.66,161.0,NO_PRIOR,90m,33888,678.0,0.0147492625368731,26155.0,25985.5,RTH,20.0,NO_PRIOR,120m,120,N,0.0,1.0,10.0,False,200t+,,,,1.0,1.0,0.4,4.0,4.0,173.0,114.0,114.0,275.0,275.0,275.0,10.0,10.0,10.0,10.0,3.0,1.0,,,,0.0,True,25984.5,33504,174.0,,384.84000000000003
16,seg3_ModeB,P2a,2026-01-13 13:59:08,LONG,ModeB,W,77.0,77.0,91.0,25840.5,25860.5,TARGET,55,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,154.0,PRIOR_HELD,15m,728,130.0,0.5923076923076923,25841.75,25809.25,RTH,2.0,PRIOR_HELD,15m,15,N,0.0,33.0,2.333333333333333,True,100-150t,14.0,16.0,,33.0,1.2,2.76,4.0,6.0,164.0,50.0,50.0,50.0,50.0,123.0,12.0,69.0,69.0,77.0,6.0,1.0,1.0,1.0,,0.0,True,25839.25,33839,50.0,,83.45
17,seg3_ModeB,P2a,2026-01-13 15:10:59,LONG,ModeB,W,77.0,161.0,90.0,25843.5,25863.5,TARGET,102,CT,NORMAL,17.66,1.0,16.66,154.0,NO_PRIOR,15m,926,130.0,1.2384615384615385,25841.75,25809.25,RTH,5.0,NO_PRIOR,15m,15,Y,24.0,52.0,3.0961538461538463,False,100-150t,19.0,33.0,45.0,52.0,2.0,1.52,3.0,93.0,188.0,26.0,31.0,31.0,31.0,61.0,20.0,38.0,38.0,154.0,2.0,1.0,1.0,1.0,49.0,10.0,True,25842.25,34038,31.0,,83.45
18,seg3_ModeB,P2a,2026-01-14 13:36:09,LONG,ModeB,W,77.0,56.0,83.0,25434.75,25454.75,TARGET,24,CT,NORMAL,17.66,1.0,16.66,57.0,NO_PRIOR,15m,15319,101.0,0.5544554455445545,25431.75,25406.5,RTH,1.0,NO_PRIOR,120m,120,N,0.0,11.0,5.090909090909091,True,100-150t,8.0,10.0,,11.0,5.3,2.24,2.0,4.0,174.0,52.0,66.0,122.0,194.0,365.0,53.0,56.0,56.0,56.0,2.0,1.0,1.0,1.0,,0.0,True,25433.5,36118,91.0,,64.16499999999999
19,seg3_ModeB,P2a,2026-01-14 14:04:15,LONG,ModeB,W,77.0,44.0,96.0,25497.0,25517.0,TARGET,38,CT,NORMAL,16.900000000000002,0.240000000000002,16.66,148.0,PRIOR_HELD,15m,50,307.0,0.1433224755700325,25497.5,25420.75,RTH,2.0,PRIOR_HELD,15m,15,N,0.0,5.0,8.8,False,200t+,4.0,130.0,132.0,137.0,4.4,1.76,2.0,9.0,199.0,42.0,42.0,52.0,111.0,148.0,44.0,44.0,44.0,44.0,1.0,1.0,1.0,1.0,,0.0,True,25495.75,36229,48.0,,120.305
20,seg3_ModeB,P2a,2026-01-14 14:56:10,LONG,ModeB,W,77.0,169.0,107.0,25502.75,25522.75,TARGET,32,CT,NORMAL,19.87,3.210000000000001,16.66,148.0,NO_PRIOR,15m,162,307.0,0.5504885993485342,25497.5,25420.75,RTH,4.0,NO_PRIOR,15m,15,N,0.0,25.0,6.76,False,200t+,8.0,16.0,18.0,25.0,4.0,6.76,2.0,3.0,194.0,55.0,55.0,55.0,154.0,365.0,40.0,126.0,169.0,169.0,1.0,1.0,1.0,1.0,,0.0,True,25501.5,36341,55.0,,201.15500000000003
21,seg3_ModeB,P2a,2026-01-15 11:36:21,SHORT,ModeB,W,3.0,165.0,28.0,25896.75,25895.25,TIMECAP,120,CT,NORMAL,18.62,1.9600000000000009,16.66,151.0,PRIOR_HELD,30m,643,582.0,0.2835051546391752,26045.5,25900.0,RTH,20.0,PRIOR_HELD,240m,240,N,0.0,95.0,1.736842105263158,False,200t+,2.0,3.0,31.0,95.0,7.2,3.72,1.0,143.0,169.0,20.0,20.0,20.0,20.0,20.0,72.0,93.0,93.0,162.0,2.0,1.0,1.0,1.0,,0.0,True,25898.0,38156,20.0,,117.0
